datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,0.382,0.394,0.374,0.392,481662.39
2025-01-02 00:00:00+00:00,0.393,0.41,0.391,0.402,428414.94
2025-01-03 00:00:00+00:00,0.402,0.427,0.396,0.423,760545.01
2025-01-04 00:00:00+00:00,0.424,0.43,0.417,0.427,465709.26
2025-01-05 00:00:00+00:00,0.426,0.435,0.417,0.432,821493.98
2025-01-06 00:00:00+00:00,0.431,0.444,0.423,0.436,394267.61
2025-01-07 00:00:00+00:00,0.436,0.437,0.389,0.392,884139.37
2025-01-08 00:00:00+00:00,0.394,0.396,0.364,0.384,769135.73
2025-01-09 00:00:00+00:00,0.381,0.392,0.374,0.387,722734.57
2025-01-10 00:00:00+00:00,0.387,0.394,0.376,0.391,463601.35
2025-01-11 00:00:00+00:00,0.391,0.396,0.38,0.386,815336.71
2025-01-12 00:00:00+00:00,0.386,0.392,0.373,0.377,219653.07
2025-01-13 00:00:00+00:00,0.378,0.387,0.34,0.364,1000068.71
2025-01-14 00:00:00+00:00,0.363,0.377,0.358,0.374,475651.13
2025-01-15 00:00:00+00:00,0.374,0.392,0.362,0.39,597282.52
2025-01-16 00:00:00+00:00,0.391,0.391,0.372,0.381,862959.6
2025-01-17 00:00:00+00:00,0.382,0.402,0.382,0.399,2640080.18
2025-01-18 00:00:00+00:00,0.399,0.402,0.365,0.373,1136571.9
2025-01-19 00:00:00+00:00,0.371,0.379,0.329,0.335,1220887.47
2025-01-20 00:00:00+00:00,0.335,0.364,0.325,0.339,1747459.1
2025-01-21 00:00:00+00:00,0.34,0.358,0.328,0.348,888077.08
2025-01-22 00:00:00+00:00,0.348,0.35,0.326,0.327,495050.33
2025-01-23 00:00:00+00:00,0.327,0.328,0.31,0.319,766637.59
2025-01-24 00:00:00+00:00,0.318,0.32,0.304,0.306,557563.69
2025-01-25 00:00:00+00:00,0.306,0.316,0.302,0.313,390150.74
2025-01-26 00:00:00+00:00,0.312,0.327,0.31,0.31,733385.26
2025-01-27 00:00:00+00:00,0.31,0.313,0.285,0.307,852300.78
2025-01-28 00:00:00+00:00,0.307,0.31,0.292,0.296,275413.69
2025-01-29 00:00:00+00:00,0.296,0.308,0.294,0.3,272800.5
2025-01-30 00:00:00+00:00,0.3,0.317,0.298,0.313,407393.55
2025-01-31 00:00:00+00:00,0.313,0.325,0.308,0.31,515624.54
2025-02-01 00:00:00+00:00,0.31,0.314,0.292,0.295,545905.45
2025-02-02 00:00:00+00:00,0.294,0.302,0.248,0.266,1545854.86
2025-02-03 00:00:00+00:00,0.265,0.279,0.205,0.274,3237063.01
2025-02-04 00:00:00+00:00,0.275,0.277,0.251,0.262,1687093.33
2025-02-05 00:00:00+00:00,0.26,0.266,0.255,0.258,479195.86
2025-02-06 00:00:00+00:00,0.259,0.263,0.249,0.254,467990.46
2025-02-07 00:00:00+00:00,0.254,0.264,0.245,0.251,359907.0
2025-02-08 00:00:00+00:00,0.251,0.261,0.248,0.259,462844.52
2025-02-09 00:00:00+00:00,0.259,0.264,0.251,0.26,241022.91
