datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,0.382,0.386,0.381,0.381,20768.85
2025-01-01 02:00:00+00:00,0.382,0.384,0.382,0.383,17427.25
2025-01-01 04:00:00+00:00,0.383,0.383,0.38,0.381,94773.79
2025-01-01 06:00:00+00:00,0.38,0.383,0.378,0.382,14419.5
2025-01-01 08:00:00+00:00,0.383,0.383,0.374,0.376,35138.15
2025-01-01 10:00:00+00:00,0.376,0.38,0.374,0.38,4566.86
2025-01-01 12:00:00+00:00,0.377,0.382,0.376,0.379,129107.82
2025-01-01 14:00:00+00:00,0.382,0.384,0.377,0.383,11048.14
2025-01-01 16:00:00+00:00,0.386,0.386,0.38,0.385,33809.52
2025-01-01 18:00:00+00:00,0.384,0.392,0.384,0.39,37403.26
2025-01-01 20:00:00+00:00,0.391,0.393,0.391,0.393,41160.36
2025-01-01 22:00:00+00:00,0.394,0.394,0.391,0.392,42038.89
2025-01-02 00:00:00+00:00,0.393,0.4,0.391,0.398,40547.48
2025-01-02 02:00:00+00:00,0.395,0.401,0.395,0.399,33301.38
2025-01-02 04:00:00+00:00,0.4,0.404,0.4,0.404,12426.22
2025-01-02 06:00:00+00:00,0.402,0.403,0.399,0.403,10406.33
2025-01-02 08:00:00+00:00,0.403,0.404,0.399,0.403,41873.96
2025-01-02 10:00:00+00:00,0.405,0.406,0.402,0.406,6808.7
2025-01-02 12:00:00+00:00,0.407,0.408,0.404,0.406,22203.88
2025-01-02 14:00:00+00:00,0.405,0.41,0.401,0.401,56372.81
2025-01-02 16:00:00+00:00,0.401,0.406,0.4,0.4,145390.1
2025-01-02 18:00:00+00:00,0.402,0.405,0.401,0.401,13533.58
2025-01-02 20:00:00+00:00,0.403,0.404,0.4,0.4,8528.48
2025-01-02 22:00:00+00:00,0.399,0.403,0.397,0.402,37022.02
2025-01-03 00:00:00+00:00,0.402,0.402,0.397,0.4,30543.11
2025-01-03 02:00:00+00:00,0.399,0.405,0.399,0.402,8959.79
2025-01-03 04:00:00+00:00,0.401,0.402,0.397,0.397,2175.3
2025-01-03 06:00:00+00:00,0.401,0.401,0.396,0.397,5976.89
2025-01-03 08:00:00+00:00,0.397,0.404,0.396,0.403,8396.9
2025-01-03 10:00:00+00:00,0.401,0.41,0.401,0.41,75375.97
2025-01-03 12:00:00+00:00,0.411,0.414,0.409,0.414,77563.62
2025-01-03 14:00:00+00:00,0.414,0.421,0.414,0.42,126226.36
