datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,0.384,0.384,0.384,0.384,302.87
2025-01-01 00:05:00+00:00,0.385,0.385,0.383,0.384,1601.65
2025-01-01 00:10:00+00:00,0.383,0.384,0.383,0.384,6695.18
2025-01-01 00:25:00+00:00,0.383,0.385,0.383,0.385,6010.44
2025-01-01 00:30:00+00:00,0.385,0.385,0.384,0.384,375.1
2025-01-01 00:40:00+00:00,0.385,0.385,0.385,0.385,215.62
2025-01-01 00:55:00+00:00,0.386,0.386,0.386,0.386,263.69
2025-01-01 01:05:00+00:00,0.385,0.386,0.385,0.386,234.13
2025-01-01 01:15:00+00:00,0.385,0.385,0.384,0.384,3586.22
2025-01-01 01:35:00+00:00,0.384,0.384,0.383,0.383,26.48
2025-01-01 01:45:00+00:00,0.383,0.383,0.382,0.382,1129.67
2025-01-01 01:50:00+00:00,0.382,0.382,0.381,0.381,265.8
2025-01-01 02:00:00+00:00,0.382,0.384,0.382,0.383,2829.0
2025-01-01 02:15:00+00:00,0.383,0.383,0.382,0.382,5288.15
2025-01-01 02:20:00+00:00,0.384,0.384,0.383,0.383,1112.19
2025-01-01 02:30:00+00:00,0.384,0.384,0.384,0.384,2933.27
2025-01-01 02:55:00+00:00,0.384,0.384,0.384,0.384,250.26
2025-01-01 03:00:00+00:00,0.383,0.383,0.383,0.383,176.42
2025-01-01 03:15:00+00:00,0.383,0.383,0.383,0.383,0.27
2025-01-01 03:40:00+00:00,0.384,0.384,0.384,0.384,250.37
2025-01-01 03:50:00+00:00,0.383,0.383,0.383,0.383,4594.32
2025-01-01 04:25:00+00:00,0.381,0.382,0.381,0.381,11209.8
2025-01-01 04:30:00+00:00,0.381,0.381,0.381,0.381,306.16
2025-01-01 04:40:00+00:00,0.38,0.381,0.38,0.381,35.09
2025-01-01 04:45:00+00:00,0.381,0.381,0.38,0.38,182.68
2025-01-01 04:50:00+00:00,0.38,0.38,0.38,0.38,32.34
2025-01-01 05:00:00+00:00,0.381,0.381,0.38,0.381,6971.25
2025-01-01 05:15:00+00:00,0.381,0.381,0.381,0.381,165.65
2025-01-01 05:30:00+00:00,0.381,0.382,0.381,0.381,74576.7
2025-01-01 05:50:00+00:00,0.382,0.382,0.381,0.381,1287.12
2025-01-01 06:00:00+00:00,0.38,0.38,0.38,0.38,212.47
2025-01-01 06:10:00+00:00,0.38,0.38,0.38,0.38,162.74
2025-01-01 06:20:00+00:00,0.381,0.381,0.378,0.378,10009.02
2025-01-01 06:35:00+00:00,0.379,0.379,0.379,0.379,259.32
2025-01-01 06:50:00+00:00,0.38,0.38,0.38,0.38,1109.41
2025-01-01 07:15:00+00:00,0.38,0.381,0.38,0.381,675.32
2025-01-01 07:30:00+00:00,0.381,0.383,0.381,0.383,1740.22
2025-01-01 07:45:00+00:00,0.381,0.382,0.381,0.382,0.94
2025-01-01 07:55:00+00:00,0.382,0.383,0.382,0.383,500.52
2025-01-01 08:10:00+00:00,0.382,0.383,0.382,0.383,2131.19
2025-01-01 08:25:00+00:00,0.38,0.38,0.38,0.38,326.45
2025-01-01 08:40:00+00:00,0.38,0.38,0.378,0.378,596.96
2025-01-01 09:05:00+00:00,0.377,0.377,0.376,0.376,76.94
2025-01-01 09:10:00+00:00,0.376,0.376,0.376,0.376,12896.15
2025-01-01 09:20:00+00:00,0.375,0.375,0.375,0.375,1734.95
2025-01-01 09:25:00+00:00,0.375,0.375,0.374,0.375,8600.0
2025-01-01 09:30:00+00:00,0.376,0.376,0.374,0.374,3996.53
2025-01-01 09:35:00+00:00,0.374,0.374,0.374,0.374,3927.35
2025-01-01 09:40:00+00:00,0.374,0.376,0.374,0.376,601.17
2025-01-01 10:45:00+00:00,0.376,0.376,0.375,0.375,10.15
2025-01-01 11:05:00+00:00,0.375,0.375,0.374,0.374,29.58
2025-01-01 11:20:00+00:00,0.376,0.377,0.376,0.377,250.26
2025-01-01 11:30:00+00:00,0.377,0.377,0.377,0.377,21.94
2025-01-01 11:40:00+00:00,0.379,0.38,0.379,0.379,4253.93
2025-01-01 11:50:00+00:00,0.38,0.38,0.377,0.377,14297.3
2025-01-01 12:10:00+00:00,0.377,0.377,0.376,0.377,76066.49
2025-01-01 12:20:00+00:00,0.378,0.379,0.378,0.379,3277.69
2025-01-01 12:45:00+00:00,0.379,0.379,0.379,0.379,660.45
2025-01-01 13:00:00+00:00,0.381,0.382,0.381,0.382,26331.0
2025-01-01 13:05:00+00:00,0.381,0.381,0.379,0.379,8152.8
2025-01-01 13:35:00+00:00,0.379,0.379,0.379,0.379,240.13
2025-01-01 13:55:00+00:00,0.379,0.382,0.379,0.382,83.22
