datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,308.27,322.32,306.16,319.2,41704.7
2025-01-02 00:00:00+00:00,319.12,339.52,318.18,333.14,58235.449
2025-01-03 00:00:00+00:00,333.29,356.02,316.98,350.56,67572.402
2025-01-04 00:00:00+00:00,350.69,361.19,338.96,351.61,34020.743
2025-01-05 00:00:00+00:00,351.65,352.64,339.23,341.61,25776.815
2025-01-06 00:00:00+00:00,341.67,355.2,335.8,341.65,34892.214
2025-01-07 00:00:00+00:00,341.52,343.34,305.27,306.86,43678.885
2025-01-08 00:00:00+00:00,306.84,312.5,275.57,293.31,77176.529
2025-01-09 00:00:00+00:00,293.34,299.8,272.98,281.14,84376.155
2025-01-10 00:00:00+00:00,281.26,300.92,277.1,285.74,64570.83
2025-01-11 00:00:00+00:00,285.82,293.9,280.05,287.18,23272.965
2025-01-12 00:00:00+00:00,287.17,295.66,284.65,287.78,23190.106
2025-01-13 00:00:00+00:00,287.86,296.61,256.01,289.38,124296.799
2025-01-14 00:00:00+00:00,289.55,301.4,285.17,295.39,100106.62
2025-01-15 00:00:00+00:00,295.45,324.07,285.63,319.89,72912.267
2025-01-16 00:00:00+00:00,320.03,321.47,305.01,311.21,50408.835
2025-01-17 00:00:00+00:00,311.28,337.28,310.87,335.37,83956.549
2025-01-18 00:00:00+00:00,335.29,342.0,306.1,315.18,80245.041
2025-01-19 00:00:00+00:00,315.12,347.76,292.15,308.82,147773.645
2025-01-20 00:00:00+00:00,308.93,364.95,296.07,337.09,192170.726
2025-01-21 00:00:00+00:00,337.07,378.6,327.23,370.81,204577.397
2025-01-22 00:00:00+00:00,370.88,372.34,345.1,346.27,60940.44
2025-01-23 00:00:00+00:00,346.42,350.29,324.08,337.43,117746.683
2025-01-24 00:00:00+00:00,337.5,357.8,328.01,334.83,71346.992
2025-01-25 00:00:00+00:00,334.85,338.45,326.04,326.38,52781.552
2025-01-26 00:00:00+00:00,326.43,336.35,315.73,316.48,39699.053
2025-01-27 00:00:00+00:00,316.45,320.51,288.0,305.07,117945.68
2025-01-28 00:00:00+00:00,304.95,307.97,280.78,284.04,92016.62
2025-01-29 00:00:00+00:00,284.0,302.0,282.28,290.91,113253.416
2025-01-30 00:00:00+00:00,291.02,322.24,287.05,315.52,94663.866
2025-01-31 00:00:00+00:00,315.58,349.0,312.53,332.47,131519.405
2025-02-01 00:00:00+00:00,332.54,333.33,295.0,296.09,55337.341
2025-02-02 00:00:00+00:00,296.13,304.76,245.69,258.78,114943.344
2025-02-03 00:00:00+00:00,258.83,285.38,195.56,276.77,301207.533
2025-02-04 00:00:00+00:00,276.82,278.66,249.47,272.34,134408.314
2025-02-05 00:00:00+00:00,272.37,283.41,256.1,259.77,73511.472
2025-02-06 00:00:00+00:00,259.53,266.92,239.24,241.4,70835.876
2025-02-07 00:00:00+00:00,241.51,262.29,231.11,238.13,84251.125
2025-02-08 00:00:00+00:00,238.11,241.97,231.18,238.83,30611.797
2025-02-09 00:00:00+00:00,238.88,252.84,229.84,241.27,45335.09
2025-02-10 00:00:00+00:00,241.34,258.61,234.55,252.68,60447.922
2025-02-11 00:00:00+00:00,252.69,262.87,241.91,243.78,50569.68
2025-02-12 00:00:00+00:00,243.65,261.05,231.74,252.79,79961.673
2025-02-13 00:00:00+00:00,252.95,258.2,246.51,256.49,55357.944
2025-02-14 00:00:00+00:00,256.5,270.28,253.07,262.65,48486.728
2025-02-15 00:00:00+00:00,262.67,263.64,249.79,253.38,14624.979
2025-02-16 00:00:00+00:00,253.36,259.01,249.9,254.05,14458.726
2025-02-17 00:00:00+00:00,254.0,278.73,249.7,264.48,76776.684
2025-02-18 00:00:00+00:00,264.52,266.32,241.33,249.39,56895.165
2025-02-19 00:00:00+00:00,248.95,258.23,246.65,252.95,33870.404
2025-02-20 00:00:00+00:00,253.22,263.53,251.16,261.23,33955.76
2025-02-21 00:00:00+00:00,261.31,269.18,238.5,242.87,61120.695
2025-02-22 00:00:00+00:00,242.88,251.66,239.03,247.12,31293.984
2025-02-23 00:00:00+00:00,247.2,254.25,243.39,247.79,22876.661
2025-02-24 00:00:00+00:00,247.8,249.38,205.3,210.76,51365.904
2025-02-25 00:00:00+00:00,210.64,213.49,189.58,204.9,91920.114
2025-02-26 00:00:00+00:00,204.95,211.58,191.86,202.3,87687.953
2025-02-27 00:00:00+00:00,202.35,209.83,196.41,203.83,40583.098
2025-02-28 00:00:00+00:00,203.86,204.33,178.0,192.1,67930.396
2025-03-01 00:00:00+00:00,192.11,196.96,183.37,194.97,36337.54
2025-03-02 00:00:00+00:00,194.91,227.03,190.01,223.55,75623.626
2025-03-03 00:00:00+00:00,223.54,224.49,177.68,180.81,79960.383
2025-03-04 00:00:00+00:00,180.86,217.0,167.42,206.72,197598.039
2025-03-05 00:00:00+00:00,206.57,226.16,204.31,220.82,115051.051
2025-03-06 00:00:00+00:00,220.86,239.73,208.22,208.52,125420.823
2025-03-07 00:00:00+00:00,208.44,212.6,195.22,196.57,124606.383
2025-03-08 00:00:00+00:00,196.6,199.57,185.17,195.67,67256.863
2025-03-09 00:00:00+00:00,195.67,198.16,176.28,178.45,96322.221
2025-03-10 00:00:00+00:00,178.56,201.98,175.15,180.24,196889.705
2025-03-11 00:00:00+00:00,180.27,186.24,166.89,181.99,191444.522
2025-03-12 00:00:00+00:00,182.04,184.27,163.87,174.77,176098.123
2025-03-13 00:00:00+00:00,174.72,176.23,160.07,162.72,158557.965
2025-03-14 00:00:00+00:00,162.8,177.0,161.96,173.15,84868.184
2025-03-15 00:00:00+00:00,173.17,177.3,171.78,172.96,27210.311
2025-03-16 00:00:00+00:00,173.02,174.0,163.29,164.73,42021.813
2025-03-17 00:00:00+00:00,164.67,177.41,164.56,174.74,49576.443
2025-03-18 00:00:00+00:00,174.72,175.3,164.79,170.03,38857.648
2025-03-19 00:00:00+00:00,170.12,184.72,169.65,182.54,84387.069
2025-03-20 00:00:00+00:00,182.57,183.26,171.5,178.65,48339.614
2025-03-21 00:00:00+00:00,178.67,183.05,173.95,178.15,48424.501
2025-03-22 00:00:00+00:00,178.2,183.64,178.14,179.8,27370.621
2025-03-23 00:00:00+00:00,179.77,186.48,179.45,185.08,36233.445
2025-03-24 00:00:00+00:00,185.01,194.75,181.28,190.83,53858.676
2025-03-25 00:00:00+00:00,190.73,192.54,185.37,186.79,37932.27
2025-03-26 00:00:00+00:00,186.72,190.35,175.16,177.46,43590.586
2025-03-27 00:00:00+00:00,177.51,186.21,177.11,184.73,25716.421
2025-03-28 00:00:00+00:00,184.73,186.92,168.34,175.84,44262.623
2025-03-29 00:00:00+00:00,175.82,180.52,165.78,168.1,37973.098
2025-03-30 00:00:00+00:00,168.06,169.53,161.34,163.56,37780.325
2025-03-31 00:00:00+00:00,163.64,164.6,151.81,159.58,51577.613
2025-04-01 00:00:00+00:00,159.62,171.43,159.1,166.06,48242.667
2025-04-02 00:00:00+00:00,166.07,168.95,149.5,150.24,117180.531
2025-04-03 00:00:00+00:00,150.24,157.26,146.32,151.1,44527.514
2025-04-04 00:00:00+00:00,151.15,153.98,144.35,151.94,56132.158
2025-04-05 00:00:00+00:00,152.03,155.37,149.42,152.4,14855.412
2025-04-06 00:00:00+00:00,152.45,152.52,126.25,128.89,58415.81
2025-04-07 00:00:00+00:00,128.92,136.21,113.93,131.93,161783.093
2025-04-08 00:00:00+00:00,131.94,136.09,123.46,125.2,91657.605
2025-04-09 00:00:00+00:00,125.23,145.11,119.75,143.08,115584.835
2025-04-10 00:00:00+00:00,143.09,143.3,128.13,131.9,69183.837
2025-04-11 00:00:00+00:00,131.85,139.45,131.27,136.46,68051.405
2025-04-12 00:00:00+00:00,136.46,150.12,133.74,148.02,56490.922
2025-04-13 00:00:00+00:00,148.08,148.34,136.61,139.1,39704.434
2025-04-14 00:00:00+00:00,139.15,147.22,136.86,137.62,54834.617
2025-04-15 00:00:00+00:00,137.69,142.15,133.56,134.19,61262.309
2025-04-16 00:00:00+00:00,134.17,137.45,129.88,133.98,41479.115
2025-04-17 00:00:00+00:00,133.94,141.53,133.85,138.9,38816.292
2025-04-18 00:00:00+00:00,138.95,141.13,137.19,138.44,23146.575
2025-04-19 00:00:00+00:00,138.43,142.95,137.95,141.95,24716.007
2025-04-20 00:00:00+00:00,141.98,143.5,136.83,140.92,23537.464
2025-04-21 00:00:00+00:00,140.96,146.04,139.09,142.86,57631.028
2025-04-22 00:00:00+00:00,142.88,159.05,139.75,158.21,95600.024
2025-04-23 00:00:00+00:00,158.27,169.75,157.78,168.17,118921.313
2025-04-24 00:00:00+00:00,168.16,170.82,158.2,168.02,100766.922
2025-04-25 00:00:00+00:00,168.04,170.69,162.99,166.63,94820.36
2025-04-26 00:00:00+00:00,166.6,173.3,164.46,172.96,70745.71
2025-04-27 00:00:00+00:00,173.04,179.38,165.49,166.67,68822.322
2025-04-28 00:00:00+00:00,166.67,175.07,161.83,166.28,105497.337
2025-04-29 00:00:00+00:00,166.34,171.31,163.37,165.63,61341.549
2025-04-30 00:00:00+00:00,165.63,166.97,155.48,164.27,62554.72
2025-05-01 00:00:00+00:00,164.18,179.41,164.18,173.04,88789.326
2025-05-02 00:00:00+00:00,173.03,179.3,171.93,174.68,46248.423
2025-05-03 00:00:00+00:00,174.71,181.18,169.64,178.08,66911.597
2025-05-04 00:00:00+00:00,178.1,179.02,170.93,171.14,40223.642
2025-05-05 00:00:00+00:00,171.07,180.8,169.64,176.91,53284.546
2025-05-06 00:00:00+00:00,176.9,179.15,163.27,177.84,70617.611
2025-05-07 00:00:00+00:00,177.83,180.06,167.37,172.13,55543.727
2025-05-08 00:00:00+00:00,172.11,208.42,172.07,206.25,123103.219
2025-05-09 00:00:00+00:00,206.22,220.68,202.52,211.18,69957.811
2025-05-10 00:00:00+00:00,211.26,230.43,208.86,228.64,77256.307
2025-05-11 00:00:00+00:00,228.6,230.48,213.92,221.2,50466.417
2025-05-12 00:00:00+00:00,221.19,229.71,211.87,221.8,81479.636
2025-05-13 00:00:00+00:00,221.9,238.39,210.39,236.41,70997.896
2025-05-14 00:00:00+00:00,236.2,239.2,223.98,229.57,52159.538
2025-05-15 00:00:00+00:00,229.65,235.35,216.83,223.9,83231.832
2025-05-16 00:00:00+00:00,223.92,245.2,221.54,230.89,86114.862
2025-05-17 00:00:00+00:00,231.04,232.08,220.0,222.25,46527.802
2025-05-18 00:00:00+00:00,222.28,243.92,219.09,232.06,75810.48
