datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,8.69,9.02,8.41,9.01,550290.778
2025-01-02 00:00:00+00:00,9.02,9.42,8.99,9.28,289740.979
2025-01-03 00:00:00+00:00,9.29,9.89,9.15,9.81,274179.72
2025-01-04 00:00:00+00:00,9.8,10.07,9.63,10.0,372377.359
2025-01-05 00:00:00+00:00,9.99,10.16,9.72,10.1,436350.729
2025-01-06 00:00:00+00:00,10.1,10.4,9.8,10.19,814623.016
2025-01-07 00:00:00+00:00,10.18,10.71,9.52,9.67,1397495.388
2025-01-08 00:00:00+00:00,9.66,9.85,8.64,9.02,1110156.023
2025-01-09 00:00:00+00:00,9.02,9.13,8.45,8.65,651193.691
2025-01-10 00:00:00+00:00,8.65,9.31,8.64,9.14,455352.78
2025-01-11 00:00:00+00:00,9.14,9.27,8.84,9.13,221659.856
2025-01-12 00:00:00+00:00,9.12,9.15,8.72,8.83,347306.806
2025-01-13 00:00:00+00:00,8.82,9.08,7.9,8.48,610979.218
2025-01-14 00:00:00+00:00,8.47,9.11,8.41,9.02,377960.552
2025-01-15 00:00:00+00:00,9.02,9.52,8.74,9.47,611453.558
2025-01-16 00:00:00+00:00,9.47,9.5,9.02,9.23,959818.711
2025-01-17 00:00:00+00:00,9.24,9.84,9.24,9.76,487642.528
2025-01-18 00:00:00+00:00,9.77,9.88,9.06,9.32,500942.26
2025-01-19 00:00:00+00:00,9.32,9.55,8.39,8.49,814545.91
2025-01-20 00:00:00+00:00,8.49,9.25,8.2,8.54,1114960.283
2025-01-21 00:00:00+00:00,8.54,8.87,8.09,8.74,518321.415
2025-01-22 00:00:00+00:00,8.74,8.98,8.45,8.49,335404.63
2025-01-23 00:00:00+00:00,8.49,8.58,8.09,8.34,366878.15
2025-01-24 00:00:00+00:00,8.34,8.58,7.99,8.21,516825.895
2025-01-25 00:00:00+00:00,8.21,8.26,8.04,8.09,278520.917
2025-01-26 00:00:00+00:00,8.1,8.44,7.8,7.82,277651.541
2025-01-27 00:00:00+00:00,7.82,7.82,6.87,7.63,736841.982
2025-01-28 00:00:00+00:00,7.62,7.76,7.12,7.22,560545.439
2025-01-29 00:00:00+00:00,7.2,7.68,7.16,7.43,539726.828
2025-01-30 00:00:00+00:00,7.43,8.02,7.37,7.84,542830.715
2025-01-31 00:00:00+00:00,7.84,8.41,7.68,7.81,637845.833
2025-02-01 00:00:00+00:00,7.8,7.86,7.02,7.05,292570.177
2025-02-02 00:00:00+00:00,7.05,7.19,5.83,6.15,1227178.293
2025-02-03 00:00:00+00:00,6.16,6.52,4.55,6.51,1967458.339
2025-02-04 00:00:00+00:00,6.51,6.59,5.84,6.09,428173.63
2025-02-05 00:00:00+00:00,6.09,6.27,5.86,5.96,438363.095
2025-02-06 00:00:00+00:00,5.97,6.15,5.68,5.74,813123.447
2025-02-07 00:00:00+00:00,5.73,6.25,5.52,5.72,1045076.814
2025-02-08 00:00:00+00:00,5.71,5.89,5.51,5.84,404810.081
2025-02-09 00:00:00+00:00,5.85,5.98,5.6,5.9,309554.918
2025-02-10 00:00:00+00:00,5.91,6.39,5.67,6.2,833546.36
2025-02-11 00:00:00+00:00,6.19,6.4,5.81,5.88,594681.276
2025-02-12 00:00:00+00:00,5.88,6.25,5.74,6.16,698826.678
2025-02-13 00:00:00+00:00,6.16,6.31,5.95,6.13,716071.305
2025-02-14 00:00:00+00:00,6.14,6.32,5.99,6.1,1033629.031
2025-02-15 00:00:00+00:00,6.1,6.26,5.96,6.01,251083.175
