datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,8.69,8.78,8.65,8.7,280834.876
2025-01-01 06:00:00+00:00,8.71,8.71,8.41,8.52,97757.011
2025-01-01 12:00:00+00:00,8.52,8.83,8.52,8.8,79576.446
2025-01-01 18:00:00+00:00,8.81,9.02,8.75,9.01,92122.445
2025-01-02 00:00:00+00:00,9.02,9.27,8.99,9.19,80579.633
2025-01-02 06:00:00+00:00,9.19,9.4,9.11,9.34,79766.702
2025-01-02 12:00:00+00:00,9.36,9.42,9.2,9.26,73405.598
2025-01-02 18:00:00+00:00,9.26,9.31,9.16,9.28,55989.046
2025-01-03 00:00:00+00:00,9.29,9.35,9.15,9.24,39191.535
2025-01-03 06:00:00+00:00,9.24,9.49,9.15,9.47,30712.461
2025-01-03 12:00:00+00:00,9.49,9.87,9.45,9.8,141364.132
2025-01-03 18:00:00+00:00,9.79,9.89,9.71,9.81,62911.592
2025-01-04 00:00:00+00:00,9.8,10.0,9.63,9.78,111943.075
2025-01-04 06:00:00+00:00,9.78,9.85,9.65,9.8,33459.353
2025-01-04 12:00:00+00:00,9.81,10.0,9.68,9.79,109528.434
2025-01-04 18:00:00+00:00,9.8,10.07,9.78,10.0,117446.497
2025-01-05 00:00:00+00:00,9.99,10.03,9.82,9.86,120452.059
2025-01-05 06:00:00+00:00,9.86,9.99,9.74,9.83,90985.469
2025-01-05 12:00:00+00:00,9.85,9.98,9.72,9.88,109581.75
2025-01-05 18:00:00+00:00,9.88,10.16,9.82,10.1,115331.451
2025-01-06 00:00:00+00:00,10.1,10.14,9.85,10.0,122044.775
2025-01-06 06:00:00+00:00,10.0,10.04,9.8,9.95,88902.079
2025-01-06 12:00:00+00:00,9.96,10.4,9.81,10.05,454931.839
2025-01-06 18:00:00+00:00,10.05,10.2,10.01,10.19,148744.323
2025-01-07 00:00:00+00:00,10.18,10.38,10.13,10.21,272498.253
2025-01-07 06:00:00+00:00,10.22,10.49,10.19,10.45,265830.372
2025-01-07 12:00:00+00:00,10.45,10.71,9.76,9.85,563798.349
2025-01-07 18:00:00+00:00,9.84,9.9,9.52,9.67,295368.414
2025-01-08 00:00:00+00:00,9.66,9.85,9.22,9.25,276517.9
2025-01-08 06:00:00+00:00,9.25,9.41,9.01,9.2,254023.254
2025-01-08 12:00:00+00:00,9.19,9.27,8.64,8.85,338888.039
2025-01-08 18:00:00+00:00,8.83,9.08,8.82,9.02,240726.83
2025-01-09 00:00:00+00:00,9.02,9.13,8.85,8.88,125527.827
2025-01-09 06:00:00+00:00,8.87,8.89,8.64,8.8,181602.727
2025-01-09 12:00:00+00:00,8.78,8.93,8.51,8.7,199749.009
2025-01-09 18:00:00+00:00,8.68,8.78,8.45,8.65,144314.128
2025-01-10 00:00:00+00:00,8.65,8.86,8.64,8.79,66415.56
2025-01-10 06:00:00+00:00,8.78,9.22,8.76,9.09,68320.781
2025-01-10 12:00:00+00:00,9.09,9.17,8.81,9.14,148598.253
2025-01-10 18:00:00+00:00,9.13,9.31,9.03,9.14,172018.186
2025-01-11 00:00:00+00:00,9.14,9.23,8.85,8.96,79643.079
2025-01-11 06:00:00+00:00,8.97,9.01,8.84,9.0,34554.344
2025-01-11 12:00:00+00:00,9.0,9.11,8.88,9.03,41375.03
2025-01-11 18:00:00+00:00,9.05,9.27,8.96,9.13,66087.403
2025-01-12 00:00:00+00:00,9.12,9.15,8.95,9.0,60777.255
2025-01-12 06:00:00+00:00,9.01,9.02,8.83,8.94,95009.954
2025-01-12 12:00:00+00:00,8.93,9.12,8.89,9.06,48462.717
2025-01-12 18:00:00+00:00,9.06,9.1,8.72,8.83,143056.88
2025-01-13 00:00:00+00:00,8.82,9.08,8.51,8.51,101136.259
2025-01-13 06:00:00+00:00,8.53,8.57,8.12,8.12,78486.375
2025-01-13 12:00:00+00:00,8.13,8.37,7.9,8.09,323961.895
2025-01-13 18:00:00+00:00,8.1,8.51,7.98,8.48,107394.689
2025-01-14 00:00:00+00:00,8.47,8.64,8.41,8.52,60736.313
2025-01-14 06:00:00+00:00,8.53,8.94,8.51,8.82,111157.032
2025-01-14 12:00:00+00:00,8.82,8.83,8.64,8.79,107228.886
2025-01-14 18:00:00+00:00,8.8,9.11,8.77,9.02,98838.321
2025-01-15 00:00:00+00:00,9.02,9.08,8.89,8.99,84946.416
2025-01-15 06:00:00+00:00,8.99,9.08,8.74,8.79,62794.527
2025-01-15 12:00:00+00:00,8.81,9.4,8.75,9.15,335638.816
2025-01-15 18:00:00+00:00,9.16,9.52,9.16,9.47,128073.799
2025-01-16 00:00:00+00:00,9.47,9.49,9.22,9.32,265358.769
2025-01-16 06:00:00+00:00,9.32,9.37,9.12,9.32,96667.87
2025-01-16 12:00:00+00:00,9.32,9.5,9.02,9.4,505652.354
2025-01-16 18:00:00+00:00,9.4,9.48,9.16,9.23,92139.718
2025-01-17 00:00:00+00:00,9.24,9.65,9.24,9.55,148501.47
2025-01-17 06:00:00+00:00,9.55,9.74,9.45,9.67,90140.354
2025-01-17 12:00:00+00:00,9.67,9.78,9.53,9.59,123987.583
2025-01-17 18:00:00+00:00,9.6,9.84,9.58,9.76,125013.121
2025-01-18 00:00:00+00:00,9.77,9.88,9.2,9.21,127018.589
2025-01-18 06:00:00+00:00,9.2,9.39,9.06,9.27,90795.903
2025-01-18 12:00:00+00:00,9.26,9.38,9.12,9.15,122484.979
2025-01-18 18:00:00+00:00,9.14,9.34,9.1,9.32,160642.789
2025-01-19 00:00:00+00:00,9.32,9.53,9.25,9.51,155119.131
2025-01-19 06:00:00+00:00,9.51,9.52,8.66,8.73,185798.424
2025-01-19 12:00:00+00:00,8.73,9.49,8.72,9.48,166199.73
2025-01-19 18:00:00+00:00,9.48,9.55,8.39,8.49,307428.625
