datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,0.7204,0.7493,0.7034,0.7445,3396931.15
2025-01-02 00:00:00+00:00,0.7447,0.7871,0.7447,0.7755,5715621.05
2025-01-03 00:00:00+00:00,0.7756,0.8378,0.7615,0.8343,4634522.38
2025-01-04 00:00:00+00:00,0.8345,0.9087,0.8247,0.8952,12699193.19
2025-01-05 00:00:00+00:00,0.8953,0.9259,0.8773,0.917,15830048.39
2025-01-06 00:00:00+00:00,0.9171,0.9563,0.9039,0.919,24235583.88
2025-01-07 00:00:00+00:00,0.9191,0.9215,0.8174,0.8205,6651359.26
2025-01-08 00:00:00+00:00,0.8206,0.8309,0.7511,0.7871,7124461.36
2025-01-09 00:00:00+00:00,0.7869,0.7988,0.7312,0.7434,7150532.86
2025-01-10 00:00:00+00:00,0.7431,0.7742,0.7311,0.7478,6147752.6
2025-01-11 00:00:00+00:00,0.7478,0.7603,0.7246,0.7437,2742169.15
2025-01-12 00:00:00+00:00,0.7439,0.7515,0.7193,0.7303,3014920.87
2025-01-13 00:00:00+00:00,0.7302,0.7492,0.65,0.7029,8170361.15
2025-01-14 00:00:00+00:00,0.7031,0.7442,0.6976,0.7387,5278260.24
2025-01-15 00:00:00+00:00,0.7388,0.7975,0.7172,0.7917,5785003.61
2025-01-16 00:00:00+00:00,0.7921,0.798,0.7466,0.7572,10290688.76
2025-01-17 00:00:00+00:00,0.7574,0.83,0.7571,0.8154,5433081.86
2025-01-18 00:00:00+00:00,0.8156,0.8351,0.7493,0.7667,5260336.99
2025-01-19 00:00:00+00:00,0.7664,0.7942,0.6831,0.6981,16829193.5
2025-01-20 00:00:00+00:00,0.6983,0.7598,0.665,0.6974,16545887.71
2025-01-21 00:00:00+00:00,0.6974,0.7488,0.6701,0.7227,8524634.19
2025-01-22 00:00:00+00:00,0.7226,0.7381,0.696,0.7006,5671950.77
2025-01-23 00:00:00+00:00,0.7004,0.7246,0.6827,0.7202,7339814.02
2025-01-24 00:00:00+00:00,0.7204,0.7424,0.6958,0.6994,6727738.88
2025-01-25 00:00:00+00:00,0.6993,0.7117,0.687,0.7005,4270711.9
2025-01-26 00:00:00+00:00,0.7007,0.7167,0.6748,0.6755,3932423.49
2025-01-27 00:00:00+00:00,0.6754,0.6779,0.6041,0.6435,11729529.27
2025-01-28 00:00:00+00:00,0.643,0.653,0.585,0.5927,6609768.34
2025-01-29 00:00:00+00:00,0.5924,0.6268,0.5902,0.6061,5428406.77
2025-01-30 00:00:00+00:00,0.6062,0.6439,0.5996,0.6302,3993074.58
2025-01-31 00:00:00+00:00,0.6307,0.6745,0.6153,0.6412,6322956.85
2025-02-01 00:00:00+00:00,0.6412,0.6527,0.572,0.5781,8000155.43
2025-02-02 00:00:00+00:00,0.578,0.5916,0.4674,0.4938,10468723.01
2025-02-03 00:00:00+00:00,0.4938,0.5164,0.3801,0.5113,33994327.23
2025-02-04 00:00:00+00:00,0.5112,0.5143,0.4525,0.4778,14443314.05
2025-02-05 00:00:00+00:00,0.4778,0.4986,0.4644,0.4707,18030507.26
2025-02-06 00:00:00+00:00,0.4706,0.4832,0.4419,0.4457,25954430.78
2025-02-07 00:00:00+00:00,0.4457,0.4674,0.4204,0.4328,30878084.46
2025-02-08 00:00:00+00:00,0.4326,0.4533,0.4283,0.45,11374469.66
2025-02-09 00:00:00+00:00,0.4502,0.4675,0.4283,0.449,12610683.83
2025-02-10 00:00:00+00:00,0.4489,0.4807,0.4353,0.4723,15247985.94
2025-02-11 00:00:00+00:00,0.4723,0.4937,0.4577,0.4629,16503565.15
2025-02-12 00:00:00+00:00,0.4628,0.5091,0.449,0.4938,31694114.7
2025-02-13 00:00:00+00:00,0.494,0.5036,0.476,0.4874,18035890.04
2025-02-14 00:00:00+00:00,0.4875,0.5117,0.4838,0.4976,16918124.18
2025-02-15 00:00:00+00:00,0.4977,0.4989,0.4714,0.4769,6896635.88
2025-02-16 00:00:00+00:00,0.4769,0.4893,0.4715,0.4742,7859255.43
2025-02-17 00:00:00+00:00,0.4741,0.5144,0.4662,0.4967,15026921.92
2025-02-18 00:00:00+00:00,0.4965,0.4986,0.439,0.4601,19124629.72
2025-02-19 00:00:00+00:00,0.4602,0.4741,0.4518,0.4713,9562407.78
2025-02-20 00:00:00+00:00,0.4715,0.4959,0.4703,0.4908,12281470.41
2025-02-21 00:00:00+00:00,0.491,0.5102,0.4575,0.4677,19036449.98
2025-02-22 00:00:00+00:00,0.4676,0.4867,0.465,0.4767,8813492.67
2025-02-23 00:00:00+00:00,0.4767,0.4906,0.4725,0.4781,7035618.14
2025-02-24 00:00:00+00:00,0.4781,0.4815,0.4005,0.411,26244717.73
2025-02-25 00:00:00+00:00,0.4109,0.427,0.3805,0.4192,36945374.76
2025-02-26 00:00:00+00:00,0.4192,0.432,0.4031,0.4221,19930867.39
2025-02-27 00:00:00+00:00,0.4219,0.4385,0.4112,0.4245,17202488.54
2025-02-28 00:00:00+00:00,0.4248,0.4262,0.3829,0.4218,31839717.41
2025-03-01 00:00:00+00:00,0.4219,0.4266,0.4027,0.4177,8238559.3
2025-03-02 00:00:00+00:00,0.4179,0.4665,0.409,0.4629,18122738.42
2025-03-03 00:00:00+00:00,0.4631,0.4641,0.3827,0.3914,21615369.15
2025-03-04 00:00:00+00:00,0.3915,0.3935,0.3496,0.3795,17764035.68
2025-03-05 00:00:00+00:00,0.3794,0.4349,0.3747,0.4151,22587281.42
2025-03-06 00:00:00+00:00,0.4149,0.4294,0.3997,0.4037,8351566.69
2025-03-07 00:00:00+00:00,0.4039,0.4161,0.3858,0.3947,11564817.0
2025-03-08 00:00:00+00:00,0.3946,0.4039,0.3821,0.3979,5010569.27
2025-03-09 00:00:00+00:00,0.3979,0.3994,0.3446,0.3495,10150728.97
2025-03-10 00:00:00+00:00,0.3496,0.3722,0.3141,0.3202,17139540.19
2025-03-11 00:00:00+00:00,0.3203,0.3471,0.2947,0.3376,27660308.16
