datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,6.174,6.644,6.039,6.53,428815.55
2025-01-02 00:00:00+00:00,6.531,6.8,6.531,6.698,367358.41
2025-01-03 00:00:00+00:00,6.703,7.459,6.667,7.422,616619.59
2025-01-04 00:00:00+00:00,7.423,7.469,7.238,7.296,338019.87
2025-01-05 00:00:00+00:00,7.293,7.368,7.144,7.342,251052.62
2025-01-06 00:00:00+00:00,7.342,7.635,7.213,7.461,554997.89
2025-01-07 00:00:00+00:00,7.445,7.769,6.766,6.772,637080.47
2025-01-08 00:00:00+00:00,6.77,6.87,6.166,6.459,537023.68
2025-01-09 00:00:00+00:00,6.458,6.601,6.243,6.395,593501.76
2025-01-10 00:00:00+00:00,6.397,6.673,6.364,6.649,420569.19
2025-01-11 00:00:00+00:00,6.652,6.737,6.514,6.611,266914.47
2025-01-12 00:00:00+00:00,6.615,6.695,6.365,6.461,286851.12
2025-01-13 00:00:00+00:00,6.461,6.697,5.9,6.285,626016.83
2025-01-14 00:00:00+00:00,6.285,6.315,6.052,6.27,587182.97
2025-01-15 00:00:00+00:00,6.271,6.689,6.145,6.667,719670.62
2025-01-16 00:00:00+00:00,6.665,6.796,6.436,6.592,636047.8
2025-01-17 00:00:00+00:00,6.594,7.18,6.593,7.056,769461.89
2025-01-18 00:00:00+00:00,7.059,7.18,6.445,6.586,741891.51
2025-01-19 00:00:00+00:00,6.583,6.762,5.771,5.886,1104492.27
2025-01-20 00:00:00+00:00,5.888,6.531,5.678,6.063,1179044.1
2025-01-21 00:00:00+00:00,6.064,6.354,5.834,6.241,638355.94
2025-01-22 00:00:00+00:00,6.237,6.33,6.104,6.194,460947.27
2025-01-23 00:00:00+00:00,6.196,6.22,5.856,6.119,657334.4
2025-01-24 00:00:00+00:00,6.124,6.417,5.955,6.212,550398.44
2025-01-25 00:00:00+00:00,6.212,6.294,6.123,6.195,709929.28
2025-01-26 00:00:00+00:00,6.195,6.416,6.082,6.095,438216.1
