datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,35.63,35.91,35.59,35.84,7683.85883726
2025-01-01 00:30:00+00:00,35.83,36.15,35.81,36.11,13290.45465227
2025-01-01 01:00:00+00:00,36.12,36.13,35.83,35.85,5522.7295095
2025-01-01 01:30:00+00:00,35.84,35.96,35.63,35.68,13161.92341034
2025-01-01 02:00:00+00:00,35.69,35.81,35.58,35.62,5241.72064573
2025-01-01 02:30:00+00:00,35.64,35.79,35.62,35.74,3612.80236091
2025-01-01 03:00:00+00:00,35.74,35.76,35.5,35.54,3623.09725047
2025-01-01 03:30:00+00:00,35.55,35.61,35.52,35.53,8359.11479966
2025-01-01 04:00:00+00:00,35.52,35.53,35.34,35.42,6898.02729786
2025-01-01 04:30:00+00:00,35.42,35.45,35.27,35.29,17680.21378652
2025-01-01 05:00:00+00:00,35.3,35.47,35.26,35.45,24552.87829059
2025-01-01 05:30:00+00:00,35.45,35.53,35.41,35.46,3311.3601632
2025-01-01 06:00:00+00:00,35.45,35.56,35.4,35.5,3998.6912458
2025-01-01 06:30:00+00:00,35.51,35.62,35.36,35.61,2759.980621
2025-01-01 07:00:00+00:00,35.62,35.68,35.55,35.58,3658.17213919
2025-01-01 07:30:00+00:00,35.57,35.64,35.52,35.56,2765.01521121
2025-01-01 08:00:00+00:00,35.55,35.62,35.32,35.37,734.10106704
2025-01-01 08:30:00+00:00,35.37,35.46,35.18,35.24,4274.7544794
2025-01-01 09:00:00+00:00,35.25,35.31,35.0,35.06,3646.69755567
2025-01-01 09:30:00+00:00,35.06,35.13,34.9,35.13,5707.17782026
2025-01-01 10:00:00+00:00,35.13,35.3,35.13,35.23,882.86166009
2025-01-01 10:30:00+00:00,35.24,35.31,35.17,35.17,2619.72838899
2025-01-01 11:00:00+00:00,35.16,35.34,35.04,35.34,1507.63227439
2025-01-01 11:30:00+00:00,35.34,35.64,35.26,35.49,3823.59546157
2025-01-01 12:00:00+00:00,35.48,35.74,35.44,35.69,1491.53496291
2025-01-01 12:30:00+00:00,35.7,35.88,35.63,35.87,1198.56482084
2025-01-01 13:00:00+00:00,35.85,36.02,35.69,35.75,4833.35517225
2025-01-01 13:30:00+00:00,35.77,35.92,35.74,35.91,4025.7016456
2025-01-01 14:00:00+00:00,35.92,36.14,35.92,35.93,2781.8998754
2025-01-01 14:30:00+00:00,35.92,36.02,35.72,36.0,1275.94561949
