datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,35.63,36.15,35.26,35.45,112938.18025268
2025-01-01 06:00:00+00:00,35.46,35.68,34.9,35.48,36373.40867624
2025-01-01 12:00:00+00:00,35.48,36.65,35.44,36.27,60880.40799852
2025-01-01 18:00:00+00:00,36.28,37.91,36.09,37.7,124618.71188663
2025-01-02 00:00:00+00:00,37.71,39.17,37.71,38.7,135468.04614809
2025-01-02 06:00:00+00:00,38.7,40.52,38.49,40.36,148120.01052038
2025-01-02 12:00:00+00:00,40.37,40.56,39.03,39.21,241172.63667044
2025-01-02 18:00:00+00:00,39.2,39.33,38.76,39.23,100771.43710328
2025-01-03 00:00:00+00:00,39.25,39.92,38.88,39.92,174243.93852754
2025-01-03 06:00:00+00:00,39.92,41.31,39.31,41.27,201524.7182823
2025-01-03 12:00:00+00:00,41.28,42.15,40.94,41.77,266712.99125793
2025-01-03 18:00:00+00:00,41.77,42.15,41.43,41.92,140191.69343158
2025-01-04 00:00:00+00:00,41.91,42.36,41.46,41.95,78775.29932868
2025-01-04 06:00:00+00:00,41.94,42.06,41.2,41.44,35613.48107078
2025-01-04 12:00:00+00:00,41.44,42.1,40.89,41.6,101363.40352549
2025-01-04 18:00:00+00:00,41.6,42.82,41.46,42.63,189834.88195418
2025-01-05 00:00:00+00:00,42.63,42.86,41.85,42.27,72479.20760608
2025-01-05 06:00:00+00:00,42.27,42.79,41.43,41.75,54788.01174339
2025-01-05 12:00:00+00:00,41.74,42.18,41.23,41.86,87291.53767348
2025-01-05 18:00:00+00:00,41.87,43.19,41.75,43.09,94212.71223777
2025-01-06 00:00:00+00:00,43.09,43.98,42.02,43.72,371125.17155868
2025-01-06 06:00:00+00:00,43.72,44.58,43.17,44.25,200209.24871149
2025-01-06 12:00:00+00:00,44.25,45.05,43.38,44.07,343494.59371156
2025-01-06 18:00:00+00:00,44.07,44.58,43.72,44.08,136139.99240336
2025-01-07 00:00:00+00:00,44.07,44.59,43.57,44.0,85435.96698687
2025-01-07 06:00:00+00:00,44.0,44.19,42.85,43.13,76742.21010948
2025-01-07 12:00:00+00:00,43.12,43.22,40.12,40.39,412694.45894565
2025-01-07 18:00:00+00:00,40.38,40.74,39.12,39.18,320833.60148465
2025-01-08 00:00:00+00:00,39.19,39.92,38.33,38.53,239061.47441537
2025-01-08 06:00:00+00:00,38.53,39.14,37.56,38.13,128016.13591078
2025-01-08 12:00:00+00:00,38.14,38.63,36.18,37.4,307827.91144095
