datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,6.203,6.494,6.036,6.408,71554.204
2025-01-02 00:00:00+00:00,6.413,6.762,6.408,6.73,72222.101
2025-01-03 00:00:00+00:00,6.726,7.133,6.622,7.066,78776.43
2025-01-04 00:00:00+00:00,7.095,7.163,6.928,7.012,54163.223
2025-01-05 00:00:00+00:00,7.008,7.055,6.836,7.031,59948.411
2025-01-06 00:00:00+00:00,7.038,7.462,6.924,7.29,116267.394
2025-01-07 00:00:00+00:00,7.281,7.32,6.453,6.456,147495.634
2025-01-08 00:00:00+00:00,6.462,6.542,5.863,6.194,300446.438
2025-01-09 00:00:00+00:00,6.193,6.339,5.986,6.182,144664.807
2025-01-10 00:00:00+00:00,6.19,6.398,6.076,6.337,62872.301
2025-01-11 00:00:00+00:00,6.336,6.404,6.162,6.28,40306.231
2025-01-12 00:00:00+00:00,6.28,6.349,6.064,6.152,79827.062
2025-01-13 00:00:00+00:00,6.138,6.318,5.574,6.048,115449.664
2025-01-14 00:00:00+00:00,6.044,6.304,6.006,6.243,58246.245
2025-01-15 00:00:00+00:00,6.242,6.572,6.114,6.563,67148.937
2025-01-16 00:00:00+00:00,6.565,6.611,6.279,6.406,69974.237
2025-01-17 00:00:00+00:00,6.408,6.792,6.408,6.743,80261.908
2025-01-18 00:00:00+00:00,6.745,6.812,6.158,6.283,79854.207
2025-01-19 00:00:00+00:00,6.281,6.5,5.684,5.801,128944.363
2025-01-20 00:00:00+00:00,5.798,6.334,5.604,5.942,123925.809
2025-01-21 00:00:00+00:00,5.937,6.245,5.676,6.111,55732.159
2025-01-22 00:00:00+00:00,6.105,6.152,5.91,5.918,44174.814
2025-01-23 00:00:00+00:00,5.917,5.996,5.723,5.897,81950.943
2025-01-24 00:00:00+00:00,5.895,6.05,5.696,5.727,107980.208
2025-01-25 00:00:00+00:00,5.725,5.798,5.641,5.713,27180.49
2025-01-26 00:00:00+00:00,5.712,5.829,5.538,5.546,29953.359
2025-01-27 00:00:00+00:00,5.544,5.561,5.046,5.46,66960.646
2025-01-28 00:00:00+00:00,5.458,5.505,4.994,5.043,72460.326
2025-01-29 00:00:00+00:00,5.041,5.319,4.99,5.156,36256.876
2025-01-30 00:00:00+00:00,5.157,5.557,5.097,5.455,121395.845
2025-01-31 00:00:00+00:00,5.457,5.678,5.359,5.418,44460.57
2025-02-01 00:00:00+00:00,5.419,5.484,4.971,5.004,49222.091
2025-02-02 00:00:00+00:00,5.002,5.106,4.092,4.336,166342.039
2025-02-03 00:00:00+00:00,4.332,4.487,3.283,4.445,264605.558
2025-02-04 00:00:00+00:00,4.447,4.515,3.975,4.116,196466.604
2025-02-05 00:00:00+00:00,4.115,4.297,4.051,4.106,71556.413
2025-02-06 00:00:00+00:00,4.108,4.211,3.887,3.921,68071.42
2025-02-07 00:00:00+00:00,3.922,4.248,3.885,4.003,74318.049
2025-02-08 00:00:00+00:00,4.001,4.198,3.969,4.181,25370.153
2025-02-09 00:00:00+00:00,4.18,4.306,3.994,4.188,38767.445
2025-02-10 00:00:00+00:00,4.184,4.366,4.056,4.325,37811.674
2025-02-11 00:00:00+00:00,4.324,4.543,4.181,4.258,58667.492
2025-02-12 00:00:00+00:00,4.258,4.499,4.2,4.451,57598.059
2025-02-13 00:00:00+00:00,4.454,4.491,4.281,4.379,65347.487
2025-02-14 00:00:00+00:00,4.381,4.644,4.355,4.547,307859.309
2025-02-15 00:00:00+00:00,4.543,4.574,4.364,4.396,20063.233
2025-02-16 00:00:00+00:00,4.393,4.504,4.321,4.371,40722.893
