datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,6.203,6.311,6.199,6.259,5543.494
2025-01-01 02:00:00+00:00,6.257,6.27,6.213,6.214,12978.682
2025-01-01 04:00:00+00:00,6.215,6.217,6.16,6.203,16019.16
2025-01-01 06:00:00+00:00,6.205,6.219,6.17,6.2,3993.441
2025-01-01 08:00:00+00:00,6.199,6.203,6.036,6.072,6936.071
2025-01-01 10:00:00+00:00,6.073,6.174,6.071,6.15,2786.439
2025-01-01 12:00:00+00:00,6.149,6.296,6.126,6.238,2825.227
2025-01-01 14:00:00+00:00,6.238,6.331,6.19,6.324,2285.616
2025-01-01 16:00:00+00:00,6.325,6.385,6.242,6.34,3704.641
2025-01-01 18:00:00+00:00,6.339,6.465,6.291,6.449,3686.909
2025-01-01 20:00:00+00:00,6.447,6.494,6.418,6.426,4946.869
2025-01-01 22:00:00+00:00,6.428,6.435,6.389,6.408,5847.655
2025-01-02 00:00:00+00:00,6.413,6.567,6.408,6.486,12063.251
2025-01-02 02:00:00+00:00,6.487,6.513,6.455,6.457,6232.355
2025-01-02 04:00:00+00:00,6.458,6.565,6.458,6.501,2463.306
2025-01-02 06:00:00+00:00,6.498,6.564,6.46,6.56,4089.039
2025-01-02 08:00:00+00:00,6.558,6.663,6.537,6.658,6296.304
2025-01-02 10:00:00+00:00,6.657,6.696,6.625,6.684,6250.995
2025-01-02 12:00:00+00:00,6.682,6.719,6.651,6.659,5317.913
2025-01-02 14:00:00+00:00,6.661,6.762,6.611,6.672,3717.741
2025-01-02 16:00:00+00:00,6.676,6.752,6.63,6.657,8947.626
2025-01-02 18:00:00+00:00,6.659,6.712,6.653,6.681,3843.489
2025-01-02 20:00:00+00:00,6.681,6.729,6.657,6.667,7120.546
2025-01-02 22:00:00+00:00,6.667,6.741,6.615,6.73,5879.536
2025-01-03 00:00:00+00:00,6.726,6.743,6.644,6.696,5443.815
2025-01-03 02:00:00+00:00,6.697,6.8,6.685,6.763,3104.774
2025-01-03 04:00:00+00:00,6.749,6.751,6.645,6.667,4584.111
2025-01-03 06:00:00+00:00,6.67,6.72,6.622,6.639,4175.306
2025-01-03 08:00:00+00:00,6.64,6.802,6.64,6.772,2267.867
2025-01-03 10:00:00+00:00,6.771,6.958,6.726,6.926,16225.478
2025-01-03 12:00:00+00:00,6.923,6.953,6.852,6.875,11756.461
2025-01-03 14:00:00+00:00,6.877,7.063,6.876,7.062,7123.835
2025-01-03 16:00:00+00:00,7.062,7.132,7.04,7.081,7729.751
2025-01-03 18:00:00+00:00,7.08,7.133,7.055,7.104,4728.515
2025-01-03 20:00:00+00:00,7.104,7.11,7.053,7.063,10460.652
2025-01-03 22:00:00+00:00,7.067,7.084,7.042,7.066,1175.865
2025-01-04 00:00:00+00:00,7.095,7.131,6.965,7.043,5480.737
2025-01-04 02:00:00+00:00,7.043,7.152,7.024,7.134,4277.258
2025-01-04 04:00:00+00:00,7.135,7.135,7.035,7.098,2131.609
2025-01-04 06:00:00+00:00,7.099,7.152,7.099,7.102,3318.668
2025-01-04 08:00:00+00:00,7.103,7.106,6.993,6.999,2382.991
2025-01-04 10:00:00+00:00,7.0,7.007,6.954,6.993,1833.489
