datetime,open,high,low,close,volume
2025-01-01 00:01:00+00:00,2.4935,2.4975,2.4907,2.4975,116.688
2025-01-01 00:16:00+00:00,2.5083,2.509,2.5045,2.5045,55.718
2025-01-01 00:25:00+00:00,2.5066,2.508,2.5066,2.508,15.42
2025-01-01 00:36:00+00:00,2.5164,2.5164,2.5163,2.5163,80.779
2025-01-01 00:46:00+00:00,2.5104,2.5132,2.5104,2.5132,0.302
2025-01-01 00:48:00+00:00,2.5133,2.5163,2.5133,2.5163,29.629
2025-01-01 01:03:00+00:00,2.5151,2.5151,2.5122,2.5122,54.152
2025-01-01 01:19:00+00:00,2.5102,2.5107,2.5102,2.5107,107.0
2025-01-01 01:23:00+00:00,2.5084,2.5084,2.5081,2.5081,95.0
2025-01-01 01:26:00+00:00,2.5064,2.5102,2.5064,2.5102,744.774
2025-01-01 01:30:00+00:00,2.5167,2.5299,2.5167,2.528,388.494
2025-01-01 01:36:00+00:00,2.5201,2.5244,2.5201,2.5244,10.62
2025-01-01 01:38:00+00:00,2.5198,2.5198,2.5198,2.5198,0.144
2025-01-01 01:44:00+00:00,2.5186,2.5186,2.5186,2.5186,20.276
2025-01-01 01:45:00+00:00,2.5183,2.5183,2.5183,2.5183,100.0
2025-01-01 01:47:00+00:00,2.5171,2.5171,2.5171,2.5171,0.308
2025-01-01 01:50:00+00:00,2.5171,2.5172,2.5171,2.5172,555.548
2025-01-01 01:52:00+00:00,2.5104,2.5104,2.509,2.509,40.141
2025-01-01 02:00:00+00:00,2.5093,2.5164,2.5093,2.5164,11.6
2025-01-01 02:11:00+00:00,2.5181,2.5181,2.5157,2.5157,15.089
2025-01-01 02:28:00+00:00,2.5141,2.5178,2.5141,2.5178,2.688
2025-01-01 03:00:00+00:00,2.5163,2.5163,2.5112,2.5112,0.553
2025-01-01 04:17:00+00:00,2.4955,2.4955,2.4903,2.4903,554.941
2025-01-01 04:19:00+00:00,2.4997,2.5013,2.4997,2.5013,505.899
2025-01-01 04:33:00+00:00,2.4936,2.4936,2.4887,2.4887,24.678
2025-01-01 04:48:00+00:00,2.4938,2.4938,2.4938,2.4938,11.905
2025-01-01 05:17:00+00:00,2.4902,2.4916,2.4902,2.4916,26.424
2025-01-01 05:31:00+00:00,2.4946,2.4946,2.4902,2.4902,10.152
2025-01-01 05:38:00+00:00,2.4952,2.496,2.4952,2.496,94.415
2025-01-01 05:57:00+00:00,2.4929,2.4929,2.4929,2.4929,24.612
2025-01-01 06:19:00+00:00,2.493,2.498,2.493,2.498,925.006
2025-01-01 06:37:00+00:00,2.497,2.4976,2.497,2.4976,87.847
2025-01-01 06:40:00+00:00,2.4967,2.4967,2.4966,2.4966,0.182
2025-01-01 07:20:00+00:00,2.4992,2.4992,2.4992,2.4992,0.143
2025-01-01 07:41:00+00:00,2.498,2.4981,2.498,2.4981,24.236
2025-01-01 07:57:00+00:00,2.4958,2.4958,2.4952,2.4952,288.608
2025-01-01 08:20:00+00:00,2.5,2.5102,2.5,2.5092,302.845
2025-01-01 08:21:00+00:00,2.5079,2.5079,2.5003,2.5003,2241.577
2025-01-01 08:24:00+00:00,2.5008,2.5008,2.4879,2.4879,115.321
2025-01-01 09:08:00+00:00,2.4834,2.484,2.4793,2.4793,206.252
