datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,2.4935,2.5299,2.4907,2.5104,2413.993
2025-01-01 02:00:00+00:00,2.509,2.5181,2.509,2.5112,30.93
2025-01-01 04:00:00+00:00,2.4955,2.5013,2.4887,2.4929,1246.515
2025-01-01 06:00:00+00:00,2.4929,2.4992,2.4929,2.4952,1332.533
2025-01-01 08:00:00+00:00,2.5,2.5102,2.4663,2.4663,2951.393
2025-01-01 10:00:00+00:00,2.4808,2.5,2.4808,2.5,10.882
2025-01-01 12:00:00+00:00,2.4997,2.5389,2.4997,2.5254,724.289
2025-01-01 14:00:00+00:00,2.5288,2.53,2.5055,2.5299,504.018
2025-01-01 16:00:00+00:00,2.5309,2.5309,2.5124,2.5269,765.422
2025-01-01 18:00:00+00:00,2.5343,2.5619,2.522,2.5619,8939.349
2025-01-01 20:00:00+00:00,2.5723,2.5753,2.5636,2.5666,638.662
2025-01-01 22:00:00+00:00,2.5717,2.5717,2.5547,2.5548,1002.486
2025-01-02 00:00:00+00:00,2.5536,2.5957,2.5536,2.5803,3367.864
2025-01-02 02:00:00+00:00,2.5829,2.5934,2.5825,2.5825,390.811
2025-01-02 04:00:00+00:00,2.5907,2.618,2.5836,2.61,6381.931
2025-01-02 06:00:00+00:00,2.6139,2.6224,2.5972,2.621,768.977
2025-01-02 08:00:00+00:00,2.6206,2.6309,2.589,2.62,9178.892
2025-01-02 10:00:00+00:00,2.6175,2.64,2.6175,2.6375,117.915
2025-01-02 12:00:00+00:00,2.6409,2.65,2.6348,2.6349,323.946
2025-01-02 14:00:00+00:00,2.62,2.661,2.6166,2.625,1485.665
2025-01-02 16:00:00+00:00,2.6275,2.6503,2.6033,2.6041,10655.138
2025-01-02 18:00:00+00:00,2.6091,2.6294,2.6,2.6294,8564.136
2025-01-02 20:00:00+00:00,2.6255,2.6255,2.6035,2.606,2759.872
2025-01-02 22:00:00+00:00,2.6091,2.6248,2.5877,2.622,978.139
2025-01-03 00:00:00+00:00,2.6269,2.6269,2.5961,2.6109,170.477
2025-01-03 02:00:00+00:00,2.6272,2.6272,2.6032,2.6149,742.386
2025-01-03 04:00:00+00:00,2.6099,2.613,2.59,2.5944,515.356
2025-01-03 06:00:00+00:00,2.6006,2.61,2.5846,2.5907,988.26
2025-01-03 08:00:00+00:00,2.5849,2.628,2.5849,2.6265,1402.417
2025-01-03 10:00:00+00:00,2.6178,2.6589,2.6178,2.6589,1056.109
2025-01-03 12:00:00+00:00,2.6525,2.6721,2.6524,2.6623,763.786
2025-01-03 14:00:00+00:00,2.6711,2.7426,2.6711,2.7426,7759.542
2025-01-03 16:00:00+00:00,2.75,2.7741,2.7489,2.7614,3805.891
2025-01-03 18:00:00+00:00,2.7604,2.7983,2.7574,2.7925,1040.042
2025-01-03 20:00:00+00:00,2.79,2.8253,2.7765,2.7995,6040.119
2025-01-03 22:00:00+00:00,2.8007,2.8211,2.7953,2.8119,2637.625
2025-01-04 00:00:00+00:00,2.8183,2.8251,2.77,2.8,1573.847
2025-01-04 02:00:00+00:00,2.8044,2.8114,2.7918,2.8054,405.561
2025-01-04 04:00:00+00:00,2.8,2.8,2.7799,2.7953,758.846
2025-01-04 06:00:00+00:00,2.8034,2.8367,2.8034,2.8353,494.107
2025-01-04 08:00:00+00:00,2.8351,2.8351,2.7825,2.7825,76.053
2025-01-04 10:00:00+00:00,2.7816,2.7949,2.7658,2.7843,1634.575
2025-01-04 12:00:00+00:00,2.792,2.8496,2.792,2.8496,443.952
2025-01-04 14:00:00+00:00,2.8426,2.8426,2.78,2.78,14638.283
2025-01-04 16:00:00+00:00,2.7889,2.8061,2.7828,2.8047,621.637
2025-01-04 18:00:00+00:00,2.8062,2.8091,2.7934,2.7997,2190.327
2025-01-04 20:00:00+00:00,2.8025,2.8177,2.8023,2.8069,456.583
2025-01-04 22:00:00+00:00,2.8059,2.8124,2.7969,2.8078,98.456
2025-01-05 00:00:00+00:00,2.8059,2.8142,2.7828,2.7835,154.871
2025-01-05 02:00:00+00:00,2.7858,2.7918,2.7858,2.7895,6.925
2025-01-05 04:00:00+00:00,2.7915,2.7942,2.7799,2.7856,90.345
2025-01-05 06:00:00+00:00,2.7765,2.8108,2.7765,2.8038,1564.709
2025-01-05 08:00:00+00:00,2.811,2.811,2.774,2.774,712.682
2025-01-05 10:00:00+00:00,2.77,2.7896,2.76,2.7785,2368.365
2025-01-05 12:00:00+00:00,2.785,2.8,2.7696,2.781,17.36
2025-01-05 14:00:00+00:00,2.7776,2.7949,2.7452,2.784,1382.332
2025-01-05 16:00:00+00:00,2.7929,2.8074,2.7651,2.7756,10544.917
2025-01-05 18:00:00+00:00,2.7744,2.7999,2.77,2.7981,1553.319
2025-01-05 20:00:00+00:00,2.8,2.8153,2.7967,2.8143,1296.91
2025-01-05 22:00:00+00:00,2.8183,2.8245,2.8073,2.8109,5979.658
2025-01-06 00:00:00+00:00,2.8045,2.813,2.765,2.813,685.855
2025-01-06 02:00:00+00:00,2.813,2.8425,2.8103,2.829,4213.754
2025-01-06 04:00:00+00:00,2.824,2.8426,2.8183,2.8425,1252.306
2025-01-06 06:00:00+00:00,2.8153,2.8153,2.7893,2.8001,1119.088
2025-01-06 08:00:00+00:00,2.8065,2.8081,2.7873,2.7994,292.542
2025-01-06 10:00:00+00:00,2.8031,2.8352,2.7994,2.8352,16.472
2025-01-06 12:00:00+00:00,2.8354,2.8354,2.8175,2.8324,45.866
2025-01-06 14:00:00+00:00,2.8186,2.881,2.8055,2.881,926.354
2025-01-06 16:00:00+00:00,2.8866,2.9165,2.834,2.8524,3962.647
2025-01-06 18:00:00+00:00,2.8504,2.8696,2.8458,2.8616,1474.606
2025-01-06 20:00:00+00:00,2.8699,2.8743,2.8399,2.8436,171.32
2025-01-06 22:00:00+00:00,2.8414,2.8685,2.8378,2.8663,1303.278
2025-01-07 00:00:00+00:00,2.8672,2.894,2.8589,2.8863,7711.137
2025-01-07 02:00:00+00:00,2.8879,2.8918,2.8445,2.8489,164.352
2025-01-07 04:00:00+00:00,2.8444,2.8488,2.8253,2.8337,500.725
2025-01-07 06:00:00+00:00,2.8313,2.8475,2.8293,2.8408,127.561
2025-01-07 08:00:00+00:00,2.8371,2.8616,2.8368,2.8616,1197.02
2025-01-07 10:00:00+00:00,2.8622,2.8682,2.8108,2.8217,699.919
2025-01-07 12:00:00+00:00,2.8169,2.8606,2.8169,2.8404,625.138
2025-01-07 14:00:00+00:00,2.8491,2.8491,2.6498,2.6882,3794.951
2025-01-07 16:00:00+00:00,2.6565,2.6886,2.6553,2.6553,2188.017
2025-01-07 18:00:00+00:00,2.6554,2.6721,2.6139,2.6235,410.677
2025-01-07 20:00:00+00:00,2.6038,2.6287,2.5859,2.5966,2329.918
2025-01-07 22:00:00+00:00,2.5901,2.6199,2.59,2.5963,3075.888
2025-01-08 00:00:00+00:00,2.5945,2.6329,2.59,2.5948,4071.443
2025-01-08 02:00:00+00:00,2.5916,2.6086,2.5584,2.5659,644.805
2025-01-08 04:00:00+00:00,2.5556,2.5556,2.5219,2.5364,2938.843
2025-01-08 06:00:00+00:00,2.5404,2.5404,2.4851,2.5315,3065.111
2025-01-08 08:00:00+00:00,2.5372,2.5471,2.5344,2.5451,1056.241
2025-01-08 10:00:00+00:00,2.5241,2.5389,2.4922,2.5087,4828.677
2025-01-08 12:00:00+00:00,2.5059,2.532,2.5025,2.5194,314.738
2025-01-08 14:00:00+00:00,2.5291,2.56,2.5205,2.5359,2379.527
2025-01-08 16:00:00+00:00,2.5382,2.5444,2.4068,2.474,5739.767
2025-01-08 18:00:00+00:00,2.4767,2.5272,2.465,2.498,2366.231
2025-01-08 20:00:00+00:00,2.4759,2.4759,2.4535,2.4717,1080.768
2025-01-08 22:00:00+00:00,2.4878,2.5229,2.4878,2.5201,6093.56
2025-01-09 00:00:00+00:00,2.5236,2.5507,2.5194,2.5408,2611.845
2025-01-09 02:00:00+00:00,2.526,2.5411,2.512,2.512,11.571
2025-01-09 04:00:00+00:00,2.5112,2.516,2.4926,2.4926,470.832
2025-01-09 06:00:00+00:00,2.4924,2.495,2.44,2.44,2605.204
2025-01-09 08:00:00+00:00,2.4397,2.4835,2.4376,2.4733,1492.457
2025-01-09 10:00:00+00:00,2.4733,2.4988,2.4576,2.4765,2263.844
2025-01-09 12:00:00+00:00,2.4687,2.4873,2.3914,2.3914,1381.729
2025-01-09 14:00:00+00:00,2.3893,2.5,2.3836,2.4973,1093.776
2025-01-09 16:00:00+00:00,2.4975,2.4975,2.4167,2.4354,3249.342
2025-01-09 18:00:00+00:00,2.4405,2.4512,2.3972,2.4179,2629.635
2025-01-09 20:00:00+00:00,2.41,2.4231,2.3631,2.4073,5088.071
2025-01-09 22:00:00+00:00,2.3996,2.4547,2.3987,2.4366,3795.749
2025-01-10 00:00:00+00:00,2.4424,2.4601,2.4334,2.4336,333.724
2025-01-10 02:00:00+00:00,2.4505,2.4694,2.449,2.4666,72.415
2025-01-10 04:00:00+00:00,2.4667,2.4909,2.4566,2.4769,3237.026
2025-01-10 06:00:00+00:00,2.4791,2.5009,2.4769,2.5009,1221.933
2025-01-10 08:00:00+00:00,2.5037,2.5214,2.5009,2.5086,119.066
2025-01-10 10:00:00+00:00,2.5074,2.5248,2.4949,2.497,51.405
2025-01-10 12:00:00+00:00,2.5043,2.5187,2.4203,2.4546,2722.519
2025-01-10 14:00:00+00:00,2.4618,2.5,2.4258,2.4739,1525.768
2025-01-10 16:00:00+00:00,2.4595,2.5266,2.4456,2.5266,389.643
2025-01-10 18:00:00+00:00,2.5232,2.5243,2.4892,2.502,22135.337
2025-01-10 20:00:00+00:00,2.4993,2.5112,2.4812,2.488,1071.946
2025-01-10 22:00:00+00:00,2.4799,2.4982,2.4757,2.4929,295.023
2025-01-11 00:00:00+00:00,2.4852,2.5101,2.4822,2.4829,1924.604
2025-01-11 02:00:00+00:00,2.4914,2.4914,2.47,2.4739,296.892
2025-01-11 04:00:00+00:00,2.4726,2.4825,2.4666,2.4777,342.066
2025-01-11 06:00:00+00:00,2.4858,2.4868,2.4637,2.4637,163.858
2025-01-11 08:00:00+00:00,2.4693,2.4746,2.4518,2.4607,466.975
2025-01-11 10:00:00+00:00,2.4793,2.5,2.473,2.4944,496.051
2025-01-11 12:00:00+00:00,2.4919,2.497,2.4755,2.4838,1185.26
2025-01-11 14:00:00+00:00,2.481,2.4866,2.4655,2.4734,2417.088
2025-01-11 16:00:00+00:00,2.4821,2.4885,2.4698,2.4698,1440.352
2025-01-11 18:00:00+00:00,2.4738,2.4823,2.4658,2.4716,2627.452
2025-01-11 20:00:00+00:00,2.4769,2.5322,2.4769,2.5322,1574.392
2025-01-11 22:00:00+00:00,2.5245,2.5269,2.4984,2.4984,189.478
2025-01-12 00:00:00+00:00,2.4997,2.5142,2.4984,2.5142,4413.29
2025-01-12 02:00:00+00:00,2.5117,2.5118,2.4942,2.497,2007.334
2025-01-12 04:00:00+00:00,2.503,2.5047,2.4888,2.4897,2265.638
2025-01-12 06:00:00+00:00,2.486,2.4898,2.469,2.4839,1396.939
2025-01-12 08:00:00+00:00,2.4825,2.4881,2.4572,2.4589,63.709
2025-01-12 10:00:00+00:00,2.4618,2.4815,2.45,2.4805,977.792
2025-01-12 12:00:00+00:00,2.4831,2.4849,2.469,2.4748,1461.21
2025-01-12 14:00:00+00:00,2.4779,2.5,2.4771,2.4915,1799.647
