datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,1.416,1.457,1.372,1.443,26049.85
2025-01-02 00:00:00+00:00,1.446,1.536,1.443,1.502,57303.44
2025-01-03 00:00:00+00:00,1.509,1.587,1.474,1.587,42214.51
2025-01-04 00:00:00+00:00,1.589,1.602,1.55,1.58,32317.45
2025-01-05 00:00:00+00:00,1.576,1.597,1.556,1.589,98366.77
2025-01-06 00:00:00+00:00,1.585,1.645,1.559,1.605,40692.0
2025-01-07 00:00:00+00:00,1.6,1.604,1.434,1.436,106792.13
2025-01-08 00:00:00+00:00,1.442,1.454,1.305,1.38,165677.73
2025-01-09 00:00:00+00:00,1.381,1.401,1.291,1.335,80936.1
2025-01-10 00:00:00+00:00,1.341,1.385,1.318,1.366,49172.7
2025-01-11 00:00:00+00:00,1.368,1.384,1.336,1.36,99928.08
2025-01-12 00:00:00+00:00,1.365,1.373,1.319,1.335,30155.12
2025-01-13 00:00:00+00:00,1.333,1.369,1.184,1.279,152977.77
2025-01-14 00:00:00+00:00,1.277,1.33,1.271,1.322,98879.81
2025-01-15 00:00:00+00:00,1.327,1.403,1.284,1.403,103517.25
2025-01-16 00:00:00+00:00,1.404,1.422,1.355,1.39,112755.78
2025-01-17 00:00:00+00:00,1.389,1.522,1.389,1.505,174987.34
2025-01-18 00:00:00+00:00,1.509,1.52,1.366,1.398,153252.75
2025-01-19 00:00:00+00:00,1.4,1.443,1.272,1.293,220921.92
2025-01-20 00:00:00+00:00,1.288,1.371,1.199,1.215,278845.27
2025-01-21 00:00:00+00:00,1.215,1.271,1.158,1.239,193756.68
2025-01-22 00:00:00+00:00,1.243,1.277,1.22,1.221,52890.08
2025-01-23 00:00:00+00:00,1.22,1.236,1.169,1.213,113030.28
2025-01-24 00:00:00+00:00,1.22,1.242,1.168,1.176,102389.65
2025-01-25 00:00:00+00:00,1.172,1.212,1.157,1.203,38277.22
2025-01-26 00:00:00+00:00,1.2,1.322,1.2,1.264,393003.62
2025-01-27 00:00:00+00:00,1.263,1.27,1.124,1.201,147844.06
2025-01-28 00:00:00+00:00,1.2,1.212,1.094,1.101,222934.46
2025-01-29 00:00:00+00:00,1.104,1.173,1.101,1.136,68479.24
2025-01-30 00:00:00+00:00,1.132,1.218,1.125,1.19,78793.41
2025-01-31 00:00:00+00:00,1.19,1.226,1.166,1.181,49948.03
2025-02-01 00:00:00+00:00,1.179,1.197,1.058,1.067,140260.29
2025-02-02 00:00:00+00:00,1.063,1.112,0.943,1.005,341469.47
2025-02-03 00:00:00+00:00,1.006,1.044,0.758,1.016,546437.16
2025-02-04 00:00:00+00:00,1.02,1.029,0.895,0.928,159645.7
2025-02-05 00:00:00+00:00,0.925,0.95,0.894,0.91,48471.59
2025-02-06 00:00:00+00:00,0.914,0.926,0.847,0.85,73236.38
2025-02-07 00:00:00+00:00,0.859,0.935,0.849,0.883,134879.7
2025-02-08 00:00:00+00:00,0.88,0.921,0.844,0.915,123163.03
2025-02-09 00:00:00+00:00,0.917,0.954,0.865,0.914,121785.71
2025-02-10 00:00:00+00:00,0.914,0.956,0.873,0.951,127393.12
2025-02-11 00:00:00+00:00,0.949,1.0,0.94,0.964,147706.25
2025-02-12 00:00:00+00:00,0.959,1.021,0.921,1.002,133391.83
2025-02-13 00:00:00+00:00,1.004,1.01,0.957,0.988,100227.68
2025-02-14 00:00:00+00:00,0.989,1.02,0.971,0.999,83053.37
2025-02-15 00:00:00+00:00,0.996,1.01,0.964,0.965,42006.41
2025-02-16 00:00:00+00:00,0.965,1.004,0.953,0.97,55810.6
2025-02-17 00:00:00+00:00,0.973,1.045,0.963,0.98,130841.12
2025-02-18 00:00:00+00:00,0.978,0.983,0.908,0.951,86370.07
2025-02-19 00:00:00+00:00,0.948,0.983,0.939,0.976,34353.23
2025-02-20 00:00:00+00:00,0.975,1.062,0.969,1.055,74818.85
2025-02-21 00:00:00+00:00,1.054,1.185,1.048,1.082,409039.42
2025-02-22 00:00:00+00:00,1.081,1.134,1.064,1.121,111550.04
2025-02-23 00:00:00+00:00,1.119,1.121,1.075,1.092,169456.85
2025-02-24 00:00:00+00:00,1.089,1.099,0.877,0.903,246476.5
2025-02-25 00:00:00+00:00,0.899,0.94,0.837,0.929,293367.05
2025-02-26 00:00:00+00:00,0.924,0.997,0.918,0.973,283512.11
2025-02-27 00:00:00+00:00,0.981,1.02,0.946,0.974,219538.64
2025-02-28 00:00:00+00:00,0.973,0.975,0.885,0.961,127400.9
2025-03-01 00:00:00+00:00,0.958,0.989,0.909,0.989,189405.46
2025-03-02 00:00:00+00:00,0.985,1.056,0.958,1.049,209535.9
2025-03-03 00:00:00+00:00,1.05,1.05,0.9,0.92,229217.32
2025-03-04 00:00:00+00:00,0.907,0.918,0.823,0.868,136670.91
2025-03-05 00:00:00+00:00,0.872,0.919,0.865,0.916,111465.95
2025-03-06 00:00:00+00:00,0.918,0.933,0.877,0.898,64454.8
2025-03-07 00:00:00+00:00,0.897,0.937,0.847,0.895,85074.72
2025-03-08 00:00:00+00:00,0.892,0.894,0.865,0.868,21825.38
