datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,1.416,1.426,1.395,1.4,9133.91
2025-01-01 06:00:00+00:00,1.394,1.399,1.372,1.39,5469.01
2025-01-01 12:00:00+00:00,1.386,1.422,1.386,1.405,4632.96
2025-01-01 18:00:00+00:00,1.405,1.457,1.405,1.443,6813.97
2025-01-02 00:00:00+00:00,1.446,1.482,1.443,1.475,21741.29
2025-01-02 06:00:00+00:00,1.479,1.505,1.464,1.5,6664.92
2025-01-02 12:00:00+00:00,1.504,1.536,1.482,1.486,20902.14
2025-01-02 18:00:00+00:00,1.488,1.507,1.479,1.502,7995.09
2025-01-03 00:00:00+00:00,1.509,1.513,1.483,1.489,5682.86
2025-01-03 06:00:00+00:00,1.493,1.53,1.474,1.53,6621.12
2025-01-03 12:00:00+00:00,1.521,1.579,1.515,1.575,22525.3
2025-01-03 18:00:00+00:00,1.57,1.587,1.569,1.587,7385.23
2025-01-04 00:00:00+00:00,1.589,1.598,1.568,1.59,9061.11
2025-01-04 06:00:00+00:00,1.599,1.602,1.561,1.569,8784.13
2025-01-04 12:00:00+00:00,1.569,1.594,1.55,1.568,11911.89
2025-01-04 18:00:00+00:00,1.569,1.583,1.564,1.58,2560.32
2025-01-05 00:00:00+00:00,1.576,1.577,1.556,1.565,13781.21
2025-01-05 06:00:00+00:00,1.569,1.59,1.562,1.58,46194.6
2025-01-05 12:00:00+00:00,1.571,1.589,1.558,1.574,4814.65
2025-01-05 18:00:00+00:00,1.57,1.597,1.57,1.589,33576.31
2025-01-06 00:00:00+00:00,1.585,1.614,1.559,1.597,18910.53
2025-01-06 06:00:00+00:00,1.599,1.6,1.575,1.586,3938.72
2025-01-06 12:00:00+00:00,1.589,1.645,1.57,1.61,11939.07
2025-01-06 18:00:00+00:00,1.61,1.624,1.591,1.605,5903.68
2025-01-07 00:00:00+00:00,1.6,1.604,1.571,1.582,13275.71
2025-01-07 06:00:00+00:00,1.58,1.6,1.562,1.57,6223.42
2025-01-07 12:00:00+00:00,1.575,1.588,1.473,1.48,49249.55
2025-01-07 18:00:00+00:00,1.477,1.486,1.434,1.436,38043.45
2025-01-08 00:00:00+00:00,1.442,1.454,1.397,1.401,84062.14
2025-01-08 06:00:00+00:00,1.393,1.398,1.36,1.366,12907.34
2025-01-08 12:00:00+00:00,1.371,1.4,1.305,1.344,30630.84
2025-01-08 18:00:00+00:00,1.343,1.38,1.341,1.38,38077.41
2025-01-09 00:00:00+00:00,1.381,1.401,1.373,1.381,29221.37
2025-01-09 06:00:00+00:00,1.371,1.377,1.338,1.354,10706.34
2025-01-09 12:00:00+00:00,1.36,1.369,1.302,1.333,17819.0
2025-01-09 18:00:00+00:00,1.336,1.346,1.291,1.335,23189.39
2025-01-10 00:00:00+00:00,1.341,1.375,1.333,1.367,7458.29
2025-01-10 06:00:00+00:00,1.363,1.385,1.358,1.367,7161.55
2025-01-10 12:00:00+00:00,1.377,1.38,1.318,1.377,19900.86
2025-01-10 18:00:00+00:00,1.381,1.381,1.358,1.366,14652.0
2025-01-11 00:00:00+00:00,1.368,1.38,1.345,1.355,7924.25
2025-01-11 06:00:00+00:00,1.353,1.355,1.336,1.351,7979.96
2025-01-11 12:00:00+00:00,1.354,1.357,1.34,1.34,15928.64
2025-01-11 18:00:00+00:00,1.342,1.384,1.339,1.36,68095.23
2025-01-12 00:00:00+00:00,1.365,1.373,1.361,1.363,14261.8
2025-01-12 06:00:00+00:00,1.353,1.355,1.336,1.347,2603.35
2025-01-12 12:00:00+00:00,1.342,1.364,1.342,1.359,5058.43
2025-01-12 18:00:00+00:00,1.365,1.367,1.319,1.335,8231.54
2025-01-13 00:00:00+00:00,1.333,1.369,1.287,1.289,17015.38
2025-01-13 06:00:00+00:00,1.289,1.291,1.19,1.19,29969.38
2025-01-13 12:00:00+00:00,1.189,1.261,1.184,1.226,61281.22
2025-01-13 18:00:00+00:00,1.233,1.295,1.207,1.279,44711.79
