datetime,open,high,low,close,volume
2025-05-02 00:00:00+00:00,2.399,2.4,1.953,1.953,1266.33972
2025-05-03 00:00:00+00:00,2.282,2.4,1.951,2.014,1855.25434
2025-05-04 00:00:00+00:00,1.953,2.3,1.776,1.776,1527.4123
2025-05-05 00:00:00+00:00,1.781,2.346,1.78,1.982,15751.32993
2025-05-06 00:00:00+00:00,2.235,2.26,1.832,1.998,2905.51349
2025-05-07 00:00:00+00:00,1.967,2.175,1.941,1.993,243.33631
2025-05-08 00:00:00+00:00,2.035,2.349,2.035,2.244,2848.38123
2025-05-09 00:00:00+00:00,2.239,2.5,2.136,2.499,1780.76732
2025-05-10 00:00:00+00:00,2.447,2.74,2.301,2.476,2936.57163
2025-05-11 00:00:00+00:00,2.475,2.739,2.304,2.472,880.53906
2025-05-12 00:00:00+00:00,2.429,2.82,2.234,2.337,6118.88977
2025-05-13 00:00:00+00:00,2.423,2.659,2.246,2.469,2394.61635
2025-05-14 00:00:00+00:00,2.493,2.666,2.377,2.388,3882.76164
2025-05-15 00:00:00+00:00,2.367,2.548,2.23,2.273,3841.70494
2025-05-16 00:00:00+00:00,2.245,2.461,2.166,2.26,5457.99339
2025-05-17 00:00:00+00:00,2.234,2.289,2.132,2.161,3428.11715
2025-05-18 00:00:00+00:00,2.186,2.432,2.161,2.29,9344.29095
2025-05-19 00:00:00+00:00,2.249,2.335,2.132,2.192,5177.41629
2025-05-20 00:00:00+00:00,2.212,2.358,2.192,2.352,7434.43244
2025-05-21 00:00:00+00:00,2.352,2.491,2.28,2.396,8800.37385
2025-05-22 00:00:00+00:00,2.372,2.551,2.358,2.48,10762.40999
2025-05-23 00:00:00+00:00,2.479,2.612,2.294,2.294,14494.044
2025-05-24 00:00:00+00:00,2.334,2.415,2.325,2.356,5975.92148
2025-05-25 00:00:00+00:00,2.383,2.535,2.23,2.352,22257.58813
2025-05-26 00:00:00+00:00,2.326,2.5,2.326,2.43,7394.29447
2025-05-27 00:00:00+00:00,2.431,2.999,2.418,2.81,24401.24233
2025-05-28 00:00:00+00:00,2.808,2.92,2.601,2.716,9072.68261
2025-05-29 00:00:00+00:00,2.701,2.866,2.53,2.596,4633.46769
2025-05-30 00:00:00+00:00,2.576,2.629,2.273,2.273,11410.48098
2025-05-31 00:00:00+00:00,2.281,2.332,2.229,2.3,10839.68641
2025-06-01 00:00:00+00:00,2.303,2.422,2.262,2.392,14071.86756
2025-06-02 00:00:00+00:00,2.399,2.434,2.299,2.411,6638.65484
2025-06-03 00:00:00+00:00,2.425,2.474,2.329,2.393,42982.53765
2025-06-04 00:00:00+00:00,2.385,2.535,2.382,2.431,15828.95406
2025-06-05 00:00:00+00:00,2.428,2.526,2.221,2.253,31737.41053
2025-06-06 00:00:00+00:00,2.251,2.36,2.244,2.313,7959.92868
2025-06-07 00:00:00+00:00,2.307,2.358,2.307,2.337,1595.88331
2025-06-08 00:00:00+00:00,2.331,2.335,2.296,2.296,1887.59313
2025-06-09 00:00:00+00:00,2.297,2.463,2.272,2.459,11547.74676
2025-06-10 00:00:00+00:00,2.467,2.659,2.424,2.649,21130.2666
2025-06-11 00:00:00+00:00,2.654,2.717,2.52,2.572,33177.5437
2025-06-12 00:00:00+00:00,2.557,2.674,2.446,2.535,15750.46463
2025-06-13 00:00:00+00:00,2.535,2.583,2.35,2.494,11121.58653
2025-06-14 00:00:00+00:00,2.505,2.505,2.319,2.379,2523.07742
2025-06-15 00:00:00+00:00,2.379,2.414,2.29,2.328,1142.93074
2025-06-16 00:00:00+00:00,2.328,2.583,2.27,2.276,35217.42224
2025-06-17 00:00:00+00:00,2.296,2.319,2.164,2.195,5121.81115
2025-06-18 00:00:00+00:00,2.223,2.25,2.128,2.232,6207.91226
2025-06-19 00:00:00+00:00,2.232,2.24,2.07,2.177,12080.79868
2025-06-20 00:00:00+00:00,2.206,2.25,2.141,2.194,3846.76529
2025-06-21 00:00:00+00:00,2.162,2.224,2.069,2.084,2200.63127
2025-06-22 00:00:00+00:00,2.094,2.244,1.884,2.018,22992.98218
2025-06-23 00:00:00+00:00,2.048,2.189,2.01,2.189,6642.5017
2025-06-24 00:00:00+00:00,2.18,2.356,2.104,2.205,8142.06226
2025-06-25 00:00:00+00:00,2.192,2.217,2.148,2.17,1778.93671
2025-06-26 00:00:00+00:00,2.192,2.329,2.047,2.129,9152.47346
2025-06-27 00:00:00+00:00,2.147,2.183,2.122,2.141,11222.0964
2025-06-28 00:00:00+00:00,2.155,2.25,2.146,2.215,3942.5515
2025-06-29 00:00:00+00:00,2.245,2.318,2.169,2.291,10088.79134
2025-06-30 00:00:00+00:00,2.317,2.481,2.247,2.365,9392.13108
2025-07-01 00:00:00+00:00,2.357,2.357,2.221,2.256,1506.29546
2025-07-02 00:00:00+00:00,2.228,2.383,2.227,2.346,1322.81652
2025-07-03 00:00:00+00:00,2.333,2.414,2.306,2.31,4213.06923
2025-07-04 00:00:00+00:00,2.318,2.496,2.206,2.226,8855.10763
2025-07-05 00:00:00+00:00,2.227,2.271,2.077,2.24,5309.95567
2025-07-06 00:00:00+00:00,2.22,2.302,2.215,2.288,3927.63501
2025-07-07 00:00:00+00:00,2.26,2.412,2.24,2.241,4482.06448
2025-07-08 00:00:00+00:00,2.241,2.533,2.234,2.291,5171.10478
2025-07-09 00:00:00+00:00,2.291,2.426,2.276,2.365,5775.85716
2025-07-10 00:00:00+00:00,2.404,2.495,2.362,2.486,5724.25379
2025-07-11 00:00:00+00:00,2.47,2.56,2.402,2.487,16844.26319
2025-07-12 00:00:00+00:00,2.481,2.54,2.257,2.336,8883.71903
2025-07-13 00:00:00+00:00,2.341,2.435,2.329,2.411,7012.18055
2025-07-14 00:00:00+00:00,2.409,2.791,2.353,2.409,22116.4905
2025-07-15 00:00:00+00:00,2.393,2.448,2.315,2.426,10944.83994
2025-07-16 00:00:00+00:00,2.451,2.684,2.402,2.495,17559.06261
2025-07-17 00:00:00+00:00,2.502,2.904,2.482,2.612,28226.40769
2025-07-18 00:00:00+00:00,2.615,2.817,2.537,2.63,14995.53441
2025-07-19 00:00:00+00:00,2.645,2.678,2.573,2.643,4781.258
2025-07-20 00:00:00+00:00,2.66,2.767,2.401,2.694,11220.04061
2025-07-21 00:00:00+00:00,2.657,3.37,2.637,2.767,29863.22142
2025-07-22 00:00:00+00:00,2.757,2.778,2.616,2.735,6796.20059
2025-07-23 00:00:00+00:00,2.758,2.98,2.617,2.723,34023.9195
2025-07-24 00:00:00+00:00,2.713,2.757,2.53,2.658,15629.05005
2025-07-25 00:00:00+00:00,2.658,2.763,2.572,2.763,8743.21496
2025-07-26 00:00:00+00:00,2.768,2.825,2.744,2.807,2162.23681
2025-07-27 00:00:00+00:00,2.779,3.351,2.777,3.114,23369.72807
2025-07-28 00:00:00+00:00,3.085,3.4,2.916,2.934,77712.45572
2025-07-29 00:00:00+00:00,2.96,3.043,2.774,2.855,14472.81272
2025-07-30 00:00:00+00:00,2.855,3.15,2.651,2.801,21936.47123
2025-07-31 00:00:00+00:00,2.773,2.964,2.71,2.715,21572.06897
2025-08-01 00:00:00+00:00,2.678,2.753,2.528,2.581,11380.98966
2025-08-02 00:00:00+00:00,2.567,2.644,2.5,2.532,3608.83931
2025-08-03 00:00:00+00:00,2.496,2.652,2.496,2.587,4739.98121
2025-08-04 00:00:00+00:00,2.616,2.912,2.585,2.717,10726.61104
2025-08-05 00:00:00+00:00,2.677,2.677,2.535,2.56,5696.32546
2025-08-06 00:00:00+00:00,2.531,2.697,2.52,2.695,7228.05653
2025-08-07 00:00:00+00:00,2.696,2.778,2.68,2.778,11182.40926
2025-08-08 00:00:00+00:00,2.758,2.814,2.75,2.799,8182.26099
2025-08-09 00:00:00+00:00,2.792,2.918,2.792,2.865,24585.87618
2025-08-10 00:00:00+00:00,2.863,2.937,2.772,2.814,33007.44593
2025-08-11 00:00:00+00:00,2.818,2.907,2.72,2.753,8369.09734
2025-08-12 00:00:00+00:00,2.743,2.894,2.689,2.859,7327.40758
2025-08-13 00:00:00+00:00,2.858,2.964,2.834,2.919,10732.0463
2025-08-14 00:00:00+00:00,2.923,2.974,2.677,2.711,16126.23174
2025-08-15 00:00:00+00:00,2.712,2.761,2.642,2.7,3934.98739
2025-08-16 00:00:00+00:00,2.717,2.747,2.698,2.74,1331.68282
2025-08-17 00:00:00+00:00,2.758,2.826,2.758,2.768,2513.56798
2025-08-18 00:00:00+00:00,2.773,2.773,2.653,2.683,3199.0624
2025-08-19 00:00:00+00:00,2.697,2.709,2.454,2.552,16252.96647
2025-08-20 00:00:00+00:00,2.558,2.706,2.535,2.706,6340.55345
2025-08-21 00:00:00+00:00,2.698,2.758,2.595,2.618,10280.64714
2025-08-22 00:00:00+00:00,2.625,2.866,2.549,2.852,21522.68428
2025-08-23 00:00:00+00:00,2.841,2.841,2.731,2.779,3099.47436
