datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,73.28,78.79,71.48,77.95,14496.125
2025-01-02 00:00:00+00:00,77.81,81.25,77.76,78.4,9139.304
2025-01-03 00:00:00+00:00,78.65,87.34,77.93,85.2,13212.919
2025-01-04 00:00:00+00:00,85.4,86.37,83.28,84.75,4824.823
2025-01-05 00:00:00+00:00,84.78,85.27,81.4,85.05,6916.584
2025-01-06 00:00:00+00:00,85.14,87.73,83.68,85.23,11807.897
2025-01-07 00:00:00+00:00,85.17,85.17,75.13,75.33,18371.984
2025-01-08 00:00:00+00:00,75.4,77.34,67.58,72.48,15175.414
2025-01-09 00:00:00+00:00,72.49,74.01,69.07,71.48,12374.434
2025-01-10 00:00:00+00:00,71.7,77.82,71.2,77.14,16140.065
2025-01-11 00:00:00+00:00,77.09,85.0,76.25,79.65,22611.939
2025-01-12 00:00:00+00:00,79.62,80.33,77.14,77.14,10078.611
2025-01-13 00:00:00+00:00,77.13,79.35,69.01,72.9,22863.252
2025-01-14 00:00:00+00:00,73.06,77.0,72.37,76.41,14646.274
2025-01-15 00:00:00+00:00,76.47,84.7,75.56,83.27,34512.403
2025-01-16 00:00:00+00:00,83.26,91.33,79.87,80.28,32366.747
2025-01-17 00:00:00+00:00,80.35,92.5,80.35,89.59,55786.563
2025-01-18 00:00:00+00:00,89.68,92.99,81.74,84.05,21369.734
2025-01-19 00:00:00+00:00,83.9,88.61,77.94,80.2,39316.594
2025-01-20 00:00:00+00:00,79.98,87.92,77.97,82.02,47602.652
2025-01-21 00:00:00+00:00,81.75,83.39,77.27,79.98,24736.611
2025-01-22 00:00:00+00:00,79.87,80.56,75.78,76.06,21339.845
2025-01-23 00:00:00+00:00,76.12,79.21,74.59,77.27,29103.752
2025-01-24 00:00:00+00:00,77.48,79.51,74.6,76.14,30355.91
2025-01-25 00:00:00+00:00,75.9,76.21,73.09,74.85,16506.756
2025-01-26 00:00:00+00:00,74.8,84.9,72.39,72.41,19042.331
2025-01-27 00:00:00+00:00,72.42,72.9,65.09,70.78,38428.187
2025-01-28 00:00:00+00:00,70.56,71.65,66.35,67.38,25458.585
2025-01-29 00:00:00+00:00,67.38,71.64,66.93,68.76,21355.269
2025-01-30 00:00:00+00:00,68.82,72.7,68.01,70.44,29007.817
2025-01-31 00:00:00+00:00,70.44,73.24,68.9,69.78,24045.99
2025-02-01 00:00:00+00:00,69.8,73.1,63.44,64.25,24514.977
2025-02-02 00:00:00+00:00,64.11,65.56,52.53,55.76,41759.998
2025-02-03 00:00:00+00:00,55.58,59.35,42.42,57.42,87444.28
2025-02-04 00:00:00+00:00,57.4,60.61,50.8,53.28,40735.824
2025-02-05 00:00:00+00:00,53.28,53.61,49.19,49.89,32878.69
2025-02-06 00:00:00+00:00,49.88,51.77,47.85,48.53,22592.524
2025-02-07 00:00:00+00:00,48.55,52.41,48.0,51.23,24695.955
2025-02-08 00:00:00+00:00,51.18,51.69,49.79,50.77,8749.117
2025-02-09 00:00:00+00:00,50.71,52.7,48.6,51.21,11861.795
2025-02-10 00:00:00+00:00,51.23,54.79,49.18,54.57,17980.73
2025-02-11 00:00:00+00:00,54.7,60.01,54.54,56.0,32875.946
2025-02-12 00:00:00+00:00,55.9,59.78,54.29,58.27,18204.735
2025-02-13 00:00:00+00:00,58.27,58.72,55.19,56.08,19855.39
2025-02-14 00:00:00+00:00,56.16,61.9,55.95,58.53,11598.918
2025-02-15 00:00:00+00:00,58.46,58.48,56.36,56.51,6895.948
2025-02-16 00:00:00+00:00,56.57,57.43,54.9,55.0,7561.079
2025-02-17 00:00:00+00:00,54.99,57.97,53.68,55.75,16154.949
2025-02-18 00:00:00+00:00,55.65,55.9,51.59,52.94,27668.484
2025-02-19 00:00:00+00:00,52.93,57.39,51.47,54.83,30792.183
2025-02-20 00:00:00+00:00,54.79,57.81,53.32,55.25,11186.226
2025-02-21 00:00:00+00:00,55.26,57.79,51.72,52.86,8021.973
2025-02-22 00:00:00+00:00,52.81,57.44,52.69,56.25,7420.048
2025-02-23 00:00:00+00:00,56.2,56.87,54.07,55.37,10911.524
2025-02-24 00:00:00+00:00,55.4,55.41,49.07,50.47,12010.866
2025-02-25 00:00:00+00:00,50.62,51.82,48.01,51.22,18123.094
2025-02-26 00:00:00+00:00,51.25,52.84,48.89,50.7,7044.063
2025-02-27 00:00:00+00:00,50.82,53.09,50.24,52.04,6229.082
2025-02-28 00:00:00+00:00,51.98,51.99,46.77,50.88,9840.773
2025-03-01 00:00:00+00:00,50.86,51.76,49.0,50.3,3224.606
2025-03-02 00:00:00+00:00,50.23,55.34,48.7,54.2,9464.947
2025-03-03 00:00:00+00:00,54.28,54.4,45.84,46.79,9755.054
2025-03-04 00:00:00+00:00,46.78,49.86,42.65,49.4,22662.4
2025-03-05 00:00:00+00:00,49.29,52.02,48.92,51.55,7157.403
2025-03-06 00:00:00+00:00,51.45,53.09,48.1,48.82,15145.179
2025-03-07 00:00:00+00:00,48.88,52.79,46.78,50.62,11222.837
2025-03-08 00:00:00+00:00,50.63,51.81,48.31,48.69,5148.523
2025-03-09 00:00:00+00:00,48.72,49.07,42.94,43.23,11847.366
2025-03-10 00:00:00+00:00,43.37,46.4,41.15,41.15,8852.174
2025-03-11 00:00:00+00:00,41.19,42.37,37.67,40.47,20379.455
2025-03-12 00:00:00+00:00,40.58,42.5,39.0,41.86,39851.534
2025-03-13 00:00:00+00:00,41.92,42.57,38.92,40.13,13720.147
2025-03-14 00:00:00+00:00,40.12,41.75,39.95,41.45,4843.408
2025-03-15 00:00:00+00:00,41.55,43.38,40.54,42.2,6299.536
2025-03-16 00:00:00+00:00,42.28,42.69,40.73,41.86,7561.724
2025-03-17 00:00:00+00:00,41.88,43.89,41.88,43.39,5556.02
2025-03-18 00:00:00+00:00,43.31,43.86,42.17,43.24,7628.453
2025-03-19 00:00:00+00:00,43.34,44.35,42.82,44.21,9953.484
2025-03-20 00:00:00+00:00,44.16,44.28,42.14,42.89,6090.982
2025-03-21 00:00:00+00:00,42.92,43.25,41.52,41.57,6984.658
2025-03-22 00:00:00+00:00,41.56,43.86,41.51,43.24,3761.694
2025-03-23 00:00:00+00:00,43.13,43.77,42.28,42.69,2924.087
2025-03-24 00:00:00+00:00,42.68,44.97,42.53,44.66,9329.276
2025-03-25 00:00:00+00:00,44.63,45.04,43.9,44.55,7282.267
2025-03-26 00:00:00+00:00,44.54,45.8,43.67,44.45,12265.46
2025-03-27 00:00:00+00:00,44.46,45.6,43.84,44.65,3096.323
2025-03-28 00:00:00+00:00,44.52,44.68,39.7,41.04,6896.518
2025-03-29 00:00:00+00:00,40.97,41.32,38.39,38.71,4164.176
2025-03-30 00:00:00+00:00,38.7,39.56,38.45,39.14,3634.59
2025-03-31 00:00:00+00:00,39.22,40.0,37.96,39.67,5817.739
2025-04-01 00:00:00+00:00,39.6,73.25,39.26,44.28,115482.425
2025-04-02 00:00:00+00:00,44.16,51.88,42.05,44.34,116915.264
2025-04-03 00:00:00+00:00,44.42,47.98,43.79,46.61,52123.356
2025-04-04 00:00:00+00:00,46.64,47.56,43.57,44.45,22410.326
2025-04-05 00:00:00+00:00,44.45,46.97,43.64,44.66,14072.476
2025-04-06 00:00:00+00:00,44.56,44.56,38.85,39.57,21529.047
2025-04-07 00:00:00+00:00,39.6,41.88,36.06,39.4,23934.563
2025-04-08 00:00:00+00:00,39.42,40.51,36.35,36.95,15528.466
2025-04-09 00:00:00+00:00,36.89,40.85,35.45,40.02,28420.6
2025-04-10 00:00:00+00:00,40.06,40.3,37.42,39.13,12115.328
2025-04-11 00:00:00+00:00,39.13,43.06,39.05,40.36,23366.931
2025-04-12 00:00:00+00:00,40.37,42.48,40.06,41.93,12279.657
2025-04-13 00:00:00+00:00,41.97,42.14,40.03,40.61,12195.913
2025-04-14 00:00:00+00:00,40.63,42.12,40.06,40.23,11267.718
2025-04-15 00:00:00+00:00,40.26,41.51,39.54,39.71,8533.986
2025-04-16 00:00:00+00:00,39.74,40.45,38.83,39.25,10518.615
2025-04-17 00:00:00+00:00,39.22,39.94,38.43,39.15,8515.38
2025-04-18 00:00:00+00:00,39.19,40.26,38.85,39.55,3357.282
2025-04-19 00:00:00+00:00,39.48,40.62,39.3,40.55,12186.823
2025-04-20 00:00:00+00:00,40.48,40.67,39.3,40.31,5182.232
2025-04-21 00:00:00+00:00,40.41,43.33,39.73,39.91,12590.593
2025-04-22 00:00:00+00:00,39.8,42.94,39.0,42.81,9853.091
2025-04-23 00:00:00+00:00,42.83,43.93,42.46,43.17,9113.457
2025-04-24 00:00:00+00:00,43.3,45.95,41.31,43.82,11167.424
2025-04-25 00:00:00+00:00,43.8,44.5,43.12,43.81,12486.4
2025-04-26 00:00:00+00:00,43.89,45.2,43.09,44.22,5058.09
2025-04-27 00:00:00+00:00,44.25,44.79,42.21,42.58,7713.434
2025-04-28 00:00:00+00:00,42.66,43.63,41.52,42.65,8185.354
2025-04-29 00:00:00+00:00,42.7,43.12,40.52,40.95,6202.176
2025-04-30 00:00:00+00:00,40.84,42.04,39.68,40.66,13604.812
2025-05-01 00:00:00+00:00,40.58,41.2,40.16,40.25,7315.966
2025-05-02 00:00:00+00:00,40.42,41.86,39.96,41.81,9891.955
2025-05-03 00:00:00+00:00,41.78,41.78,39.47,40.07,5098.323
2025-05-04 00:00:00+00:00,39.96,40.28,39.46,39.69,11367.347
2025-05-05 00:00:00+00:00,39.8,40.55,38.78,39.09,7858.254
2025-05-06 00:00:00+00:00,39.02,39.18,36.95,38.44,7851.508
2025-05-07 00:00:00+00:00,38.45,39.26,37.9,39.02,8415.54
2025-05-08 00:00:00+00:00,39.09,43.97,39.06,43.77,16777.676
2025-05-09 00:00:00+00:00,43.65,46.2,43.41,45.34,8482.201
2025-05-10 00:00:00+00:00,45.36,49.27,44.89,48.85,10896.148
2025-05-11 00:00:00+00:00,48.78,49.7,46.32,47.79,9480.831
2025-05-12 00:00:00+00:00,47.96,49.84,44.66,46.98,13845.297
2025-05-13 00:00:00+00:00,46.86,48.9,44.67,48.4,10601.31
2025-05-14 00:00:00+00:00,48.49,49.02,45.79,46.05,8427.635
2025-05-15 00:00:00+00:00,46.05,46.53,43.45,44.38,6443.431
2025-05-16 00:00:00+00:00,44.33,47.7,44.27,45.88,8261.222
2025-05-17 00:00:00+00:00,45.86,46.03,42.72,43.03,6208.934
2025-05-18 00:00:00+00:00,43.09,45.93,42.54,45.2,7655.217
2025-05-19 00:00:00+00:00,45.33,45.44,41.22,43.08,14381.773
2025-05-20 00:00:00+00:00,43.02,44.29,41.88,42.84,9474.279
2025-05-21 00:00:00+00:00,43.03,44.78,42.31,43.95,7612.949
2025-05-22 00:00:00+00:00,43.98,45.29,43.68,45.14,12689.75
2025-05-23 00:00:00+00:00,45.02,46.06,41.89,42.26,12997.512
2025-05-24 00:00:00+00:00,42.13,43.19,41.97,42.08,3522.465
2025-05-25 00:00:00+00:00,42.09,42.53,40.65,42.31,9582.537
2025-05-26 00:00:00+00:00,42.36,43.07,41.64,42.15,6464.413
2025-05-27 00:00:00+00:00,42.19,43.32,41.32,42.47,6237.692
2025-05-28 00:00:00+00:00,42.45,43.34,41.58,42.77,6588.755
2025-05-29 00:00:00+00:00,42.75,43.98,42.08,43.13,7717.336
2025-05-30 00:00:00+00:00,43.13,43.75,39.77,40.07,10091.672
2025-05-31 00:00:00+00:00,40.0,41.57,39.2,40.59,10334.947
2025-06-01 00:00:00+00:00,40.59,41.21,39.72,40.79,4125.206
2025-06-02 00:00:00+00:00,40.76,41.5,39.67,41.43,9125.101
2025-06-03 00:00:00+00:00,41.39,47.32,41.29,44.52,35275.438
2025-06-04 00:00:00+00:00,44.5,50.99,43.94,44.91,51868.163
2025-06-05 00:00:00+00:00,44.91,45.05,41.83,42.25,18909.773
2025-06-06 00:00:00+00:00,42.23,50.87,42.13,44.51,75963.964
2025-06-07 00:00:00+00:00,44.5,46.67,43.7,45.67,16890.446
2025-06-08 00:00:00+00:00,45.7,47.9,44.26,45.85,19152.89
2025-06-09 00:00:00+00:00,45.84,53.77,44.97,51.02,27508.835
2025-06-10 00:00:00+00:00,51.02,62.26,49.96,60.73,107263.804
2025-06-11 00:00:00+00:00,60.72,62.64,58.42,59.81,53040.148
2025-06-12 00:00:00+00:00,59.8,60.9,54.39,54.39,57645.354
2025-06-13 00:00:00+00:00,54.38,57.05,50.12,56.1,51355.4
2025-06-14 00:00:00+00:00,56.12,56.4,51.5,52.53,19559.541
2025-06-15 00:00:00+00:00,52.53,53.89,50.97,52.69,17831.269
2025-06-16 00:00:00+00:00,52.69,57.0,51.75,54.49,35941.242
2025-06-17 00:00:00+00:00,54.49,56.07,49.65,50.19,22938.532
2025-06-18 00:00:00+00:00,50.2,51.41,48.53,50.55,34238.181
2025-06-19 00:00:00+00:00,50.56,51.84,49.81,51.52,20138.094
2025-06-20 00:00:00+00:00,51.54,52.0,48.49,48.72,14888.982
2025-06-21 00:00:00+00:00,48.71,49.05,45.42,46.71,13041.932
2025-06-22 00:00:00+00:00,46.73,47.19,43.5,45.2,12753.62
2025-06-23 00:00:00+00:00,45.16,48.69,43.8,48.12,28430.764
2025-06-24 00:00:00+00:00,48.13,48.66,46.16,46.51,18659.033
2025-06-25 00:00:00+00:00,46.52,49.06,45.35,45.66,14578.877
2025-06-26 00:00:00+00:00,45.65,47.05,44.87,45.46,10352.666
2025-06-27 00:00:00+00:00,45.5,46.7,44.93,46.07,5796.219
2025-06-28 00:00:00+00:00,46.06,46.28,45.21,45.76,23780.788
2025-06-29 00:00:00+00:00,45.75,47.37,44.98,46.45,61769.054
2025-06-30 00:00:00+00:00,46.47,46.73,44.07,44.33,69856.659
2025-07-01 00:00:00+00:00,44.35,44.5,41.23,41.59,77215.171
2025-07-02 00:00:00+00:00,41.58,44.48,41.2,43.75,79303.649
2025-07-03 00:00:00+00:00,43.76,44.84,42.89,43.02,69140.451
2025-07-04 00:00:00+00:00,43.06,43.43,40.85,41.16,69983.186
2025-07-05 00:00:00+00:00,41.16,41.6,40.51,41.1,69439.626
2025-07-06 00:00:00+00:00,41.12,42.02,40.43,41.42,65210.827
2025-07-07 00:00:00+00:00,41.4,41.67,40.33,40.68,64899.113
2025-07-08 00:00:00+00:00,40.67,41.32,40.06,40.98,69188.311
2025-07-09 00:00:00+00:00,40.98,47.01,39.88,45.94,158868.54
2025-07-10 00:00:00+00:00,45.95,48.86,44.46,48.16,98578.282
2025-07-11 00:00:00+00:00,48.15,48.98,46.01,46.71,87871.066
2025-07-12 00:00:00+00:00,46.72,47.43,45.11,46.38,70800.693
2025-07-13 00:00:00+00:00,46.39,47.63,46.15,46.69,73418.766
2025-07-14 00:00:00+00:00,46.7,54.0,46.36,48.75,131060.121
2025-07-15 00:00:00+00:00,48.75,49.48,46.6,49.1,101681.116
2025-07-16 00:00:00+00:00,49.1,51.45,48.79,50.26,94872.68
2025-07-17 00:00:00+00:00,50.27,51.07,48.32,50.16,128828.179
2025-07-18 00:00:00+00:00,50.17,55.44,49.82,51.45,195383.725
2025-07-19 00:00:00+00:00,51.47,52.37,49.64,51.88,103455.994
2025-07-20 00:00:00+00:00,51.89,55.42,51.35,53.73,125752.609
2025-07-21 00:00:00+00:00,53.74,55.97,52.24,53.82,105470.806
2025-07-22 00:00:00+00:00,53.85,54.33,50.06,52.97,58300.32
2025-07-23 00:00:00+00:00,52.98,53.88,48.42,50.18,64690.002
2025-07-24 00:00:00+00:00,50.22,50.91,46.1,47.94,57882.846
2025-07-25 00:00:00+00:00,47.95,48.97,46.34,48.77,51951.5
2025-07-26 00:00:00+00:00,48.76,49.94,48.35,49.27,16890.917
2025-07-27 00:00:00+00:00,49.24,52.22,48.95,51.27,39247.915
2025-07-28 00:00:00+00:00,51.26,52.21,48.12,48.44,19520.536
2025-07-29 00:00:00+00:00,48.44,49.78,46.68,47.64,24047.742
2025-07-30 00:00:00+00:00,47.63,47.91,44.59,47.05,16222.655
2025-07-31 00:00:00+00:00,47.02,48.02,44.82,45.04,12183.336
2025-08-01 00:00:00+00:00,45.05,45.2,42.87,44.01,41634.799
2025-08-02 00:00:00+00:00,44.01,45.05,43.15,44.21,20403.767
2025-08-03 00:00:00+00:00,44.25,45.13,43.79,44.92,7311.431
2025-08-04 00:00:00+00:00,44.93,47.35,44.87,47.18,8131.425
2025-08-05 00:00:00+00:00,47.17,47.48,44.85,45.71,6691.654
2025-08-06 00:00:00+00:00,45.7,46.41,44.42,46.23,8225.655
2025-08-07 00:00:00+00:00,46.24,48.53,45.72,48.42,12292.825
2025-08-08 00:00:00+00:00,48.42,49.8,47.37,49.51,37599.755
2025-08-09 00:00:00+00:00,49.52,57.03,49.5,55.35,103949.8
2025-08-10 00:00:00+00:00,55.36,56.25,52.62,54.21,32965.19
2025-08-11 00:00:00+00:00,54.2,55.13,50.62,50.76,24812.984
2025-08-12 00:00:00+00:00,50.75,53.63,50.1,53.15,35470.246
2025-08-13 00:00:00+00:00,53.16,55.22,52.26,53.92,22637.461
2025-08-14 00:00:00+00:00,53.93,54.61,47.72,48.63,54274.145
2025-08-15 00:00:00+00:00,48.6,49.52,46.24,47.94,27078.793
2025-08-16 00:00:00+00:00,47.95,48.54,47.08,48.48,13256.753
2025-08-17 00:00:00+00:00,48.49,49.52,48.12,48.2,20712.828
2025-08-18 00:00:00+00:00,48.18,48.3,45.83,46.78,36824.031
2025-08-19 00:00:00+00:00,46.78,47.45,44.55,44.7,20814.506
2025-08-20 00:00:00+00:00,44.71,46.93,44.69,46.45,23825.317
2025-08-21 00:00:00+00:00,46.45,46.68,44.76,44.98,16035.036
2025-08-22 00:00:00+00:00,44.99,49.98,43.57,49.46,43528.744
2025-08-23 00:00:00+00:00,49.47,50.01,47.75,48.68,24062.959
2025-08-24 00:00:00+00:00,48.69,49.09,46.11,46.4,30251.243
2025-08-25 00:00:00+00:00,46.39,47.19,41.9,42.86,37356.631
2025-08-26 00:00:00+00:00,42.85,44.86,42.6,44.59,21431.744
2025-08-27 00:00:00+00:00,44.56,45.06,43.76,43.91,34253.458
2025-08-28 00:00:00+00:00,43.86,45.11,43.55,44.7,10196.847
2025-08-29 00:00:00+00:00,44.7,44.83,42.26,43.05,20026.273
2025-08-30 00:00:00+00:00,43.04,43.63,42.16,43.18,9090.526
2025-08-31 00:00:00+00:00,43.19,43.62,42.45,42.46,9240.004
2025-09-01 00:00:00+00:00,42.44,45.28,41.23,42.31,36162.966
2025-09-02 00:00:00+00:00,42.27,43.44,41.8,43.35,11189.328
2025-09-03 00:00:00+00:00,43.35,43.83,42.69,43.28,7311.133
2025-09-04 00:00:00+00:00,43.3,43.47,41.55,42.19,12082.565
2025-09-05 00:00:00+00:00,42.19,44.38,42.15,43.39,13344.568
2025-09-06 00:00:00+00:00,43.4,43.68,42.13,42.36,6215.975
2025-09-07 00:00:00+00:00,42.36,43.07,42.25,42.72,5769.815
2025-09-08 00:00:00+00:00,42.73,44.14,42.69,43.55,14730.162
2025-09-09 00:00:00+00:00,43.55,44.78,42.94,43.38,11498.154
2025-09-10 00:00:00+00:00,43.41,44.53,43.22,43.97,10866.677
2025-09-11 00:00:00+00:00,43.97,45.36,43.83,45.18,26713.724
2025-09-12 00:00:00+00:00,45.19,45.99,44.12,45.84,15688.619
2025-09-13 00:00:00+00:00,45.85,48.16,45.61,46.99,24086.338
2025-09-14 00:00:00+00:00,46.99,47.17,44.72,44.93,7502.801
2025-09-15 00:00:00+00:00,44.88,45.84,43.2,44.19,10334.281
2025-09-16 00:00:00+00:00,44.18,45.03,43.55,44.86,8825.992
2025-09-17 00:00:00+00:00,44.88,46.2,43.6,46.04,6737.983
2025-09-18 00:00:00+00:00,46.05,46.61,45.47,46.07,12658.307
2025-09-19 00:00:00+00:00,46.08,46.45,43.76,44.08,14398.637
2025-09-20 00:00:00+00:00,44.09,45.43,43.79,44.69,12871.036
2025-09-21 00:00:00+00:00,44.69,45.18,44.1,44.35,6835.155
2025-09-22 00:00:00+00:00,44.3,44.49,39.55,42.25,21443.313
2025-09-23 00:00:00+00:00,42.24,42.3,40.92,41.27,12702.868
2025-09-24 00:00:00+00:00,41.24,42.48,40.65,41.57,10060.791
2025-09-25 00:00:00+00:00,41.57,43.89,39.06,39.69,50905.954
2025-09-26 00:00:00+00:00,39.69,41.29,39.52,41.09,13159.407
2025-09-27 00:00:00+00:00,41.02,41.28,40.62,40.98,4970.551
2025-09-28 00:00:00+00:00,40.98,41.84,40.05,41.81,6564.683
2025-09-29 00:00:00+00:00,41.75,42.51,41.04,42.03,7875.88
2025-09-30 00:00:00+00:00,41.94,42.1,40.5,41.63,6288.42
2025-10-01 00:00:00+00:00,41.67,43.14,40.67,43.11,10229.446
2025-10-02 00:00:00+00:00,43.09,44.83,42.74,44.02,8452.614
2025-10-03 00:00:00+00:00,44.06,44.56,42.91,43.91,7758.122
2025-10-04 00:00:00+00:00,43.91,44.02,42.23,42.7,5348.757
2025-10-05 00:00:00+00:00,42.68,44.5,42.41,42.87,13749.564
2025-10-06 00:00:00+00:00,42.86,44.32,42.63,43.93,10264.652
2025-10-07 00:00:00+00:00,43.93,43.98,41.91,42.26,8891.232
2025-10-08 00:00:00+00:00,42.42,43.32,41.87,42.84,7063.975
2025-10-09 00:00:00+00:00,42.87,42.88,41.11,42.05,6045.159
2025-10-10 00:00:00+00:00,42.06,43.92,22.41,30.46,74663.101
2025-10-11 00:00:00+00:00,30.19,33.73,29.51,32.15,90450.452
2025-10-12 00:00:00+00:00,32.16,35.86,31.28,34.74,33929.37
2025-10-13 00:00:00+00:00,34.74,36.42,33.98,36.24,28703.422
2025-10-14 00:00:00+00:00,36.27,37.66,32.59,36.45,43474.873
2025-10-15 00:00:00+00:00,36.45,37.38,34.51,35.23,42180.358
2025-10-16 00:00:00+00:00,35.22,35.84,33.25,34.25,28962.357
2025-10-17 00:00:00+00:00,34.24,36.49,31.76,33.41,41594.95
2025-10-18 00:00:00+00:00,33.4,36.22,33.2,36.06,16459.235
2025-10-19 00:00:00+00:00,35.96,37.34,35.21,37.03,30967.461
2025-10-20 00:00:00+00:00,37.03,38.38,36.34,37.4,17055.249
2025-10-21 00:00:00+00:00,37.41,38.35,35.94,36.46,21979.176
