datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,37.83,40.52,37.15,39.35,16285.61195484
2025-01-02 00:00:00+00:00,39.52,41.22,38.8,40.26,18775.4749561
2025-01-03 00:00:00+00:00,40.28,43.85,39.26,43.19,19472.61791138
2025-01-04 00:00:00+00:00,43.19,43.68,42.06,42.69,18577.88439218
2025-01-05 00:00:00+00:00,42.73,44.58,41.64,43.68,22941.43299195
2025-01-06 00:00:00+00:00,43.7,44.67,42.48,43.86,21350.21568982
2025-01-07 00:00:00+00:00,43.85,43.85,38.51,38.67,15888.43823275
2025-01-08 00:00:00+00:00,38.77,39.2,35.44,37.64,20459.83890158
2025-01-09 00:00:00+00:00,37.72,38.16,35.6,36.85,10590.68412345
2025-01-10 00:00:00+00:00,36.85,37.72,36.07,37.54,13091.50938382
2025-01-11 00:00:00+00:00,37.56,37.85,36.68,37.27,8799.53421236
2025-01-12 00:00:00+00:00,37.22,37.54,36.29,36.78,6365.21062069
2025-01-13 00:00:00+00:00,36.83,37.7,33.01,35.37,35366.48750636
2025-01-14 00:00:00+00:00,35.25,37.93,35.08,37.68,6840.14581941
2025-01-15 00:00:00+00:00,37.56,40.35,36.79,40.16,21713.94570593
2025-01-16 00:00:00+00:00,40.11,41.41,38.58,39.52,21390.98639311
2025-01-17 00:00:00+00:00,39.53,44.78,39.53,43.61,33539.72922584
2025-01-18 00:00:00+00:00,43.65,44.31,39.02,40.07,22287.02343022
2025-01-19 00:00:00+00:00,39.89,40.59,35.0,35.68,23020.12895633
2025-01-20 00:00:00+00:00,35.75,39.12,34.59,36.25,21186.4639814
2025-01-21 00:00:00+00:00,36.3,38.54,34.37,36.79,17865.00885904
2025-01-22 00:00:00+00:00,36.82,37.52,35.63,35.8,11582.74818032
2025-01-23 00:00:00+00:00,35.78,36.45,34.5,35.55,21958.21484155
2025-01-24 00:00:00+00:00,35.62,36.15,34.29,35.01,12460.48413132
2025-01-25 00:00:00+00:00,34.88,35.67,34.55,35.21,9570.4804285
2025-01-26 00:00:00+00:00,35.22,35.65,33.77,33.77,11835.27927611
2025-01-27 00:00:00+00:00,33.77,33.88,30.43,33.18,17623.8236026
2025-01-28 00:00:00+00:00,33.28,33.53,30.79,31.07,14542.95239328
2025-01-29 00:00:00+00:00,30.92,33.14,30.76,32.08,12471.08292997
2025-01-30 00:00:00+00:00,32.08,34.91,31.84,34.05,14866.19337181
2025-01-31 00:00:00+00:00,34.15,35.09,33.09,33.89,9265.15965235
2025-02-01 00:00:00+00:00,33.91,34.78,30.37,30.44,13679.93900635
2025-02-02 00:00:00+00:00,30.4,31.3,25.33,26.93,41312.06052341
2025-02-03 00:00:00+00:00,26.87,27.2,20.5,26.88,65216.17570858
2025-02-04 00:00:00+00:00,26.92,27.25,24.23,25.68,29931.4395658
2025-02-05 00:00:00+00:00,25.67,26.35,25.04,25.29,16182.41761864
2025-02-06 00:00:00+00:00,25.3,25.81,23.98,24.64,15475.93970826
2025-02-07 00:00:00+00:00,24.52,26.34,24.09,25.05,39862.41142007
2025-02-08 00:00:00+00:00,24.96,25.82,24.42,25.74,8830.01296083
2025-02-09 00:00:00+00:00,25.79,26.69,24.84,25.83,11304.98676223
2025-02-10 00:00:00+00:00,25.84,27.09,25.06,27.09,14368.78805446
2025-02-11 00:00:00+00:00,27.1,28.38,26.37,27.0,17651.88174299
2025-02-12 00:00:00+00:00,26.97,28.13,25.7,27.93,10115.12272448
2025-02-13 00:00:00+00:00,27.95,28.62,27.0,27.74,10358.80889408
2025-02-14 00:00:00+00:00,27.72,29.28,27.18,27.94,63975.58581636
