datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,37.83,38.51,37.78,37.93,1700.3820042
2025-01-01 06:00:00+00:00,37.99,38.24,37.15,38.07,1423.11441941
2025-01-01 12:00:00+00:00,38.09,39.39,37.95,39.07,3858.01388754
2025-01-01 18:00:00+00:00,39.17,40.52,38.96,39.35,9304.10164369
2025-01-02 00:00:00+00:00,39.52,40.24,39.1,39.18,3570.91700419
2025-01-02 06:00:00+00:00,39.24,40.41,38.8,40.36,4309.31600284
2025-01-02 12:00:00+00:00,40.32,41.22,39.94,40.57,6946.72582223
2025-01-02 18:00:00+00:00,40.66,40.79,39.62,40.26,3948.51612684
2025-01-03 00:00:00+00:00,40.28,40.56,39.41,39.51,2467.7409793
2025-01-03 06:00:00+00:00,39.52,41.42,39.26,41.38,3796.66441599
2025-01-03 12:00:00+00:00,41.44,43.85,41.39,43.2,9077.80906737
2025-01-03 18:00:00+00:00,43.25,43.32,42.7,43.19,4130.40344872
2025-01-04 00:00:00+00:00,43.19,43.68,42.18,43.07,8411.23220929
2025-01-04 06:00:00+00:00,43.13,43.26,42.33,42.67,2290.60230932
2025-01-04 12:00:00+00:00,42.69,43.44,42.06,42.59,5640.90389715
2025-01-04 18:00:00+00:00,42.55,43.07,42.39,42.69,2235.14597642
2025-01-05 00:00:00+00:00,42.73,43.05,42.04,42.47,1967.65619364
2025-01-05 06:00:00+00:00,42.44,42.77,41.64,42.34,6502.98631932
2025-01-05 12:00:00+00:00,42.24,44.22,42.03,43.58,9443.83716435
2025-01-05 18:00:00+00:00,43.62,44.58,43.2,43.68,5026.95331464
2025-01-06 00:00:00+00:00,43.7,44.07,42.48,43.48,8491.39730346
2025-01-06 06:00:00+00:00,43.55,43.55,42.59,43.35,3505.0445655
2025-01-06 12:00:00+00:00,43.42,44.67,42.85,43.67,5320.93724086
2025-01-06 18:00:00+00:00,43.75,44.33,43.35,43.86,4032.83658
2025-01-07 00:00:00+00:00,43.85,43.85,42.35,42.52,3052.49608715
2025-01-07 06:00:00+00:00,42.43,43.1,41.77,42.13,1749.62864159
2025-01-07 12:00:00+00:00,42.14,42.63,39.3,39.62,6339.52726438
2025-01-07 18:00:00+00:00,39.58,39.88,38.51,38.67,4746.78623963
2025-01-08 00:00:00+00:00,38.77,39.2,37.41,37.76,4085.38327619
2025-01-08 06:00:00+00:00,37.95,38.03,36.79,37.21,3382.86812336
2025-01-08 12:00:00+00:00,37.31,38.41,35.44,37.05,9209.75427711
2025-01-08 18:00:00+00:00,37.08,38.02,36.79,37.64,3781.83322492
2025-01-09 00:00:00+00:00,37.72,38.16,37.26,37.49,1383.26692525
2025-01-09 06:00:00+00:00,37.39,37.51,36.29,37.14,2271.54441061
2025-01-09 12:00:00+00:00,37.14,37.64,35.76,36.59,3056.15263821
2025-01-09 18:00:00+00:00,36.54,37.12,35.6,36.85,3879.72014938
2025-01-10 00:00:00+00:00,36.85,37.22,36.61,37.15,2350.29503288
2025-01-10 06:00:00+00:00,37.0,37.65,36.88,37.38,1857.75691381
2025-01-10 12:00:00+00:00,37.34,37.67,36.07,37.49,6163.66512068
2025-01-10 18:00:00+00:00,37.3,37.72,37.03,37.54,2719.79231645
2025-01-11 00:00:00+00:00,37.56,37.85,37.14,37.56,2679.19218551
2025-01-11 06:00:00+00:00,37.6,37.63,36.85,37.36,1170.49337688
2025-01-11 12:00:00+00:00,37.32,37.48,36.92,36.95,2540.525
2025-01-11 18:00:00+00:00,37.07,37.82,36.68,37.27,2409.32364997
2025-01-12 00:00:00+00:00,37.22,37.39,36.93,37.18,1207.9092178
2025-01-12 06:00:00+00:00,37.28,37.28,36.51,36.95,1606.48694134
2025-01-12 12:00:00+00:00,36.79,37.43,36.74,37.37,1389.86122
2025-01-12 18:00:00+00:00,37.36,37.54,36.29,36.78,2160.95324155
2025-01-13 00:00:00+00:00,36.83,37.7,35.73,35.73,3732.0839165
2025-01-13 06:00:00+00:00,35.74,35.87,33.21,33.21,5133.29236656
2025-01-13 12:00:00+00:00,33.22,35.47,33.01,33.93,14322.74401787
2025-01-13 18:00:00+00:00,33.96,36.04,33.6,35.37,12178.36720543
2025-01-14 00:00:00+00:00,35.25,36.1,35.08,35.68,1546.38117923
2025-01-14 06:00:00+00:00,35.65,36.66,35.63,36.1,925.68463066
2025-01-14 12:00:00+00:00,36.29,37.29,35.86,37.02,2617.50122993
2025-01-14 18:00:00+00:00,37.04,37.93,36.59,37.68,1750.57877959
2025-01-15 00:00:00+00:00,37.56,38.46,37.4,38.26,2401.19538528
2025-01-15 06:00:00+00:00,38.14,38.9,36.82,37.11,4342.17047456
2025-01-15 12:00:00+00:00,37.1,39.84,36.79,38.9,8697.16652965
2025-01-15 18:00:00+00:00,38.9,40.35,38.9,40.16,6273.41331644
2025-01-16 00:00:00+00:00,40.11,40.15,38.95,39.43,3470.38054124
2025-01-16 06:00:00+00:00,39.36,39.93,38.69,39.67,2318.85308906
2025-01-16 12:00:00+00:00,39.62,41.41,38.58,40.04,9873.36878624
2025-01-16 18:00:00+00:00,39.98,40.6,39.2,39.52,5728.38397657
2025-01-17 00:00:00+00:00,39.53,43.85,39.53,43.46,11834.69030476
2025-01-17 06:00:00+00:00,43.5,44.78,43.1,43.39,9562.11828894
2025-01-17 12:00:00+00:00,43.4,43.53,42.65,42.85,5544.32442075
2025-01-17 18:00:00+00:00,42.88,44.35,42.82,43.61,6598.59621139
2025-01-18 00:00:00+00:00,43.65,44.31,40.1,40.19,9559.97879638
2025-01-18 06:00:00+00:00,40.2,40.98,39.52,40.94,3887.54915215
2025-01-18 12:00:00+00:00,40.91,41.28,39.24,39.32,4621.76174211
2025-01-18 18:00:00+00:00,39.3,40.07,39.02,40.07,4217.73373958
2025-01-19 00:00:00+00:00,39.89,40.59,38.36,38.74,3890.78828623
2025-01-19 06:00:00+00:00,38.82,38.87,35.79,36.06,5570.79552212
2025-01-19 12:00:00+00:00,36.03,39.3,35.99,39.15,4606.76856658
2025-01-19 18:00:00+00:00,39.17,39.32,35.0,35.68,8951.7765814
2025-01-20 00:00:00+00:00,35.75,36.55,34.59,36.1,2759.97706329
2025-01-20 06:00:00+00:00,36.22,39.12,36.22,37.37,7299.60991486
2025-01-20 12:00:00+00:00,37.38,37.39,35.12,36.14,6490.28020352
2025-01-20 18:00:00+00:00,36.09,37.01,35.59,36.25,4636.59679973
2025-01-21 00:00:00+00:00,36.3,36.37,34.37,34.73,3241.22596706
2025-01-21 06:00:00+00:00,34.59,36.93,34.56,36.88,2975.28450403
2025-01-21 12:00:00+00:00,36.86,38.02,36.17,38.0,5120.0016924
2025-01-21 18:00:00+00:00,37.95,38.54,36.61,36.79,6528.49669555
2025-01-22 00:00:00+00:00,36.82,37.11,36.45,36.64,2966.8393513
2025-01-22 06:00:00+00:00,36.71,37.46,36.05,37.39,3360.13547647
2025-01-22 12:00:00+00:00,37.39,37.52,36.29,36.83,1519.41394595
2025-01-22 18:00:00+00:00,36.79,36.87,35.63,35.8,3736.3594066
2025-01-23 00:00:00+00:00,35.78,35.93,34.73,34.98,6277.11169149
2025-01-23 06:00:00+00:00,34.95,35.27,34.5,34.75,2366.06681089
2025-01-23 12:00:00+00:00,34.68,36.45,34.5,35.98,9649.41348685
2025-01-23 18:00:00+00:00,36.01,36.01,34.72,35.55,3665.62285232
2025-01-24 00:00:00+00:00,35.62,35.73,34.29,35.65,3493.38065805
2025-01-24 06:00:00+00:00,35.6,35.97,35.22,35.77,1937.98981265
2025-01-24 12:00:00+00:00,35.78,36.15,35.33,35.64,3071.83444624
2025-01-24 18:00:00+00:00,35.73,36.15,34.82,35.01,3957.27921438
2025-01-25 00:00:00+00:00,34.88,35.6,34.63,35.45,4328.5865737
2025-01-25 06:00:00+00:00,35.46,35.48,34.55,34.9,1535.5841576
2025-01-25 12:00:00+00:00,34.94,35.57,34.86,35.43,2380.99382094
2025-01-25 18:00:00+00:00,35.48,35.67,35.16,35.21,1325.31587626
2025-01-26 00:00:00+00:00,35.22,35.65,35.1,35.46,1148.26447569
2025-01-26 06:00:00+00:00,35.41,35.56,34.92,35.1,1958.65865229
2025-01-26 12:00:00+00:00,35.06,35.14,34.85,35.02,1441.77017932
2025-01-26 18:00:00+00:00,35.02,35.2,33.77,33.77,7286.58596881
2025-01-27 00:00:00+00:00,33.77,33.88,31.89,32.06,4826.32407484
2025-01-27 06:00:00+00:00,32.22,32.33,30.43,31.41,6449.25466455
2025-01-27 12:00:00+00:00,31.43,33.07,31.38,32.3,4161.76997916
2025-01-27 18:00:00+00:00,32.33,33.85,31.92,33.18,2186.47488405
2025-01-28 00:00:00+00:00,33.28,33.53,32.91,33.38,694.44426256
2025-01-28 06:00:00+00:00,33.25,33.3,32.68,32.99,1075.40169665
2025-01-28 12:00:00+00:00,33.03,33.2,32.45,32.6,7871.69568213
2025-01-28 18:00:00+00:00,32.48,32.62,30.79,31.07,4901.41075194
2025-01-29 00:00:00+00:00,30.92,31.76,30.76,31.61,2047.79777072
2025-01-29 06:00:00+00:00,31.67,32.4,31.61,31.88,1382.86311188
