datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,6.627,6.738,6.618,6.733,58604.07548139
2025-01-01 01:00:00+00:00,6.733,6.733,6.646,6.661,72171.55358809
2025-01-01 02:00:00+00:00,6.663,6.679,6.639,6.669,32018.25169105
2025-01-01 03:00:00+00:00,6.67,6.67,6.64,6.647,28601.18872932
2025-01-01 04:00:00+00:00,6.648,6.648,6.611,6.617,40859.05974954
2025-01-01 05:00:00+00:00,6.613,6.671,6.611,6.658,24703.51781443
2025-01-01 06:00:00+00:00,6.658,6.665,6.625,6.656,11846.9493101
2025-01-01 07:00:00+00:00,6.653,6.66,6.63,6.632,14479.7420676
2025-01-01 08:00:00+00:00,6.633,6.648,6.576,6.577,50508.24352071
2025-01-01 09:00:00+00:00,6.578,6.59,6.509,6.54,33557.93321589
2025-01-01 10:00:00+00:00,6.543,6.57,6.533,6.552,15485.18151347
2025-01-01 11:00:00+00:00,6.552,6.637,6.528,6.607,24402.47059927
2025-01-01 12:00:00+00:00,6.609,6.696,6.603,6.692,25521.47540954
2025-01-01 13:00:00+00:00,6.69,6.738,6.657,6.686,36438.39543915
2025-01-01 14:00:00+00:00,6.685,6.738,6.63,6.685,30364.18638163
2025-01-01 15:00:00+00:00,6.687,6.793,6.657,6.786,43481.37803343
2025-01-01 16:00:00+00:00,6.787,6.862,6.763,6.793,67132.76234435
2025-01-01 17:00:00+00:00,6.793,6.835,6.711,6.821,30887.93590247
2025-01-01 18:00:00+00:00,6.82,6.97,6.778,6.953,75458.70875542
2025-01-01 19:00:00+00:00,6.956,7.023,6.898,6.981,82001.18415112
2025-01-01 20:00:00+00:00,6.984,7.111,6.984,7.088,88068.29821014
2025-01-01 21:00:00+00:00,7.088,7.127,7.06,7.107,100217.84568082
2025-01-01 22:00:00+00:00,7.108,7.114,7.034,7.086,55153.39374784
2025-01-01 23:00:00+00:00,7.085,7.088,7.007,7.037,50329.41647104
2025-01-02 00:00:00+00:00,7.039,7.212,7.039,7.165,197930.75500293
2025-01-02 01:00:00+00:00,7.168,7.212,7.133,7.166,51367.08731122
2025-01-02 02:00:00+00:00,7.167,7.197,7.137,7.182,37077.07966901
2025-01-02 03:00:00+00:00,7.184,7.199,7.148,7.151,23606.39196024
2025-01-02 04:00:00+00:00,7.151,7.258,7.133,7.231,55934.95495992
2025-01-02 05:00:00+00:00,7.236,7.247,7.168,7.177,48797.95510444
2025-01-02 06:00:00+00:00,7.182,7.208,7.113,7.13,71845.59278491
2025-01-02 07:00:00+00:00,7.133,7.235,7.115,7.216,35106.44298876
2025-01-02 08:00:00+00:00,7.217,7.258,7.165,7.252,37564.08945299
2025-01-02 09:00:00+00:00,7.251,7.348,7.244,7.323,48255.0639065
2025-01-02 10:00:00+00:00,7.324,7.353,7.277,7.329,33556.20854706
2025-01-02 11:00:00+00:00,7.326,7.333,7.271,7.285,42094.00726731
2025-01-02 12:00:00+00:00,7.289,7.323,7.249,7.281,44161.63925796
2025-01-02 13:00:00+00:00,7.278,7.294,7.216,7.229,56267.49279102
2025-01-02 14:00:00+00:00,7.231,7.322,7.163,7.247,122839.78086995
2025-01-02 15:00:00+00:00,7.248,7.255,7.152,7.18,77232.50664679
2025-01-02 16:00:00+00:00,7.181,7.234,7.138,7.202,78223.79840867
2025-01-02 17:00:00+00:00,7.201,7.244,7.102,7.15,72577.60436061
2025-01-02 18:00:00+00:00,7.152,7.18,7.132,7.177,51013.98419793
2025-01-02 19:00:00+00:00,7.179,7.195,7.143,7.15,68234.39104342
2025-01-02 20:00:00+00:00,7.155,7.2,7.129,7.156,38862.22106003
2025-01-02 21:00:00+00:00,7.158,7.178,7.137,7.162,25633.99639809
2025-01-02 22:00:00+00:00,7.16,7.161,7.092,7.151,35299.16632927
2025-01-02 23:00:00+00:00,7.147,7.191,7.131,7.169,43590.03032581
2025-01-03 00:00:00+00:00,7.171,7.215,7.151,7.159,26889.44798
2025-01-03 01:00:00+00:00,7.16,7.229,7.128,7.209,50991.14543529
2025-01-03 02:00:00+00:00,7.211,7.316,7.202,7.25,49811.54542203
2025-01-03 03:00:00+00:00,7.253,7.34,7.218,7.321,47697.36142404
2025-01-03 04:00:00+00:00,7.319,7.319,7.22,7.243,43387.06566659
2025-01-03 05:00:00+00:00,7.243,7.253,7.189,7.228,53951.05108391
2025-01-03 06:00:00+00:00,7.227,7.328,7.227,7.255,24057.80684351
2025-01-03 07:00:00+00:00,7.254,7.264,7.197,7.216,26561.57752775
2025-01-03 08:00:00+00:00,7.215,7.35,7.215,7.327,80482.49897752
2025-01-03 09:00:00+00:00,7.328,7.507,7.324,7.487,103297.66594867
2025-01-03 10:00:00+00:00,7.492,7.585,7.451,7.585,87761.72219482
2025-01-03 11:00:00+00:00,7.585,7.787,7.584,7.686,175653.12400348
2025-01-03 12:00:00+00:00,7.683,7.816,7.683,7.732,127015.92838701
2025-01-03 13:00:00+00:00,7.734,7.801,7.671,7.721,130220.98706017
2025-01-03 14:00:00+00:00,7.721,7.877,7.721,7.837,141590.46204552
2025-01-03 15:00:00+00:00,7.841,7.935,7.826,7.862,218387.48547013
2025-01-03 16:00:00+00:00,7.862,7.998,7.823,7.891,304324.57404004
2025-01-03 17:00:00+00:00,7.896,7.905,7.755,7.77,153765.41282893
