datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,24.97,26.64,24.58,25.79,251699.62399064
2025-01-02 00:00:00+00:00,25.79,27.02,25.61,26.88,199231.09187162
2025-01-03 00:00:00+00:00,26.88,29.1,26.6,28.46,187555.06870982
2025-01-04 00:00:00+00:00,28.46,28.85,27.87,28.36,112115.43531386
2025-01-05 00:00:00+00:00,28.36,28.6,27.43,28.12,65007.59096532
2025-01-06 00:00:00+00:00,28.13,29.25,27.72,28.69,117256.24935914
2025-01-07 00:00:00+00:00,28.69,28.8,25.9,25.9,312843.46879215
2025-01-08 00:00:00+00:00,25.91,26.32,24.25,25.28,308118.23516709
2025-01-09 00:00:00+00:00,25.26,25.6,24.31,24.88,129707.39609476
2025-01-10 00:00:00+00:00,24.9,25.91,24.82,25.66,106486.09139652
2025-01-11 00:00:00+00:00,25.65,25.92,25.15,25.54,31233.34110948
2025-01-12 00:00:00+00:00,25.55,25.76,24.99,25.27,26158.30279572
2025-01-13 00:00:00+00:00,25.25,25.81,22.9,24.59,113765.31360115
2025-01-14 00:00:00+00:00,24.6,25.49,24.46,25.38,74581.96184294
2025-01-15 00:00:00+00:00,25.38,27.16,24.89,27.12,244891.60266189
2025-01-16 00:00:00+00:00,27.12,27.34,26.05,26.68,137596.04725321
2025-01-17 00:00:00+00:00,26.69,28.69,26.69,28.28,162102.40585248
2025-01-18 00:00:00+00:00,28.29,28.49,26.35,26.89,174892.17222077
2025-01-19 00:00:00+00:00,26.89,28.09,24.92,25.4,316614.07909318
2025-01-20 00:00:00+00:00,25.4,28.04,24.73,25.76,385626.89011017
2025-01-21 00:00:00+00:00,25.75,27.84,24.92,27.11,219950.33339601
2025-01-22 00:00:00+00:00,27.1,27.7,26.41,26.79,165636.85202748
2025-01-23 00:00:00+00:00,26.8,29.21,26.64,29.02,438724.74727829
2025-01-24 00:00:00+00:00,29.02,29.26,27.3,27.39,236218.77069446
2025-01-25 00:00:00+00:00,27.38,27.54,26.64,27.04,101366.37180396
2025-01-26 00:00:00+00:00,27.04,27.14,26.07,26.18,67595.55772583
2025-01-27 00:00:00+00:00,26.17,26.65,24.64,25.99,209896.80039904
2025-01-28 00:00:00+00:00,25.98,26.26,24.6,24.98,110214.25990826
2025-01-29 00:00:00+00:00,24.98,26.01,24.82,25.51,130000.85577482
2025-01-30 00:00:00+00:00,25.53,26.66,25.36,26.26,89533.48616164
2025-01-31 00:00:00+00:00,26.28,27.77,25.94,26.8,248407.49726322
2025-02-01 00:00:00+00:00,26.81,27.34,24.8,24.97,105425.96026382
2025-02-02 00:00:00+00:00,24.96,25.36,21.61,22.5,340626.45934207
2025-02-03 00:00:00+00:00,22.5,22.5,17.05,22.08,829694.62988688
2025-02-04 00:00:00+00:00,22.08,22.3,20.05,20.68,433277.70214957
2025-02-05 00:00:00+00:00,20.67,21.46,20.4,20.7,123650.40536884
2025-02-06 00:00:00+00:00,20.69,21.27,19.57,19.73,135478.45587407
2025-02-07 00:00:00+00:00,19.73,20.88,19.28,19.82,131914.41140647
2025-02-08 00:00:00+00:00,19.81,20.24,19.59,20.13,55854.41509846
2025-02-09 00:00:00+00:00,20.14,20.53,19.36,20.16,65447.57159293
2025-02-10 00:00:00+00:00,20.17,20.83,19.66,20.67,86314.28045037
2025-02-11 00:00:00+00:00,20.68,21.35,19.86,20.24,98493.79157551
2025-02-12 00:00:00+00:00,20.23,21.69,19.83,21.38,145732.63487966
2025-02-13 00:00:00+00:00,21.39,21.59,20.8,21.14,91962.51217217
2025-02-14 00:00:00+00:00,21.15,21.94,21.02,21.4,81837.30690444
2025-02-15 00:00:00+00:00,21.4,21.5,20.66,20.82,49760.47279362
2025-02-16 00:00:00+00:00,20.81,20.91,20.29,20.46,24507.0721196
2025-02-17 00:00:00+00:00,20.45,21.61,20.12,20.9,124707.81160601
2025-02-18 00:00:00+00:00,20.89,20.95,19.57,20.18,80506.06878479
2025-02-19 00:00:00+00:00,20.17,21.27,19.99,21.16,124198.08805048
2025-02-20 00:00:00+00:00,21.17,21.6,20.7,20.92,94135.47287573
2025-02-21 00:00:00+00:00,20.94,21.61,19.88,20.19,119517.09813842
2025-02-22 00:00:00+00:00,20.19,20.77,20.06,20.47,81604.36080385
2025-02-23 00:00:00+00:00,20.46,21.04,20.45,20.76,60252.75138795
2025-02-24 00:00:00+00:00,20.77,20.89,18.33,18.65,138751.32651349
2025-02-25 00:00:00+00:00,18.65,19.09,17.38,18.86,176217.57335306
2025-02-26 00:00:00+00:00,18.87,19.17,18.07,18.74,90272.60922727
2025-02-27 00:00:00+00:00,18.75,19.15,18.23,18.69,90332.82937462
2025-02-28 00:00:00+00:00,18.7,19.62,17.61,19.55,198481.72227823
2025-03-01 00:00:00+00:00,19.55,19.77,18.81,19.06,53683.76015701
2025-03-02 00:00:00+00:00,19.05,21.27,18.86,20.99,244522.38894973
2025-03-03 00:00:00+00:00,20.99,21.01,18.44,18.69,241864.14363755
2025-03-04 00:00:00+00:00,18.69,19.2,17.67,18.95,152646.75482474
2025-03-05 00:00:00+00:00,18.9,20.85,18.83,20.48,155562.19591978
2025-03-06 00:00:00+00:00,20.48,21.4,19.84,19.96,170500.68541345
2025-03-07 00:00:00+00:00,19.98,21.24,19.19,20.36,255453.20145328
2025-03-08 00:00:00+00:00,20.38,20.61,19.49,20.22,128996.66971909
2025-03-09 00:00:00+00:00,20.22,20.49,17.67,17.95,202851.62072258
2025-03-10 00:00:00+00:00,17.96,18.78,16.71,16.85,243325.24208434
2025-03-11 00:00:00+00:00,16.89,18.17,15.88,17.85,194642.51563452
2025-03-12 00:00:00+00:00,17.87,18.35,17.28,17.96,87219.2391847
2025-03-13 00:00:00+00:00,17.98,18.16,17.39,17.88,79292.47818276
2025-03-14 00:00:00+00:00,17.88,18.49,17.82,18.03,70252.82999652
2025-03-15 00:00:00+00:00,18.03,18.23,17.85,17.96,48026.2716077
