datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,0.694,0.732,0.68,0.727,343767.059
2025-01-02 00:00:00+00:00,0.728,0.758,0.728,0.742,266145.304
2025-01-03 00:00:00+00:00,0.743,0.796,0.732,0.79,217697.954
2025-01-04 00:00:00+00:00,0.79,0.808,0.782,0.793,222820.154
2025-01-05 00:00:00+00:00,0.793,0.81,0.779,0.806,243379.859
2025-01-06 00:00:00+00:00,0.805,0.85,0.794,0.838,450708.189
2025-01-07 00:00:00+00:00,0.837,0.837,0.747,0.75,639295.905
2025-01-08 00:00:00+00:00,0.75,0.762,0.691,0.727,385593.56
2025-01-09 00:00:00+00:00,0.726,0.757,0.711,0.727,513729.596
2025-01-10 00:00:00+00:00,0.728,0.757,0.709,0.75,374288.238
2025-01-11 00:00:00+00:00,0.75,0.761,0.73,0.745,232134.666
2025-01-12 00:00:00+00:00,0.747,0.756,0.714,0.726,221825.198
2025-01-13 00:00:00+00:00,0.724,0.743,0.654,0.701,780099.145
2025-01-14 00:00:00+00:00,0.702,0.736,0.693,0.731,310753.726
2025-01-15 00:00:00+00:00,0.733,0.784,0.714,0.781,346577.023
2025-01-16 00:00:00+00:00,0.782,0.784,0.751,0.759,337528.081
2025-01-17 00:00:00+00:00,0.761,0.816,0.761,0.809,442669.83
2025-01-18 00:00:00+00:00,0.81,0.813,0.733,0.747,873827.565
2025-01-19 00:00:00+00:00,0.746,0.767,0.674,0.685,1021007.438
2025-01-20 00:00:00+00:00,0.684,0.756,0.661,0.704,1167570.492
2025-01-21 00:00:00+00:00,0.703,0.735,0.674,0.72,427407.945
2025-01-22 00:00:00+00:00,0.721,0.725,0.688,0.69,224308.688
2025-01-23 00:00:00+00:00,0.69,0.708,0.668,0.69,518712.015
2025-01-24 00:00:00+00:00,0.692,0.709,0.666,0.673,357228.71
2025-01-25 00:00:00+00:00,0.672,0.69,0.666,0.683,113756.546
2025-01-26 00:00:00+00:00,0.682,0.696,0.662,0.662,267209.083
2025-01-27 00:00:00+00:00,0.661,0.666,0.603,0.643,730011.331
2025-01-28 00:00:00+00:00,0.64,0.65,0.599,0.605,587348.942
2025-01-29 00:00:00+00:00,0.604,0.64,0.6,0.618,471756.462
2025-01-30 00:00:00+00:00,0.62,0.655,0.615,0.644,309028.342
2025-01-31 00:00:00+00:00,0.644,0.672,0.63,0.648,146071.068
2025-02-01 00:00:00+00:00,0.648,0.659,0.594,0.6,226058.549
2025-02-02 00:00:00+00:00,0.602,0.611,0.49,0.519,853368.491
2025-02-03 00:00:00+00:00,0.517,0.539,0.396,0.534,1176666.928
2025-02-04 00:00:00+00:00,0.536,0.543,0.478,0.498,590225.057
2025-02-05 00:00:00+00:00,0.496,0.51,0.482,0.488,312961.505
2025-02-06 00:00:00+00:00,0.488,0.501,0.466,0.47,537702.164
2025-02-07 00:00:00+00:00,0.471,0.504,0.465,0.477,577751.795
2025-02-08 00:00:00+00:00,0.477,0.504,0.473,0.502,357235.632
2025-02-09 00:00:00+00:00,0.502,0.515,0.478,0.496,314439.651
2025-02-10 00:00:00+00:00,0.5,0.516,0.482,0.51,204460.046
2025-02-11 00:00:00+00:00,0.511,0.534,0.503,0.509,317945.484
2025-02-12 00:00:00+00:00,0.51,0.539,0.49,0.534,422183.717
2025-02-13 00:00:00+00:00,0.536,0.54,0.511,0.523,434762.09
2025-02-14 00:00:00+00:00,0.523,0.546,0.521,0.53,383068.985
2025-02-15 00:00:00+00:00,0.529,0.533,0.514,0.515,193539.512
2025-02-16 00:00:00+00:00,0.516,0.535,0.509,0.514,368959.806
2025-02-17 00:00:00+00:00,0.515,0.534,0.508,0.52,321510.477
2025-02-18 00:00:00+00:00,0.52,0.523,0.486,0.499,575257.013
2025-02-19 00:00:00+00:00,0.501,0.521,0.495,0.521,533150.499
2025-02-20 00:00:00+00:00,0.522,0.536,0.518,0.536,205078.352
2025-02-21 00:00:00+00:00,0.536,0.556,0.509,0.515,445886.977
2025-02-22 00:00:00+00:00,0.513,0.534,0.513,0.532,160357.017
2025-02-23 00:00:00+00:00,0.531,0.533,0.513,0.521,335743.259
2025-02-24 00:00:00+00:00,0.52,0.522,0.46,0.47,652311.449
2025-02-25 00:00:00+00:00,0.47,0.478,0.441,0.472,1332931.884
2025-02-26 00:00:00+00:00,0.469,0.48,0.454,0.469,404930.96
2025-02-27 00:00:00+00:00,0.468,0.495,0.465,0.483,337933.235
2025-02-28 00:00:00+00:00,0.484,0.484,0.441,0.482,834645.846
2025-03-01 00:00:00+00:00,0.48,0.486,0.461,0.471,216217.881
2025-03-02 00:00:00+00:00,0.473,0.527,0.468,0.521,341601.545
