datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,0.694,0.705,0.694,0.695,42543.229
2025-01-01 06:00:00+00:00,0.697,0.697,0.68,0.693,34324.648
2025-01-01 12:00:00+00:00,0.692,0.713,0.688,0.709,73979.661
2025-01-01 18:00:00+00:00,0.711,0.732,0.706,0.727,192919.521
2025-01-02 00:00:00+00:00,0.728,0.746,0.728,0.737,53736.287
2025-01-02 06:00:00+00:00,0.738,0.751,0.732,0.749,44833.286
2025-01-02 12:00:00+00:00,0.75,0.758,0.74,0.743,55701.97
2025-01-02 18:00:00+00:00,0.745,0.748,0.732,0.742,111873.761
2025-01-03 00:00:00+00:00,0.743,0.749,0.734,0.738,53830.709
2025-01-03 06:00:00+00:00,0.737,0.771,0.732,0.769,33461.696
2025-01-03 12:00:00+00:00,0.77,0.794,0.764,0.791,81542.662
2025-01-03 18:00:00+00:00,0.793,0.796,0.783,0.79,48862.887
2025-01-04 00:00:00+00:00,0.79,0.805,0.789,0.791,45483.268
2025-01-04 06:00:00+00:00,0.793,0.799,0.782,0.787,15440.859
2025-01-04 12:00:00+00:00,0.788,0.808,0.783,0.792,52016.084
2025-01-04 18:00:00+00:00,0.791,0.796,0.788,0.793,109879.943
2025-01-05 00:00:00+00:00,0.793,0.795,0.782,0.787,77351.776
2025-01-05 06:00:00+00:00,0.785,0.799,0.781,0.786,80033.48
2025-01-05 12:00:00+00:00,0.785,0.795,0.779,0.787,23140.236
2025-01-05 18:00:00+00:00,0.789,0.81,0.785,0.806,62854.367
2025-01-06 00:00:00+00:00,0.805,0.837,0.794,0.822,151623.445
2025-01-06 06:00:00+00:00,0.823,0.827,0.809,0.826,94023.437
2025-01-06 12:00:00+00:00,0.828,0.85,0.817,0.842,83244.613
2025-01-06 18:00:00+00:00,0.843,0.847,0.831,0.838,121816.694
2025-01-07 00:00:00+00:00,0.837,0.837,0.815,0.821,52919.427
2025-01-07 06:00:00+00:00,0.82,0.828,0.807,0.812,98992.88
2025-01-07 12:00:00+00:00,0.812,0.82,0.76,0.769,370611.933
2025-01-07 18:00:00+00:00,0.768,0.772,0.747,0.75,116771.665
2025-01-08 00:00:00+00:00,0.75,0.762,0.735,0.737,72170.576
2025-01-08 06:00:00+00:00,0.739,0.74,0.711,0.715,81523.033
2025-01-08 12:00:00+00:00,0.714,0.735,0.691,0.709,175034.113
2025-01-08 18:00:00+00:00,0.708,0.73,0.707,0.727,56865.838
2025-01-09 00:00:00+00:00,0.726,0.742,0.72,0.737,190859.907
2025-01-09 06:00:00+00:00,0.738,0.757,0.715,0.751,67019.454
2025-01-09 12:00:00+00:00,0.749,0.753,0.716,0.727,171419.875
2025-01-09 18:00:00+00:00,0.727,0.735,0.711,0.727,84430.36
2025-01-10 00:00:00+00:00,0.728,0.73,0.709,0.725,37886.498
2025-01-10 06:00:00+00:00,0.725,0.743,0.724,0.74,25474.738
2025-01-10 12:00:00+00:00,0.741,0.753,0.716,0.75,273399.511
2025-01-10 18:00:00+00:00,0.749,0.757,0.742,0.75,37527.491
2025-01-11 00:00:00+00:00,0.75,0.761,0.732,0.741,51887.912
2025-01-11 06:00:00+00:00,0.741,0.745,0.73,0.741,51988.048
2025-01-11 12:00:00+00:00,0.741,0.742,0.73,0.733,57964.618
2025-01-11 18:00:00+00:00,0.734,0.761,0.731,0.745,70294.088
2025-01-12 00:00:00+00:00,0.747,0.756,0.743,0.747,101785.495
2025-01-12 06:00:00+00:00,0.747,0.747,0.726,0.731,21819.98
2025-01-12 12:00:00+00:00,0.73,0.739,0.727,0.734,28330.794
2025-01-12 18:00:00+00:00,0.736,0.738,0.714,0.726,69888.929
2025-01-13 00:00:00+00:00,0.724,0.743,0.701,0.705,99368.902
2025-01-13 06:00:00+00:00,0.704,0.706,0.662,0.663,285175.524
2025-01-13 12:00:00+00:00,0.663,0.696,0.654,0.672,268088.954
2025-01-13 18:00:00+00:00,0.674,0.706,0.665,0.701,127465.765
2025-01-14 00:00:00+00:00,0.702,0.713,0.693,0.708,28020.783
2025-01-14 06:00:00+00:00,0.707,0.729,0.704,0.727,114654.631
2025-01-14 12:00:00+00:00,0.726,0.736,0.719,0.731,102834.288
2025-01-14 18:00:00+00:00,0.732,0.735,0.723,0.731,65244.024
2025-01-15 00:00:00+00:00,0.733,0.736,0.725,0.734,36295.043
2025-01-15 06:00:00+00:00,0.732,0.744,0.714,0.717,28274.914
2025-01-15 12:00:00+00:00,0.72,0.777,0.714,0.759,172492.125
2025-01-15 18:00:00+00:00,0.76,0.784,0.76,0.781,109514.941
2025-01-16 00:00:00+00:00,0.782,0.783,0.763,0.765,72884.814
2025-01-16 06:00:00+00:00,0.765,0.773,0.751,0.766,42034.131
2025-01-16 12:00:00+00:00,0.765,0.784,0.751,0.781,140525.993
2025-01-16 18:00:00+00:00,0.78,0.784,0.755,0.759,82083.143
2025-01-17 00:00:00+00:00,0.761,0.802,0.761,0.799,120018.795
2025-01-17 06:00:00+00:00,0.799,0.81,0.796,0.806,87180.137
2025-01-17 12:00:00+00:00,0.806,0.809,0.793,0.796,137498.652
2025-01-17 18:00:00+00:00,0.797,0.816,0.797,0.809,97972.246
2025-01-18 00:00:00+00:00,0.81,0.813,0.752,0.752,588769.917
2025-01-18 06:00:00+00:00,0.753,0.765,0.745,0.761,80745.89
2025-01-18 12:00:00+00:00,0.76,0.767,0.734,0.736,87938.519
2025-01-18 18:00:00+00:00,0.735,0.751,0.733,0.747,116373.239
2025-01-19 00:00:00+00:00,0.746,0.767,0.734,0.741,31358.013
2025-01-19 06:00:00+00:00,0.741,0.742,0.685,0.688,252832.657
2025-01-19 12:00:00+00:00,0.689,0.752,0.689,0.751,71514.747
2025-01-19 18:00:00+00:00,0.751,0.755,0.674,0.685,665302.021
2025-01-20 00:00:00+00:00,0.684,0.701,0.661,0.692,347703.326
2025-01-20 06:00:00+00:00,0.693,0.756,0.693,0.739,197660.373
2025-01-20 12:00:00+00:00,0.738,0.738,0.681,0.701,535344.035
2025-01-20 18:00:00+00:00,0.697,0.716,0.691,0.704,86862.758
2025-01-21 00:00:00+00:00,0.703,0.706,0.674,0.677,77622.208
2025-01-21 06:00:00+00:00,0.677,0.706,0.675,0.704,59079.81
2025-01-21 12:00:00+00:00,0.705,0.73,0.698,0.73,141029.492
2025-01-21 18:00:00+00:00,0.728,0.735,0.713,0.72,149676.435
2025-01-22 00:00:00+00:00,0.721,0.725,0.711,0.72,36984.161
2025-01-22 06:00:00+00:00,0.719,0.72,0.704,0.715,32287.433
2025-01-22 12:00:00+00:00,0.716,0.719,0.699,0.707,72454.976
2025-01-22 18:00:00+00:00,0.709,0.711,0.688,0.69,82582.118
2025-01-23 00:00:00+00:00,0.69,0.691,0.673,0.677,68510.007
2025-01-23 06:00:00+00:00,0.676,0.683,0.669,0.674,61343.804
2025-01-23 12:00:00+00:00,0.675,0.708,0.668,0.695,324582.063
2025-01-23 18:00:00+00:00,0.697,0.697,0.671,0.69,64276.141
2025-01-24 00:00:00+00:00,0.692,0.697,0.666,0.697,110592.979
2025-01-24 06:00:00+00:00,0.696,0.704,0.689,0.701,50163.416
2025-01-24 12:00:00+00:00,0.703,0.709,0.691,0.697,100544.628
2025-01-24 18:00:00+00:00,0.698,0.699,0.671,0.673,95927.687
2025-01-25 00:00:00+00:00,0.672,0.685,0.666,0.682,55188.8
2025-01-25 06:00:00+00:00,0.68,0.681,0.672,0.679,12239.478
2025-01-25 12:00:00+00:00,0.679,0.688,0.678,0.686,16606.46
2025-01-25 18:00:00+00:00,0.688,0.69,0.683,0.683,29721.808
2025-01-26 00:00:00+00:00,0.682,0.696,0.678,0.692,47493.872
2025-01-26 06:00:00+00:00,0.692,0.694,0.683,0.692,22226.297
2025-01-26 12:00:00+00:00,0.689,0.691,0.682,0.688,60983.889
2025-01-26 18:00:00+00:00,0.688,0.694,0.662,0.662,136505.025
2025-01-27 00:00:00+00:00,0.661,0.666,0.634,0.637,234846.567
2025-01-27 06:00:00+00:00,0.636,0.639,0.603,0.609,211324.892
2025-01-27 12:00:00+00:00,0.61,0.635,0.605,0.622,103532.544
2025-01-27 18:00:00+00:00,0.62,0.647,0.615,0.643,180307.328
2025-01-28 00:00:00+00:00,0.64,0.65,0.633,0.647,170604.067
2025-01-28 06:00:00+00:00,0.646,0.649,0.639,0.641,39063.882
2025-01-28 12:00:00+00:00,0.643,0.649,0.635,0.635,87050.04
2025-01-28 18:00:00+00:00,0.635,0.638,0.599,0.605,290630.953
2025-01-29 00:00:00+00:00,0.604,0.623,0.603,0.622,124512.021
2025-01-29 06:00:00+00:00,0.622,0.63,0.617,0.622,37397.178
2025-01-29 12:00:00+00:00,0.623,0.623,0.605,0.611,49691.537
2025-01-29 18:00:00+00:00,0.613,0.64,0.6,0.618,260155.726
2025-01-30 00:00:00+00:00,0.62,0.642,0.615,0.636,187961.992
2025-01-30 06:00:00+00:00,0.637,0.642,0.631,0.64,27988.407
2025-01-30 12:00:00+00:00,0.64,0.655,0.636,0.651,69996.419
2025-01-30 18:00:00+00:00,0.649,0.652,0.643,0.644,23081.524
2025-01-31 00:00:00+00:00,0.644,0.648,0.63,0.638,22109.053
2025-01-31 06:00:00+00:00,0.638,0.651,0.634,0.651,20008.543
2025-01-31 12:00:00+00:00,0.651,0.672,0.65,0.66,45829.571
2025-01-31 18:00:00+00:00,0.659,0.663,0.641,0.648,58123.901
2025-02-01 00:00:00+00:00,0.648,0.659,0.644,0.658,26060.508
2025-02-01 06:00:00+00:00,0.657,0.657,0.635,0.646,16611.786
2025-02-01 12:00:00+00:00,0.645,0.648,0.63,0.631,76587.5
2025-02-01 18:00:00+00:00,0.631,0.632,0.594,0.6,106798.755
2025-02-02 00:00:00+00:00,0.602,0.611,0.578,0.594,225109.221
2025-02-02 06:00:00+00:00,0.593,0.596,0.574,0.574,269557.575
2025-02-02 12:00:00+00:00,0.576,0.585,0.531,0.533,122378.105
2025-02-02 18:00:00+00:00,0.536,0.543,0.49,0.519,236323.59
2025-02-03 00:00:00+00:00,0.517,0.517,0.396,0.453,726351.046
2025-02-03 06:00:00+00:00,0.454,0.486,0.452,0.477,95971.735
2025-02-03 12:00:00+00:00,0.481,0.513,0.461,0.509,233118.961
2025-02-03 18:00:00+00:00,0.509,0.539,0.507,0.534,121225.186
2025-02-04 00:00:00+00:00,0.536,0.543,0.489,0.49,191837.156
2025-02-04 06:00:00+00:00,0.491,0.502,0.478,0.496,177579.648
2025-02-04 12:00:00+00:00,0.497,0.513,0.497,0.503,149207.65
2025-02-04 18:00:00+00:00,0.504,0.515,0.481,0.498,71600.603
2025-02-05 00:00:00+00:00,0.496,0.503,0.489,0.503,85407.587
2025-02-05 06:00:00+00:00,0.502,0.507,0.494,0.505,47985.142
2025-02-05 12:00:00+00:00,0.508,0.51,0.485,0.489,93697.083
2025-02-05 18:00:00+00:00,0.489,0.501,0.482,0.488,85871.693
2025-02-06 00:00:00+00:00,0.488,0.497,0.483,0.496,127907.057
2025-02-06 06:00:00+00:00,0.495,0.501,0.488,0.493,34117.768
2025-02-06 12:00:00+00:00,0.493,0.493,0.468,0.476,208238.156
