datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,5.872,5.959,5.872,5.941,6609.97
2025-01-01 00:30:00+00:00,5.941,6.047,5.926,6.043,6937.79
2025-01-01 01:00:00+00:00,6.044,6.049,6.011,6.016,7519.62
2025-01-01 01:30:00+00:00,6.017,6.06,6.003,6.029,11842.63
2025-01-01 02:00:00+00:00,6.029,6.071,6.014,6.03,5249.17
2025-01-01 02:30:00+00:00,6.028,6.1,6.026,6.068,6317.17
2025-01-01 03:00:00+00:00,6.069,6.069,5.945,5.945,14360.05
2025-01-01 03:30:00+00:00,5.947,6.024,5.947,6.01,5098.21
2025-01-01 04:00:00+00:00,6.011,6.028,5.954,5.998,6245.68
2025-01-01 04:30:00+00:00,5.999,6.024,5.961,5.996,6847.4
2025-01-01 05:00:00+00:00,5.994,6.074,5.984,6.062,5011.88
2025-01-01 05:30:00+00:00,6.058,6.123,6.055,6.094,6601.12
2025-01-01 06:00:00+00:00,6.094,6.15,6.085,6.118,8144.77
2025-01-01 06:30:00+00:00,6.115,6.124,6.037,6.037,1308.74
2025-01-01 07:00:00+00:00,6.035,6.051,6.032,6.044,82.46
2025-01-01 07:30:00+00:00,6.032,6.05,6.031,6.031,344.06
2025-01-01 08:00:00+00:00,6.032,6.04,6.03,6.04,4097.75
2025-01-01 08:30:00+00:00,6.035,6.055,5.991,6.042,3523.3
2025-01-01 09:00:00+00:00,6.034,6.04,5.931,5.944,1382.03
2025-01-01 09:30:00+00:00,5.954,6.001,5.936,6.001,938.58
2025-01-01 10:00:00+00:00,6.002,6.07,5.983,6.029,1697.33
2025-01-01 10:30:00+00:00,6.036,6.066,5.98,5.985,1127.09
2025-01-01 11:00:00+00:00,5.985,6.122,5.985,6.111,8287.87
2025-01-01 11:30:00+00:00,6.115,6.172,6.112,6.136,1958.32
2025-01-01 12:00:00+00:00,6.133,6.172,6.081,6.152,2894.45
2025-01-01 12:30:00+00:00,6.14,6.14,6.075,6.096,1805.16
2025-01-01 13:00:00+00:00,6.098,6.144,6.032,6.045,2976.39
2025-01-01 13:30:00+00:00,6.052,6.145,6.037,6.136,2071.39
2025-01-01 14:00:00+00:00,6.132,6.172,6.107,6.107,1863.41
2025-01-01 14:30:00+00:00,6.105,6.196,6.101,6.183,1218.26
2025-01-01 15:00:00+00:00,6.18,6.2,6.152,6.186,906.23
2025-01-01 15:30:00+00:00,6.181,6.27,6.178,6.257,4619.24
2025-01-01 16:00:00+00:00,6.268,6.269,6.178,6.184,3329.42
2025-01-01 16:30:00+00:00,6.179,6.186,6.132,6.152,1371.15
2025-01-01 17:00:00+00:00,6.15,6.16,6.098,6.147,3657.33
2025-01-01 17:30:00+00:00,6.136,6.174,6.116,6.136,1936.23
2025-01-01 18:00:00+00:00,6.144,6.15,6.111,6.124,850.83
2025-01-01 18:30:00+00:00,6.125,6.166,6.12,6.146,1985.37
2025-01-01 19:00:00+00:00,6.144,6.263,6.139,6.186,7719.95
2025-01-01 19:30:00+00:00,6.186,6.287,6.18,6.25,7848.97
2025-01-01 20:00:00+00:00,6.25,6.264,6.131,6.205,7303.53
2025-01-01 20:30:00+00:00,6.21,6.258,6.2,6.253,1280.77
2025-01-01 21:00:00+00:00,6.242,6.27,6.188,6.261,5957.52
2025-01-01 21:30:00+00:00,6.232,6.263,6.23,6.236,7235.23
2025-01-01 22:00:00+00:00,6.234,6.256,6.23,6.234,21996.41
2025-01-01 22:30:00+00:00,6.235,6.248,6.23,6.23,29284.42
2025-01-01 23:00:00+00:00,6.23,6.249,6.23,6.238,5943.43
2025-01-01 23:30:00+00:00,6.236,6.27,6.23,6.23,18832.55
2025-01-02 00:00:00+00:00,6.232,6.327,6.23,6.284,22666.46
2025-01-02 00:30:00+00:00,6.282,6.323,6.261,6.265,1385.56
2025-01-02 01:00:00+00:00,6.273,6.352,6.273,6.325,1809.0
2025-01-02 01:30:00+00:00,6.325,6.329,6.253,6.314,2072.25
2025-01-02 02:00:00+00:00,6.316,6.34,6.31,6.319,5355.29
2025-01-02 02:30:00+00:00,6.317,6.399,6.31,6.399,1573.81
2025-01-02 03:00:00+00:00,6.397,6.402,6.362,6.363,4256.0
2025-01-02 03:30:00+00:00,6.36,6.36,6.312,6.338,1584.56
2025-01-02 04:00:00+00:00,6.341,6.354,6.335,6.353,1549.14
2025-01-02 04:30:00+00:00,6.353,6.434,6.353,6.41,6309.0
2025-01-02 05:00:00+00:00,6.41,6.415,6.352,6.392,1778.71
2025-01-02 05:30:00+00:00,6.384,6.42,6.371,6.393,1206.08
2025-01-02 06:00:00+00:00,6.393,6.404,6.39,6.396,1659.97
2025-01-02 06:30:00+00:00,6.399,6.471,6.399,6.457,8187.36
2025-01-02 07:00:00+00:00,6.464,6.573,6.452,6.533,7695.53
2025-01-02 07:30:00+00:00,6.539,6.54,6.485,6.496,1715.54
2025-01-02 08:00:00+00:00,6.504,6.527,6.35,6.354,3396.55
2025-01-02 08:30:00+00:00,6.355,6.393,6.341,6.393,3653.53
2025-01-02 09:00:00+00:00,6.38,6.448,6.378,6.416,3050.12
2025-01-02 09:30:00+00:00,6.416,6.471,6.352,6.398,2179.21
2025-01-02 10:00:00+00:00,6.4,6.497,6.379,6.441,4427.05
2025-01-02 10:30:00+00:00,6.441,6.483,6.438,6.443,4134.01
