datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,0.5276,0.5506,0.5141,0.5486,182867.4
2025-01-02 00:00:00+00:00,0.5486,0.5718,0.5476,0.5621,270278.0
2025-01-03 00:00:00+00:00,0.5635,0.595,0.5516,0.5895,206630.7
2025-01-04 00:00:00+00:00,0.5927,0.6159,0.583,0.6059,648407.3
2025-01-05 00:00:00+00:00,0.6039,0.6388,0.5964,0.6243,592546.2
2025-01-06 00:00:00+00:00,0.6211,0.647,0.6105,0.6399,305106.7
2025-01-07 00:00:00+00:00,0.6373,0.6405,0.5723,0.5723,392924.3
2025-01-08 00:00:00+00:00,0.5717,0.587,0.5423,0.5838,609907.6
2025-01-09 00:00:00+00:00,0.582,0.6411,0.5809,0.6254,2464412.0
2025-01-10 00:00:00+00:00,0.6251,0.6506,0.5947,0.6187,1124630.5
2025-01-11 00:00:00+00:00,0.6185,0.639,0.5895,0.615,1016953.3
2025-01-12 00:00:00+00:00,0.6133,0.6636,0.6091,0.6328,1562879.5
2025-01-13 00:00:00+00:00,0.6336,0.6633,0.5322,0.5639,1565431.4
2025-01-14 00:00:00+00:00,0.5632,0.6521,0.5545,0.6273,3259524.1
2025-01-15 00:00:00+00:00,0.6268,0.6352,0.5907,0.6204,878539.5
2025-01-16 00:00:00+00:00,0.62,0.6259,0.5863,0.5992,591349.7
2025-01-17 00:00:00+00:00,0.5999,0.6252,0.5969,0.6203,346340.5
2025-01-18 00:00:00+00:00,0.6214,0.6253,0.5739,0.5922,715803.5
2025-01-19 00:00:00+00:00,0.5893,0.6083,0.5266,0.5381,1104127.1
2025-01-20 00:00:00+00:00,0.5374,0.5833,0.519,0.5404,1095813.0
2025-01-21 00:00:00+00:00,0.5401,0.5641,0.5165,0.5521,453724.5
2025-01-22 00:00:00+00:00,0.5547,0.5548,0.5359,0.538,195616.5
2025-01-23 00:00:00+00:00,0.5374,0.544,0.5181,0.5332,349368.0
2025-01-24 00:00:00+00:00,0.5344,0.5421,0.5139,0.5164,260117.2
2025-01-25 00:00:00+00:00,0.5137,0.5372,0.5121,0.5307,222185.6
2025-01-26 00:00:00+00:00,0.5314,0.5534,0.5278,0.5278,582230.5
2025-01-27 00:00:00+00:00,0.5268,0.5296,0.4814,0.5159,429960.5
2025-01-28 00:00:00+00:00,0.5206,0.5218,0.4785,0.4825,498225.5
2025-01-29 00:00:00+00:00,0.4805,0.5056,0.4779,0.4901,285746.8
2025-01-30 00:00:00+00:00,0.4886,0.5159,0.4867,0.5052,130317.3
2025-01-31 00:00:00+00:00,0.5055,0.5455,0.5004,0.5057,345608.0
2025-02-01 00:00:00+00:00,0.5069,0.5193,0.4682,0.4732,463715.1
2025-02-02 00:00:00+00:00,0.4737,0.4801,0.41,0.4325,700754.2
2025-02-03 00:00:00+00:00,0.4286,0.4499,0.3251,0.443,1173852.5
2025-02-04 00:00:00+00:00,0.4445,0.4461,0.4029,0.4209,628451.1
2025-02-05 00:00:00+00:00,0.4171,0.425,0.4017,0.4095,243577.9
2025-02-06 00:00:00+00:00,0.4084,0.4158,0.3822,0.3848,391735.4
2025-02-07 00:00:00+00:00,0.3881,0.4123,0.38,0.3905,328405.8
2025-02-08 00:00:00+00:00,0.3902,0.4115,0.3898,0.4115,121723.6
2025-02-09 00:00:00+00:00,0.413,0.4307,0.4009,0.4183,196428.6
2025-02-10 00:00:00+00:00,0.4189,0.4245,0.4019,0.4197,297325.2
2025-02-11 00:00:00+00:00,0.4222,0.4397,0.4152,0.4196,315329.6
2025-02-12 00:00:00+00:00,0.4188,0.4416,0.3942,0.4406,752915.1
2025-02-13 00:00:00+00:00,0.4404,0.4426,0.4181,0.4285,228054.6
2025-02-14 00:00:00+00:00,0.4299,0.444,0.428,0.4364,316517.9
2025-02-15 00:00:00+00:00,0.4372,0.4403,0.4207,0.4258,170789.6
2025-02-16 00:00:00+00:00,0.4264,0.4377,0.4221,0.4327,327973.4
2025-02-17 00:00:00+00:00,0.4355,0.4487,0.4254,0.4266,510809.7
2025-02-18 00:00:00+00:00,0.4281,0.4281,0.4029,0.4157,209029.5
2025-02-19 00:00:00+00:00,0.4157,0.4237,0.4106,0.421,170259.2
2025-02-20 00:00:00+00:00,0.4224,0.44,0.4222,0.4367,559767.0
2025-02-21 00:00:00+00:00,0.4376,0.446,0.4091,0.4127,409172.3
2025-02-22 00:00:00+00:00,0.4106,0.4372,0.4106,0.4369,159031.6
2025-02-23 00:00:00+00:00,0.436,0.4414,0.4278,0.4335,121359.8
2025-02-24 00:00:00+00:00,0.4342,0.4346,0.3842,0.389,415854.5
2025-02-25 00:00:00+00:00,0.3894,0.3937,0.3625,0.391,660395.3
2025-02-26 00:00:00+00:00,0.3905,0.3977,0.3753,0.3864,405158.8
