datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,1.741,1.849,1.707,1.803,1392642.89
2025-01-02 00:00:00+00:00,1.804,1.948,1.8,1.881,1371599.19
2025-01-03 00:00:00+00:00,1.881,2.008,1.811,2.008,1460499.3
2025-01-04 00:00:00+00:00,2.009,2.095,1.972,2.06,1073809.19
2025-01-05 00:00:00+00:00,2.059,2.144,2.006,2.089,1122409.52
2025-01-06 00:00:00+00:00,2.09,2.118,2.002,2.019,1632656.85
2025-01-07 00:00:00+00:00,2.018,2.036,1.767,1.767,2146467.01
2025-01-08 00:00:00+00:00,1.768,1.798,1.577,1.651,2512750.33
2025-01-09 00:00:00+00:00,1.65,1.689,1.55,1.588,1692954.53
2025-01-10 00:00:00+00:00,1.589,1.701,1.567,1.624,1673698.4
2025-01-11 00:00:00+00:00,1.624,1.636,1.572,1.592,946773.39
2025-01-12 00:00:00+00:00,1.593,1.606,1.537,1.561,662873.11
2025-01-13 00:00:00+00:00,1.561,1.652,1.402,1.623,3336119.88
2025-01-14 00:00:00+00:00,1.625,1.888,1.611,1.846,4422767.47
2025-01-15 00:00:00+00:00,1.847,2.1,1.784,2.083,5144905.27
2025-01-16 00:00:00+00:00,2.082,2.134,1.938,1.966,6062363.26
2025-01-17 00:00:00+00:00,1.967,2.036,1.958,1.995,3374570.55
2025-01-18 00:00:00+00:00,1.994,2.025,1.717,1.769,4670788.64
2025-01-19 00:00:00+00:00,1.769,1.9,1.579,1.622,8220433.78
2025-01-20 00:00:00+00:00,1.619,1.971,1.555,1.82,10509464.42
2025-01-21 00:00:00+00:00,1.82,2.004,1.718,1.903,6092366.6
2025-01-22 00:00:00+00:00,1.902,2.039,1.825,1.854,4239895.38
2025-01-23 00:00:00+00:00,1.854,1.859,1.709,1.823,3721653.52
2025-01-24 00:00:00+00:00,1.823,2.116,1.79,2.003,6134539.84
2025-01-25 00:00:00+00:00,2.003,2.032,1.919,1.994,2313947.26
2025-01-26 00:00:00+00:00,1.993,2.227,1.98,2.085,8315866.95
2025-01-27 00:00:00+00:00,2.084,2.114,1.827,1.916,6537175.64
2025-01-28 00:00:00+00:00,1.917,1.975,1.751,1.778,3313832.73
2025-01-29 00:00:00+00:00,1.778,2.0,1.764,1.897,4455231.83
2025-01-30 00:00:00+00:00,1.898,2.186,1.858,2.098,5821080.6
2025-01-31 00:00:00+00:00,2.098,2.436,2.031,2.302,8785411.16
2025-02-01 00:00:00+00:00,2.301,2.348,2.035,2.037,5270678.63
2025-02-02 00:00:00+00:00,2.037,2.095,1.786,1.905,7663745.29
2025-02-03 00:00:00+00:00,1.906,1.942,1.5,1.862,16602480.76
2025-02-04 00:00:00+00:00,1.861,1.928,1.628,1.708,11664963.14
2025-02-05 00:00:00+00:00,1.709,1.857,1.663,1.692,7793111.93
2025-02-06 00:00:00+00:00,1.693,1.88,1.653,1.673,5431911.06
2025-02-07 00:00:00+00:00,1.672,1.8,1.513,1.563,6450255.15
2025-02-08 00:00:00+00:00,1.562,1.591,1.466,1.528,3456104.85
2025-02-09 00:00:00+00:00,1.529,1.6,1.416,1.5,2468644.4
2025-02-10 00:00:00+00:00,1.499,1.603,1.455,1.582,3100696.24
2025-02-11 00:00:00+00:00,1.583,1.696,1.551,1.586,2752499.98
2025-02-12 00:00:00+00:00,1.585,1.82,1.461,1.746,4879364.77
2025-02-13 00:00:00+00:00,1.747,1.845,1.638,1.684,5193514.58
2025-02-14 00:00:00+00:00,1.685,1.92,1.675,1.858,5211863.91
2025-02-15 00:00:00+00:00,1.859,1.898,1.784,1.811,1638517.87
2025-02-16 00:00:00+00:00,1.811,1.864,1.759,1.785,1478548.79
2025-02-17 00:00:00+00:00,1.784,1.958,1.78,1.867,3805700.33
2025-02-18 00:00:00+00:00,1.866,1.915,1.689,1.748,3286763.45
2025-02-19 00:00:00+00:00,1.749,1.802,1.694,1.718,1862251.59
2025-02-20 00:00:00+00:00,1.719,1.815,1.694,1.78,2675292.27
2025-02-21 00:00:00+00:00,1.78,1.875,1.564,1.605,4297304.02
2025-02-22 00:00:00+00:00,1.605,1.758,1.587,1.69,2435276.11
2025-02-23 00:00:00+00:00,1.69,1.732,1.653,1.698,1555712.9
2025-02-24 00:00:00+00:00,1.699,1.727,1.39,1.41,3799274.67
2025-02-25 00:00:00+00:00,1.409,1.45,1.283,1.408,3933647.58
2025-02-26 00:00:00+00:00,1.407,1.434,1.282,1.346,2002504.68
2025-02-27 00:00:00+00:00,1.348,1.412,1.303,1.35,1250343.84
2025-02-28 00:00:00+00:00,1.349,1.354,1.172,1.27,3687888.17
2025-03-01 00:00:00+00:00,1.269,1.281,1.186,1.249,1486891.98
2025-03-02 00:00:00+00:00,1.248,1.52,1.208,1.374,3397321.22
2025-03-03 00:00:00+00:00,1.376,1.377,1.096,1.099,4870420.63
2025-03-04 00:00:00+00:00,1.1,1.111,0.962,1.083,4964714.85
2025-03-05 00:00:00+00:00,1.081,1.186,1.078,1.177,1714992.38
2025-03-06 00:00:00+00:00,1.177,1.229,1.147,1.147,1457604.54
2025-03-07 00:00:00+00:00,1.149,1.174,1.062,1.068,2125593.01
2025-03-08 00:00:00+00:00,1.068,1.086,1.033,1.069,1909191.08
2025-03-09 00:00:00+00:00,1.069,1.075,0.982,0.99,2866627.95
2025-03-10 00:00:00+00:00,0.991,1.056,0.87,0.893,4210239.89
2025-03-11 00:00:00+00:00,0.894,0.976,0.81,0.924,8134644.48
2025-03-12 00:00:00+00:00,0.924,0.96,0.872,0.92,3747620.02
2025-03-13 00:00:00+00:00,0.92,0.928,0.861,0.9,1957500.34
2025-03-14 00:00:00+00:00,0.901,1.037,0.898,0.952,2727630.21
2025-03-15 00:00:00+00:00,0.952,0.978,0.942,0.962,583208.13
2025-03-16 00:00:00+00:00,0.963,0.963,0.903,0.923,866851.31
2025-03-17 00:00:00+00:00,0.923,0.997,0.921,0.962,1621373.31
2025-03-18 00:00:00+00:00,0.962,0.964,0.899,0.949,1036849.21
2025-03-19 00:00:00+00:00,0.95,1.064,0.941,1.039,3740956.72
2025-03-20 00:00:00+00:00,1.039,1.046,0.988,1.018,1273419.15
2025-03-21 00:00:00+00:00,1.018,1.029,0.975,0.992,664937.24
2025-03-22 00:00:00+00:00,0.992,1.039,0.991,1.014,872651.15
2025-03-23 00:00:00+00:00,1.016,1.056,1.012,1.039,641174.94
2025-03-24 00:00:00+00:00,1.04,1.089,1.016,1.074,1749267.14
2025-03-25 00:00:00+00:00,1.073,1.1,1.048,1.06,1130360.36
2025-03-26 00:00:00+00:00,1.06,1.088,1.004,1.023,1203589.75
2025-03-27 00:00:00+00:00,1.023,1.063,1.012,1.014,1236626.48
2025-03-28 00:00:00+00:00,1.014,1.029,0.906,0.928,1961137.54
2025-03-29 00:00:00+00:00,0.929,0.956,0.855,0.873,1921693.65
2025-03-30 00:00:00+00:00,0.872,0.884,0.843,0.858,917959.58
2025-03-31 00:00:00+00:00,0.858,0.881,0.839,0.874,3103867.94
2025-04-01 00:00:00+00:00,0.873,0.919,0.871,0.9,1491016.57
2025-04-02 00:00:00+00:00,0.899,0.906,0.805,0.81,2562765.52
2025-04-03 00:00:00+00:00,0.81,0.846,0.778,0.832,1636024.67
2025-04-04 00:00:00+00:00,0.833,0.859,0.803,0.837,2617781.49
2025-04-05 00:00:00+00:00,0.838,0.847,0.816,0.825,638530.13
