datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,1.741,1.764,1.726,1.748,451162.87
2025-01-01 06:00:00+00:00,1.749,1.754,1.707,1.729,221921.99
2025-01-01 12:00:00+00:00,1.728,1.77,1.719,1.767,231857.93
2025-01-01 18:00:00+00:00,1.768,1.849,1.75,1.803,487700.1
2025-01-02 00:00:00+00:00,1.804,1.848,1.8,1.832,230907.82
2025-01-02 06:00:00+00:00,1.833,1.893,1.813,1.858,401753.64
2025-01-02 12:00:00+00:00,1.859,1.948,1.859,1.904,555940.89
2025-01-02 18:00:00+00:00,1.903,1.917,1.856,1.881,182996.84
2025-01-03 00:00:00+00:00,1.881,1.887,1.828,1.835,469128.42
2025-01-03 06:00:00+00:00,1.835,1.918,1.811,1.914,223201.93
2025-01-03 12:00:00+00:00,1.913,1.978,1.888,1.95,403760.91
2025-01-03 18:00:00+00:00,1.951,2.008,1.951,2.008,364408.04
2025-01-04 00:00:00+00:00,2.009,2.05,1.973,1.991,386449.09
2025-01-04 06:00:00+00:00,1.992,2.041,1.972,2.039,159423.36
2025-01-04 12:00:00+00:00,2.037,2.095,2.01,2.028,406524.21
2025-01-04 18:00:00+00:00,2.027,2.074,2.02,2.06,121412.53
2025-01-05 00:00:00+00:00,2.059,2.063,2.014,2.034,255566.34
2025-01-05 06:00:00+00:00,2.033,2.056,2.006,2.039,176098.9
2025-01-05 12:00:00+00:00,2.041,2.088,2.013,2.058,168147.53
2025-01-05 18:00:00+00:00,2.06,2.144,2.05,2.089,522596.75
2025-01-06 00:00:00+00:00,2.09,2.118,2.051,2.083,599605.39
2025-01-06 06:00:00+00:00,2.084,2.087,2.03,2.057,213112.31
2025-01-06 12:00:00+00:00,2.054,2.108,2.015,2.034,460884.91
2025-01-06 18:00:00+00:00,2.034,2.057,2.002,2.019,359054.24
2025-01-07 00:00:00+00:00,2.018,2.036,1.978,1.991,243244.49
2025-01-07 06:00:00+00:00,1.991,2.021,1.972,1.989,209624.64
2025-01-07 12:00:00+00:00,1.987,2.009,1.851,1.864,775606.88
2025-01-07 18:00:00+00:00,1.865,1.872,1.767,1.767,917991.0
2025-01-08 00:00:00+00:00,1.768,1.798,1.726,1.729,497315.35
2025-01-08 06:00:00+00:00,1.733,1.755,1.695,1.724,396134.6
2025-01-08 12:00:00+00:00,1.723,1.73,1.577,1.635,978216.55
2025-01-08 18:00:00+00:00,1.633,1.668,1.619,1.651,641083.83
2025-01-09 00:00:00+00:00,1.65,1.689,1.644,1.663,167994.99
2025-01-09 06:00:00+00:00,1.662,1.674,1.615,1.659,291923.23
2025-01-09 12:00:00+00:00,1.657,1.681,1.576,1.606,664975.97
2025-01-09 18:00:00+00:00,1.606,1.624,1.55,1.588,568060.34
2025-01-10 00:00:00+00:00,1.589,1.672,1.589,1.658,787042.0
2025-01-10 06:00:00+00:00,1.66,1.701,1.645,1.664,283683.91
2025-01-10 12:00:00+00:00,1.664,1.669,1.567,1.651,470667.0
2025-01-10 18:00:00+00:00,1.65,1.656,1.611,1.624,132305.49
2025-01-11 00:00:00+00:00,1.624,1.632,1.585,1.603,321353.55
2025-01-11 06:00:00+00:00,1.602,1.625,1.582,1.619,233414.05
2025-01-11 12:00:00+00:00,1.619,1.621,1.581,1.585,127918.94
2025-01-11 18:00:00+00:00,1.587,1.636,1.572,1.592,264086.85
2025-01-12 00:00:00+00:00,1.593,1.603,1.574,1.585,124317.73
2025-01-12 06:00:00+00:00,1.586,1.587,1.558,1.58,153964.28
2025-01-12 12:00:00+00:00,1.579,1.606,1.568,1.592,89670.13
2025-01-12 18:00:00+00:00,1.591,1.6,1.537,1.561,294920.97
2025-01-13 00:00:00+00:00,1.561,1.609,1.511,1.523,310281.2
2025-01-13 06:00:00+00:00,1.523,1.534,1.415,1.417,733563.68
2025-01-13 12:00:00+00:00,1.417,1.54,1.402,1.525,1140028.56
2025-01-13 18:00:00+00:00,1.525,1.652,1.494,1.623,1152246.44
2025-01-14 00:00:00+00:00,1.625,1.666,1.611,1.637,842804.54
2025-01-14 06:00:00+00:00,1.638,1.686,1.626,1.646,799030.69
2025-01-14 12:00:00+00:00,1.647,1.775,1.623,1.774,1473425.12
2025-01-14 18:00:00+00:00,1.773,1.888,1.754,1.846,1307507.12
2025-01-15 00:00:00+00:00,1.847,1.856,1.794,1.813,751907.88
2025-01-15 06:00:00+00:00,1.813,1.836,1.784,1.804,664154.04
2025-01-15 12:00:00+00:00,1.803,2.013,1.785,1.978,2743045.21
2025-01-15 18:00:00+00:00,1.978,2.1,1.978,2.083,985798.14
2025-01-16 00:00:00+00:00,2.082,2.134,2.007,2.021,1751233.9
2025-01-16 06:00:00+00:00,2.02,2.086,1.992,2.077,1065823.52
2025-01-16 12:00:00+00:00,2.076,2.077,1.953,1.995,2535757.76
2025-01-16 18:00:00+00:00,1.995,2.006,1.938,1.966,709548.08
2025-01-17 00:00:00+00:00,1.967,2.032,1.967,2.002,724218.98
2025-01-17 06:00:00+00:00,2.001,2.036,2.0,2.024,778296.34
2025-01-17 12:00:00+00:00,2.025,2.032,1.97,1.975,983457.07
2025-01-17 18:00:00+00:00,1.974,2.031,1.958,1.995,888598.16
2025-01-18 00:00:00+00:00,1.994,2.025,1.816,1.819,1432012.44
2025-01-18 06:00:00+00:00,1.818,1.86,1.767,1.828,860995.8
2025-01-18 12:00:00+00:00,1.827,1.843,1.747,1.747,1477955.11
2025-01-18 18:00:00+00:00,1.749,1.778,1.717,1.769,899825.29
2025-01-19 00:00:00+00:00,1.769,1.831,1.738,1.759,614844.54
2025-01-19 06:00:00+00:00,1.758,1.759,1.583,1.597,1637533.31
2025-01-19 12:00:00+00:00,1.597,1.9,1.593,1.788,3233003.41
2025-01-19 18:00:00+00:00,1.789,1.79,1.579,1.622,2735052.52
2025-01-20 00:00:00+00:00,1.619,1.755,1.555,1.709,1614593.47
2025-01-20 06:00:00+00:00,1.709,1.932,1.706,1.867,3062257.51
2025-01-20 12:00:00+00:00,1.866,1.869,1.668,1.726,2233925.5
2025-01-20 18:00:00+00:00,1.728,1.971,1.724,1.82,3598687.94
2025-01-21 00:00:00+00:00,1.82,1.845,1.718,1.739,2479836.85
2025-01-21 06:00:00+00:00,1.74,1.902,1.729,1.891,855013.77
2025-01-21 12:00:00+00:00,1.891,1.96,1.846,1.947,1073120.91
2025-01-21 18:00:00+00:00,1.948,2.004,1.895,1.903,1684395.07
2025-01-22 00:00:00+00:00,1.902,1.928,1.887,1.894,582293.21
2025-01-22 06:00:00+00:00,1.894,1.961,1.866,1.957,413760.19
2025-01-22 12:00:00+00:00,1.958,2.039,1.865,1.949,2319098.47
2025-01-22 18:00:00+00:00,1.949,1.955,1.825,1.854,924743.51
2025-01-23 00:00:00+00:00,1.854,1.859,1.789,1.804,1035600.06
2025-01-23 06:00:00+00:00,1.804,1.814,1.742,1.753,459025.48
2025-01-23 12:00:00+00:00,1.753,1.818,1.718,1.774,1020447.86
2025-01-23 18:00:00+00:00,1.774,1.841,1.709,1.823,1206580.12
2025-01-24 00:00:00+00:00,1.823,1.997,1.79,1.997,1146073.49
2025-01-24 06:00:00+00:00,1.998,2.098,1.985,2.084,2726719.64
2025-01-24 12:00:00+00:00,2.085,2.116,2.04,2.062,1235637.18
2025-01-24 18:00:00+00:00,2.062,2.073,1.968,2.003,1026109.53
2025-01-25 00:00:00+00:00,2.003,2.032,1.966,1.99,797763.35
2025-01-25 06:00:00+00:00,1.989,2.009,1.928,1.939,442976.65
2025-01-25 12:00:00+00:00,1.939,2.02,1.919,1.998,605568.19
2025-01-25 18:00:00+00:00,1.997,2.013,1.964,1.994,467639.07
2025-01-26 00:00:00+00:00,1.993,2.181,1.98,2.133,4161795.44
2025-01-26 06:00:00+00:00,2.131,2.195,2.113,2.155,881090.45
2025-01-26 12:00:00+00:00,2.154,2.206,2.111,2.163,1640579.24
2025-01-26 18:00:00+00:00,2.163,2.227,2.077,2.085,1632401.82
2025-01-27 00:00:00+00:00,2.084,2.114,1.92,1.938,1984848.22
2025-01-27 06:00:00+00:00,1.938,1.99,1.851,1.856,1672653.75
2025-01-27 12:00:00+00:00,1.856,1.95,1.843,1.879,1842890.39
2025-01-27 18:00:00+00:00,1.879,1.971,1.827,1.916,1036783.28
2025-01-28 00:00:00+00:00,1.917,1.975,1.878,1.932,979508.79
2025-01-28 06:00:00+00:00,1.932,1.933,1.858,1.913,410262.28
2025-01-28 12:00:00+00:00,1.913,1.955,1.869,1.92,770769.12
2025-01-28 18:00:00+00:00,1.919,1.93,1.751,1.778,1153292.54
2025-01-29 00:00:00+00:00,1.778,1.856,1.764,1.844,994574.75
2025-01-29 06:00:00+00:00,1.845,1.876,1.815,1.844,1285467.34
2025-01-29 12:00:00+00:00,1.845,1.863,1.791,1.844,523440.52
2025-01-29 18:00:00+00:00,1.844,2.0,1.795,1.897,1651749.22
2025-01-30 00:00:00+00:00,1.898,1.941,1.858,1.936,979970.61
2025-01-30 06:00:00+00:00,1.937,1.969,1.889,1.964,835627.46
2025-01-30 12:00:00+00:00,1.964,2.146,1.944,2.145,2198146.31
2025-01-30 18:00:00+00:00,2.143,2.186,2.069,2.098,1807336.22
2025-01-31 00:00:00+00:00,2.098,2.162,2.031,2.092,830263.29
2025-01-31 06:00:00+00:00,2.094,2.301,2.087,2.282,2091745.42
2025-01-31 12:00:00+00:00,2.286,2.436,2.284,2.428,3923759.84
2025-01-31 18:00:00+00:00,2.426,2.426,2.275,2.302,1939642.61
