datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,0.1937,0.2032,0.1883,0.2029,3553011.426154
2025-01-02 00:00:00+00:00,0.2031,0.2126,0.2023,0.2078,2576267.577854
2025-01-03 00:00:00+00:00,0.2081,0.2192,0.2037,0.2189,3343217.999268
2025-01-04 00:00:00+00:00,0.2194,0.2206,0.212,0.2149,1996918.381868
2025-01-05 00:00:00+00:00,0.2149,0.2179,0.2086,0.2162,1837912.379371
2025-01-06 00:00:00+00:00,0.2165,0.2248,0.2127,0.2174,3716448.028208
2025-01-07 00:00:00+00:00,0.2157,0.2178,0.1927,0.1928,5729106.615188
2025-01-08 00:00:00+00:00,0.1931,0.1954,0.1786,0.1874,4878896.411881
2025-01-09 00:00:00+00:00,0.1873,0.1909,0.1785,0.1836,4246735.21024
2025-01-10 00:00:00+00:00,0.184,0.1907,0.1813,0.1874,2529285.995198
2025-01-11 00:00:00+00:00,0.1877,0.1909,0.1826,0.1866,1400206.633874
2025-01-12 00:00:00+00:00,0.1868,0.1885,0.1799,0.183,1369860.473003
2025-01-13 00:00:00+00:00,0.1828,0.1873,0.1644,0.1772,3815251.397542
2025-01-14 00:00:00+00:00,0.1771,0.1844,0.1757,0.1831,2203098.103373
2025-01-15 00:00:00+00:00,0.1834,0.1925,0.1787,0.1923,4096583.993779
2025-01-16 00:00:00+00:00,0.1926,0.1998,0.1864,0.1952,4300277.901303
2025-01-17 00:00:00+00:00,0.1954,0.2136,0.1948,0.2124,5132650.081328
2025-01-18 00:00:00+00:00,0.2123,0.2152,0.193,0.1966,5488143.02374
2025-01-19 00:00:00+00:00,0.196,0.2022,0.1709,0.1737,7921377.685035
2025-01-20 00:00:00+00:00,0.1736,0.1869,0.1659,0.1713,9302187.569195
2025-01-21 00:00:00+00:00,0.1712,0.1825,0.1627,0.1794,7119945.464163
2025-01-22 00:00:00+00:00,0.1793,0.1839,0.1735,0.1741,3780895.670582
2025-01-23 00:00:00+00:00,0.1738,0.1763,0.1667,0.1713,6214512.384468
2025-01-24 00:00:00+00:00,0.1714,0.1759,0.165,0.1672,6103591.299889
2025-01-25 00:00:00+00:00,0.1673,0.1685,0.1636,0.1646,2409971.06148
2025-01-26 00:00:00+00:00,0.1645,0.1746,0.163,0.1634,5527777.977056
2025-01-27 00:00:00+00:00,0.1631,0.1648,0.1489,0.1626,7104197.356043
2025-01-28 00:00:00+00:00,0.1627,0.1681,0.1532,0.1545,3917391.394668
2025-01-29 00:00:00+00:00,0.1542,0.1664,0.1534,0.1614,3592289.276955
2025-01-30 00:00:00+00:00,0.1615,0.1717,0.1588,0.1667,1961754.119282
2025-01-31 00:00:00+00:00,0.1669,0.1758,0.1615,0.1644,5541496.358776
2025-02-01 00:00:00+00:00,0.1638,0.1693,0.1489,0.1504,5460946.295246
2025-02-02 00:00:00+00:00,0.1498,0.1533,0.1241,0.1324,10279661.602276
2025-02-03 00:00:00+00:00,0.1321,0.1387,0.1051,0.1365,17172059.939801
2025-02-04 00:00:00+00:00,0.1369,0.1399,0.1221,0.1279,11051053.770917
2025-02-05 00:00:00+00:00,0.1275,0.1398,0.1269,0.1292,6933829.377115
2025-02-06 00:00:00+00:00,0.1301,0.1344,0.1232,0.1247,4447134.688453
2025-02-07 00:00:00+00:00,0.1247,0.1328,0.1217,0.1261,10846319.199365
2025-02-08 00:00:00+00:00,0.1258,0.1309,0.1226,0.1296,3507228.948785
2025-02-09 00:00:00+00:00,0.1293,0.1329,0.1218,0.1277,3801173.591341
2025-02-10 00:00:00+00:00,0.1278,0.1294,0.1226,0.129,4725861.801551
2025-02-11 00:00:00+00:00,0.1293,0.1366,0.1249,0.1265,4692235.466305
2025-02-12 00:00:00+00:00,0.1262,0.1369,0.1215,0.1347,3630064.108014
2025-02-13 00:00:00+00:00,0.1347,0.1399,0.1264,0.1317,4218584.436761
2025-02-14 00:00:00+00:00,0.132,0.1615,0.131,0.1426,11492588.682986
2025-02-15 00:00:00+00:00,0.1426,0.1467,0.1337,0.1375,7427363.75847
2025-02-16 00:00:00+00:00,0.1373,0.1416,0.1317,0.1334,6524696.928278
2025-02-17 00:00:00+00:00,0.1333,0.1416,0.1307,0.1353,5831868.408507
2025-02-18 00:00:00+00:00,0.1353,0.1357,0.1236,0.1301,5483162.984665
2025-02-19 00:00:00+00:00,0.1299,0.1324,0.1289,0.1311,4015111.879007
2025-02-20 00:00:00+00:00,0.1307,0.134,0.1289,0.1333,4658964.103001
2025-02-21 00:00:00+00:00,0.1334,0.1444,0.1309,0.1335,6443320.650747
2025-02-22 00:00:00+00:00,0.1335,0.1431,0.1328,0.142,2323319.172461
2025-02-23 00:00:00+00:00,0.142,0.1422,0.1337,0.1359,4972993.166262
2025-02-24 00:00:00+00:00,0.1358,0.1366,0.1172,0.1194,6016604.883863
2025-02-25 00:00:00+00:00,0.1199,0.1206,0.1115,0.1192,9786731.027155
2025-02-26 00:00:00+00:00,0.119,0.1253,0.1167,0.1211,7498595.063379
2025-02-27 00:00:00+00:00,0.1211,0.1277,0.1197,0.1236,4791994.72311
2025-02-28 00:00:00+00:00,0.1233,0.1248,0.1127,0.1238,4991460.72293
2025-03-01 00:00:00+00:00,0.1236,0.1241,0.1181,0.1216,2329976.187983
2025-03-02 00:00:00+00:00,0.122,0.1328,0.1182,0.1323,3803844.465753
2025-03-03 00:00:00+00:00,0.1324,0.1328,0.1118,0.1133,6401009.533776
2025-03-04 00:00:00+00:00,0.1131,0.1139,0.1037,0.1114,6120277.546168
2025-03-05 00:00:00+00:00,0.1112,0.1211,0.1101,0.1146,4603240.386105
2025-03-06 00:00:00+00:00,0.1146,0.1176,0.1102,0.1125,3675147.967169
2025-03-07 00:00:00+00:00,0.1124,0.1149,0.107,0.1107,5939847.302426
2025-03-08 00:00:00+00:00,0.1108,0.1116,0.1069,0.1079,3216691.669369
2025-03-09 00:00:00+00:00,0.1077,0.1083,0.0985,0.1015,3893895.896642
2025-03-10 00:00:00+00:00,0.1015,0.1142,0.0998,0.1009,10442581.757544
2025-03-11 00:00:00+00:00,0.1011,0.108,0.0944,0.1053,5916497.303282
2025-03-12 00:00:00+00:00,0.1054,0.1076,0.1012,0.1049,13502264.465794
2025-03-13 00:00:00+00:00,0.1048,0.1053,0.1004,0.1035,3481081.769785
2025-03-14 00:00:00+00:00,0.1032,0.1076,0.103,0.1049,2079728.424925
2025-03-15 00:00:00+00:00,0.105,0.1083,0.1047,0.1074,5043450.495378
2025-03-16 00:00:00+00:00,0.1075,0.1079,0.1019,0.1029,2796270.590616
2025-03-17 00:00:00+00:00,0.1029,0.1083,0.1028,0.107,2903114.929741
2025-03-18 00:00:00+00:00,0.107,0.107,0.1019,0.1063,3381303.042344
2025-03-19 00:00:00+00:00,0.1065,0.1172,0.1063,0.1101,4166735.447021
2025-03-20 00:00:00+00:00,0.1101,0.1106,0.1052,0.1058,2204639.879925
2025-03-21 00:00:00+00:00,0.1059,0.1065,0.1036,0.1043,4311723.473019
2025-03-22 00:00:00+00:00,0.1043,0.1081,0.1039,0.1061,1966569.660307
2025-03-23 00:00:00+00:00,0.106,0.1075,0.1045,0.1055,972640.722998
2025-03-24 00:00:00+00:00,0.1051,0.1162,0.1046,0.111,19620217.282233
2025-03-25 00:00:00+00:00,0.1108,0.1137,0.1091,0.1132,2396872.293749
2025-03-26 00:00:00+00:00,0.113,0.1166,0.1088,0.1105,7095802.688413
2025-03-27 00:00:00+00:00,0.1104,0.1126,0.1081,0.1095,1687001.306639
2025-03-28 00:00:00+00:00,0.1093,0.1096,0.1006,0.1028,2921545.311006
2025-03-29 00:00:00+00:00,0.1027,0.103,0.095,0.0981,7432919.070367
2025-03-30 00:00:00+00:00,0.0981,0.1001,0.0965,0.0978,1525640.239062
2025-03-31 00:00:00+00:00,0.0979,0.0999,0.0957,0.0984,2013686.908318
2025-04-01 00:00:00+00:00,0.0981,0.1027,0.0981,0.0994,2961130.875911
2025-04-02 00:00:00+00:00,0.0993,0.1017,0.092,0.0931,4108399.179956
2025-04-03 00:00:00+00:00,0.093,0.0975,0.0906,0.0956,9675966.72629
2025-04-04 00:00:00+00:00,0.0956,0.0987,0.0933,0.0971,4290006.264791
2025-04-05 00:00:00+00:00,0.0971,0.0979,0.0937,0.0952,1424140.919202
2025-04-06 00:00:00+00:00,0.0951,0.0953,0.0805,0.0831,3976702.693883
2025-04-07 00:00:00+00:00,0.083,0.0873,0.076,0.0832,6509035.230414
2025-04-08 00:00:00+00:00,0.0832,0.0853,0.0773,0.0781,3038426.535988
2025-04-09 00:00:00+00:00,0.0781,0.0892,0.0757,0.088,4062710.921923
2025-04-10 00:00:00+00:00,0.0881,0.0886,0.0834,0.0868,2888801.25787
2025-04-11 00:00:00+00:00,0.0868,0.0896,0.086,0.0886,1647601.096796
2025-04-12 00:00:00+00:00,0.0884,0.0933,0.0874,0.0925,2580823.350583
2025-04-13 00:00:00+00:00,0.0926,0.0933,0.0883,0.0897,2267587.773033
2025-04-14 00:00:00+00:00,0.0896,0.0924,0.0878,0.088,3139824.366611
2025-04-15 00:00:00+00:00,0.0882,0.0899,0.0861,0.0863,1629603.363385
2025-04-16 00:00:00+00:00,0.0863,0.0881,0.0843,0.0861,2827163.099749
2025-04-17 00:00:00+00:00,0.0861,0.0892,0.0852,0.0886,945827.409164
2025-04-18 00:00:00+00:00,0.0889,0.0914,0.0884,0.09,1561863.324857
2025-04-19 00:00:00+00:00,0.0903,0.0984,0.0902,0.0932,2356424.54743
2025-04-20 00:00:00+00:00,0.0931,0.098,0.0922,0.0947,1950055.256201
2025-04-21 00:00:00+00:00,0.0945,0.1025,0.0927,0.095,5758635.36014
2025-04-22 00:00:00+00:00,0.0946,0.1023,0.093,0.1019,4175702.26761
2025-04-23 00:00:00+00:00,0.1018,0.1049,0.1013,0.103,3668645.756827
2025-04-24 00:00:00+00:00,0.103,0.1051,0.1,0.105,2757925.345743
2025-04-25 00:00:00+00:00,0.1049,0.1073,0.1033,0.1058,2367977.442874
2025-04-26 00:00:00+00:00,0.106,0.1097,0.1053,0.1072,2340250.191662
2025-04-27 00:00:00+00:00,0.1074,0.1083,0.1032,0.1033,1708657.276771
2025-04-28 00:00:00+00:00,0.1032,0.1082,0.1008,0.1069,2454511.800823
2025-04-29 00:00:00+00:00,0.1068,0.1076,0.1002,0.1014,4091663.814739
2025-04-30 00:00:00+00:00,0.1014,0.1031,0.0961,0.0993,3843009.854342
2025-05-01 00:00:00+00:00,0.0993,0.1043,0.0983,0.1036,2460701.997816
2025-05-02 00:00:00+00:00,0.1039,0.1092,0.1035,0.1058,6274228.052242
2025-05-03 00:00:00+00:00,0.1057,0.1057,0.0957,0.0967,2051973.151674
2025-05-04 00:00:00+00:00,0.0967,0.0977,0.0931,0.0936,2144132.091798
2025-05-05 00:00:00+00:00,0.0937,0.1282,0.0916,0.1095,56347963.513839
2025-05-06 00:00:00+00:00,0.1096,0.1229,0.0982,0.1012,43259792.411468
2025-05-07 00:00:00+00:00,0.1013,0.1038,0.0977,0.0995,11872348.59426
2025-05-08 00:00:00+00:00,0.0994,0.1121,0.099,0.1115,8996990.073197
2025-05-09 00:00:00+00:00,0.1116,0.1185,0.1102,0.1152,12527832.876636
2025-05-10 00:00:00+00:00,0.1152,0.1238,0.114,0.123,8110720.73789
2025-05-11 00:00:00+00:00,0.1228,0.1236,0.1176,0.1212,5839750.758316
2025-05-12 00:00:00+00:00,0.1213,0.1267,0.1131,0.119,8340049.197476
2025-05-13 00:00:00+00:00,0.1189,0.125,0.1117,0.1233,4739265.900182
2025-05-14 00:00:00+00:00,0.1233,0.1249,0.1157,0.1162,6709531.253913
2025-05-15 00:00:00+00:00,0.1162,0.1177,0.1093,0.1124,6646733.91932
2025-05-16 00:00:00+00:00,0.1123,0.115,0.1085,0.1094,5087763.689686
2025-05-17 00:00:00+00:00,0.1093,0.1098,0.1046,0.1065,3907255.433517
2025-05-18 00:00:00+00:00,0.1064,0.1144,0.1056,0.1124,4204679.391692
2025-05-19 00:00:00+00:00,0.1125,0.1132,0.1032,0.1084,3874627.216032
2025-05-20 00:00:00+00:00,0.1083,0.1115,0.1055,0.1102,4014046.086363
2025-05-21 00:00:00+00:00,0.1103,0.1137,0.1076,0.1111,4777627.628798
2025-05-22 00:00:00+00:00,0.1112,0.1167,0.1111,0.1159,5648270.132641
2025-05-23 00:00:00+00:00,0.1159,0.1183,0.1053,0.1058,6751258.181303
2025-05-24 00:00:00+00:00,0.1057,0.1078,0.1008,0.103,8039740.231348
2025-05-25 00:00:00+00:00,0.1029,0.1034,0.0969,0.102,7386966.800246
2025-05-26 00:00:00+00:00,0.102,0.104,0.0986,0.0992,7789108.088159
2025-05-27 00:00:00+00:00,0.0993,0.103,0.0968,0.1006,6276431.198173
2025-05-28 00:00:00+00:00,0.1006,0.1026,0.0944,0.0972,11525299.160845
2025-05-29 00:00:00+00:00,0.097,0.0994,0.0931,0.0935,8929454.96098
2025-05-30 00:00:00+00:00,0.0936,0.0939,0.0846,0.085,11258706.374275
2025-05-31 00:00:00+00:00,0.0852,0.0895,0.0826,0.0865,4976043.32775
2025-06-01 00:00:00+00:00,0.0866,0.0884,0.0848,0.0878,3383939.54844
2025-06-02 00:00:00+00:00,0.0878,0.0918,0.0853,0.0909,2788152.421003
2025-06-03 00:00:00+00:00,0.091,0.0924,0.0848,0.0874,7063466.417244
2025-06-04 00:00:00+00:00,0.0874,0.0973,0.0861,0.0892,15846181.702812
2025-06-05 00:00:00+00:00,0.0891,0.0947,0.0837,0.0844,14285188.411885
2025-06-06 00:00:00+00:00,0.0843,0.087,0.0807,0.081,11427013.705228
2025-06-07 00:00:00+00:00,0.0809,0.0847,0.0805,0.0844,5444850.536081
2025-06-08 00:00:00+00:00,0.0844,0.0868,0.0825,0.0832,4598768.167323
2025-06-09 00:00:00+00:00,0.0832,0.0875,0.0817,0.0874,6588068.105899
2025-06-10 00:00:00+00:00,0.0875,0.0927,0.0866,0.0901,9001989.117276
2025-06-11 00:00:00+00:00,0.0902,0.091,0.0849,0.0858,6944754.582312
2025-06-12 00:00:00+00:00,0.0857,0.0857,0.0796,0.0799,8333091.968441
2025-06-13 00:00:00+00:00,0.0798,0.0799,0.0747,0.0788,5993569.78349
2025-06-14 00:00:00+00:00,0.0788,0.0803,0.0775,0.0793,3264889.819718
2025-06-15 00:00:00+00:00,0.079,0.0803,0.0774,0.0793,3614546.862718
2025-06-16 00:00:00+00:00,0.0792,0.083,0.0786,0.0793,5264351.425912
2025-06-17 00:00:00+00:00,0.0794,0.0807,0.0765,0.0775,3342632.827616
2025-06-18 00:00:00+00:00,0.0774,0.0785,0.0749,0.078,2465343.190074
2025-06-19 00:00:00+00:00,0.0783,0.079,0.0762,0.0775,1597255.170205
2025-06-20 00:00:00+00:00,0.0775,0.0797,0.074,0.0752,3266496.26243
2025-06-21 00:00:00+00:00,0.0751,0.0761,0.0703,0.072,2635791.148186
