datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,103.07,103.82,103.04,103.69,2796.2762819
2025-01-01 00:15:00+00:00,103.68,103.9,103.58,103.88,6369.53420506
2025-01-01 00:30:00+00:00,103.87,104.44,103.87,104.3,4231.54883448
2025-01-01 00:45:00+00:00,104.29,104.91,104.25,104.84,3132.75674885
2025-01-01 01:00:00+00:00,104.83,104.99,104.63,104.96,2699.72713726
2025-01-01 01:15:00+00:00,104.95,104.95,104.5,104.53,1810.19348766
2025-01-01 01:30:00+00:00,104.53,105.24,104.53,105.04,3276.3415372
2025-01-01 01:45:00+00:00,105.01,105.71,104.67,104.77,8943.16242273
2025-01-01 02:00:00+00:00,104.77,105.06,104.28,104.37,1806.36995919
2025-01-01 02:15:00+00:00,104.37,104.41,104.02,104.39,2298.20054452
2025-01-01 02:30:00+00:00,104.41,104.68,104.16,104.66,999.36649185
2025-01-01 02:45:00+00:00,104.65,104.94,104.51,104.71,2494.78267545
2025-01-01 03:00:00+00:00,104.67,104.73,104.36,104.45,1926.3999943
2025-01-01 03:15:00+00:00,104.42,104.49,104.08,104.4,650.74924279
2025-01-01 03:30:00+00:00,104.36,104.57,104.1,104.23,737.09415347
2025-01-01 03:45:00+00:00,104.2,104.35,104.0,104.01,904.51624094
2025-01-01 04:00:00+00:00,104.0,104.12,103.81,103.85,2109.43717574
2025-01-01 04:15:00+00:00,103.83,104.02,103.58,103.78,1213.61793843
2025-01-01 04:30:00+00:00,103.8,103.92,103.54,103.87,871.78737305
2025-01-01 04:45:00+00:00,103.84,104.19,103.71,103.96,1773.70383401
2025-01-01 05:00:00+00:00,103.95,104.33,103.85,104.19,936.96942293
2025-01-01 05:15:00+00:00,104.19,104.61,104.04,104.6,802.11050923
2025-01-01 05:30:00+00:00,104.59,104.87,104.43,104.61,858.13208694
2025-01-01 05:45:00+00:00,104.56,105.16,104.54,105.03,4395.23291607
2025-01-01 06:00:00+00:00,105.04,105.04,104.55,104.66,1518.35070193
2025-01-01 06:15:00+00:00,104.7,105.08,104.63,105.03,1243.34945056
2025-01-01 06:30:00+00:00,105.01,105.01,104.51,104.75,552.52773333
2025-01-01 06:45:00+00:00,104.75,104.99,104.65,104.92,621.74561939
2025-01-01 07:00:00+00:00,104.92,104.92,104.34,104.46,710.73379843
2025-01-01 07:15:00+00:00,104.44,104.69,104.38,104.52,482.18632551
2025-01-01 07:30:00+00:00,104.49,104.6,104.11,104.27,947.5307457
2025-01-01 07:45:00+00:00,104.28,104.28,103.93,103.95,889.41726975
2025-01-01 08:00:00+00:00,103.96,104.11,103.7,103.77,800.43869761
2025-01-01 08:15:00+00:00,103.76,103.88,103.19,103.33,744.17783766
2025-01-01 08:30:00+00:00,103.25,103.38,103.04,103.06,495.38436154
2025-01-01 08:45:00+00:00,103.08,103.08,102.58,102.61,990.01324195
2025-01-01 09:00:00+00:00,102.62,103.19,102.62,102.75,405.81859511
2025-01-01 09:15:00+00:00,102.76,102.76,102.1,102.56,2403.65564257
2025-01-01 09:30:00+00:00,102.57,102.74,101.83,102.05,3009.55382168
2025-01-01 09:45:00+00:00,102.1,102.74,101.91,102.7,375.43339635
2025-01-01 10:00:00+00:00,102.7,102.94,102.54,102.65,913.62386983
2025-01-01 10:15:00+00:00,102.62,103.06,102.55,102.83,466.57673166
2025-01-01 10:30:00+00:00,102.82,103.16,102.66,102.74,408.67531645
2025-01-01 10:45:00+00:00,102.74,102.85,102.51,102.53,872.35391706
2025-01-01 11:00:00+00:00,102.54,102.63,102.12,102.39,808.67888616
2025-01-01 11:15:00+00:00,102.42,103.06,102.42,103.06,570.80586245
2025-01-01 11:30:00+00:00,103.06,103.85,103.02,103.85,768.60924315
2025-01-01 11:45:00+00:00,103.85,104.14,103.48,103.55,461.98714905
2025-01-01 12:00:00+00:00,103.56,103.93,103.36,103.42,448.84106587
2025-01-01 12:15:00+00:00,103.49,103.96,103.38,103.89,808.50420526
2025-01-01 12:30:00+00:00,103.85,104.32,103.78,104.15,1158.37601355
2025-01-01 12:45:00+00:00,104.13,104.67,103.8,104.67,909.04597502
2025-01-01 13:00:00+00:00,104.63,105.15,104.5,104.69,1821.56954635
2025-01-01 13:15:00+00:00,104.66,105.02,104.26,104.43,1194.88160055
2025-01-01 13:30:00+00:00,104.39,104.84,104.0,104.23,370.8517686
2025-01-01 13:45:00+00:00,104.26,104.33,103.84,104.11,645.13463831
2025-01-01 14:00:00+00:00,104.1,104.75,104.04,104.15,1716.80196007
2025-01-01 14:15:00+00:00,104.13,104.4,103.93,104.09,1861.30098883
2025-01-01 14:30:00+00:00,104.12,104.37,103.45,104.05,1624.79738339
2025-01-01 14:45:00+00:00,104.07,104.57,103.89,104.55,475.39420705
2025-01-01 15:00:00+00:00,104.55,104.65,103.46,103.66,2123.58867146
2025-01-01 15:15:00+00:00,103.63,104.02,103.54,103.9,864.38049341
2025-01-01 15:30:00+00:00,103.93,104.22,103.84,104.22,1135.19084925
