datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,0.4649,0.475,0.4649,0.4671,118323.54
2025-01-01 02:00:00+00:00,0.4677,0.4695,0.4649,0.4654,125012.45
2025-01-01 04:00:00+00:00,0.4654,0.4666,0.4616,0.4654,333423.67
2025-01-01 06:00:00+00:00,0.4653,0.4658,0.4629,0.4654,89244.19
2025-01-01 08:00:00+00:00,0.4647,0.4661,0.4556,0.4579,125446.31
2025-01-01 10:00:00+00:00,0.459,0.4693,0.459,0.4668,44779.8
2025-01-01 12:00:00+00:00,0.4665,0.479,0.4653,0.4739,119809.25
2025-01-01 14:00:00+00:00,0.476,0.486,0.471,0.4855,109483.68
2025-01-01 16:00:00+00:00,0.4861,0.49,0.4791,0.4892,307941.95
2025-01-01 18:00:00+00:00,0.4897,0.5003,0.4852,0.4979,372847.93
2025-01-01 20:00:00+00:00,0.4985,0.5025,0.4958,0.4977,173841.89
2025-01-01 22:00:00+00:00,0.4986,0.5006,0.4943,0.4959,300763.98
2025-01-02 00:00:00+00:00,0.4969,0.5111,0.4969,0.5021,296149.8
2025-01-02 02:00:00+00:00,0.5028,0.504,0.4999,0.5013,96764.98
2025-01-02 04:00:00+00:00,0.5021,0.5078,0.5,0.5009,147153.89
2025-01-02 06:00:00+00:00,0.5011,0.5029,0.4965,0.5026,87958.06
2025-01-02 08:00:00+00:00,0.5028,0.5105,0.5005,0.5088,143984.17
2025-01-02 10:00:00+00:00,0.5087,0.512,0.5064,0.5094,134608.89
2025-01-02 12:00:00+00:00,0.5106,0.5115,0.5062,0.5067,92444.05
2025-01-02 14:00:00+00:00,0.5076,0.516,0.5006,0.5032,200789.27
2025-01-02 16:00:00+00:00,0.5039,0.51,0.5015,0.5066,241109.39
2025-01-02 18:00:00+00:00,0.507,0.5093,0.5048,0.5048,98277.03
2025-01-02 20:00:00+00:00,0.5058,0.509,0.5022,0.504,71938.39
2025-01-02 22:00:00+00:00,0.5046,0.5095,0.5002,0.5076,181192.83
2025-01-03 00:00:00+00:00,0.507,0.508,0.501,0.5055,54014.8
2025-01-03 02:00:00+00:00,0.5048,0.5132,0.504,0.5111,153869.05
2025-01-03 04:00:00+00:00,0.509,0.5093,0.5053,0.5073,52525.85
2025-01-03 06:00:00+00:00,0.5075,0.5119,0.5025,0.5028,65537.37
2025-01-03 08:00:00+00:00,0.505,0.5237,0.5041,0.521,110294.04
2025-01-03 10:00:00+00:00,0.519,0.5439,0.517,0.5407,699353.08
2025-01-03 12:00:00+00:00,0.5404,0.5421,0.533,0.5349,325375.47
2025-01-03 14:00:00+00:00,0.5362,0.55,0.5351,0.5497,638823.66
2025-01-03 16:00:00+00:00,0.5502,0.5608,0.5491,0.5552,447888.24
2025-01-03 18:00:00+00:00,0.555,0.5567,0.5518,0.5533,112692.67
2025-01-03 20:00:00+00:00,0.5537,0.5605,0.5486,0.5585,126696.11
2025-01-03 22:00:00+00:00,0.5593,0.5593,0.5532,0.5554,116259.7
2025-01-04 00:00:00+00:00,0.5558,0.5661,0.5477,0.5553,461967.04
2025-01-04 02:00:00+00:00,0.5558,0.5637,0.5547,0.5561,183051.62
2025-01-04 04:00:00+00:00,0.5566,0.5568,0.5498,0.5523,335792.54
2025-01-04 06:00:00+00:00,0.5537,0.5595,0.5537,0.5546,274262.8
2025-01-04 08:00:00+00:00,0.5544,0.5547,0.5442,0.5453,194082.99
2025-01-04 10:00:00+00:00,0.544,0.5455,0.5413,0.5432,209962.02
2025-01-04 12:00:00+00:00,0.5433,0.5554,0.5431,0.5536,133560.69
2025-01-04 14:00:00+00:00,0.5538,0.5663,0.5439,0.5472,598486.91
2025-01-04 16:00:00+00:00,0.5475,0.552,0.5454,0.5512,212232.25
2025-01-04 18:00:00+00:00,0.5513,0.553,0.5483,0.5508,98223.52
2025-01-04 20:00:00+00:00,0.5527,0.555,0.5507,0.5516,162004.92
2025-01-04 22:00:00+00:00,0.5521,0.5521,0.5482,0.5498,479219.8
2025-01-05 00:00:00+00:00,0.5497,0.5521,0.5416,0.5436,155319.0
2025-01-05 02:00:00+00:00,0.5447,0.5466,0.5428,0.5448,69098.26
2025-01-05 04:00:00+00:00,0.5457,0.5498,0.545,0.5456,138170.38
2025-01-05 06:00:00+00:00,0.5443,0.551,0.5443,0.5492,54033.41
2025-01-05 08:00:00+00:00,0.5496,0.5537,0.5417,0.5428,138932.35
2025-01-05 10:00:00+00:00,0.5438,0.5446,0.5397,0.5417,111357.88
2025-01-05 12:00:00+00:00,0.5419,0.546,0.5387,0.5407,91357.38
2025-01-05 14:00:00+00:00,0.5415,0.5465,0.5338,0.5448,321843.5
2025-01-05 16:00:00+00:00,0.5441,0.5483,0.5393,0.5434,151530.86
