datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,4.902,5.323,4.87,5.273,1481637.23
2025-01-02 00:00:00+00:00,5.273,5.574,5.27,5.441,1383950.085
2025-01-03 00:00:00+00:00,5.442,5.828,5.387,5.815,1592601.965
2025-01-04 00:00:00+00:00,5.816,5.932,5.731,5.787,869993.576
2025-01-05 00:00:00+00:00,5.789,5.983,5.622,5.907,925735.553
2025-01-06 00:00:00+00:00,5.908,6.232,5.78,6.015,2017696.424
2025-01-07 00:00:00+00:00,6.017,6.029,5.344,5.363,1690138.828
2025-01-08 00:00:00+00:00,5.364,5.455,4.86,5.153,1569412.588
2025-01-09 00:00:00+00:00,5.153,5.218,4.834,4.976,2176999.15
2025-01-10 00:00:00+00:00,4.978,5.149,4.889,5.084,1609319.433
2025-01-11 00:00:00+00:00,5.083,5.166,4.986,5.082,512766.149
2025-01-12 00:00:00+00:00,5.085,5.122,4.908,4.969,433410.496
2025-01-13 00:00:00+00:00,4.969,5.093,4.41,4.751,2145362.436
2025-01-14 00:00:00+00:00,4.752,5.063,4.701,5.051,1136974.473
2025-01-15 00:00:00+00:00,5.052,5.344,4.859,5.316,1705820.616
2025-01-16 00:00:00+00:00,5.314,5.357,5.086,5.157,2087757.452
2025-01-17 00:00:00+00:00,5.16,5.798,5.16,5.756,1939886.804
2025-01-18 00:00:00+00:00,5.756,5.889,5.301,5.439,2452668.054
2025-01-19 00:00:00+00:00,5.44,5.649,4.876,4.976,3002656.819
2025-01-20 00:00:00+00:00,4.973,5.631,4.75,5.091,3392919.006
2025-01-21 00:00:00+00:00,5.094,5.346,4.876,5.251,1851743.846
2025-01-22 00:00:00+00:00,5.252,5.299,5.065,5.093,1592320.165
2025-01-23 00:00:00+00:00,5.093,5.127,4.859,4.98,2552438.592
2025-01-24 00:00:00+00:00,4.98,5.18,4.844,5.001,1815038.941
2025-01-25 00:00:00+00:00,5.0,5.024,4.864,4.926,1033071.428
2025-01-26 00:00:00+00:00,4.926,5.143,4.745,4.759,1242560.233
2025-01-27 00:00:00+00:00,4.755,4.771,4.36,4.637,2685523.24
2025-01-28 00:00:00+00:00,4.638,4.683,4.251,4.281,1413471.629
2025-01-29 00:00:00+00:00,4.281,4.581,4.263,4.417,1401071.531
2025-01-30 00:00:00+00:00,4.418,4.677,4.369,4.603,1307311.069
2025-01-31 00:00:00+00:00,4.605,4.847,4.533,4.619,1629259.108
2025-02-01 00:00:00+00:00,4.62,4.686,4.221,4.257,1182041.599
2025-02-02 00:00:00+00:00,4.257,4.343,3.511,3.749,3075768.114
2025-02-03 00:00:00+00:00,3.751,3.801,2.701,3.778,5308367.055
2025-02-04 00:00:00+00:00,3.777,3.802,3.275,3.395,2848517.988
2025-02-05 00:00:00+00:00,3.396,3.48,3.238,3.28,1825349.561
2025-02-06 00:00:00+00:00,3.279,3.384,3.117,3.144,2239696.558
2025-02-07 00:00:00+00:00,3.145,3.41,3.108,3.206,1972073.702
2025-02-08 00:00:00+00:00,3.206,3.323,3.159,3.285,1740497.768
2025-02-09 00:00:00+00:00,3.287,3.479,3.034,3.18,2005463.562
2025-02-10 00:00:00+00:00,3.179,3.311,3.066,3.208,1773579.774
2025-02-11 00:00:00+00:00,3.209,3.389,3.129,3.201,1576080.408
2025-02-12 00:00:00+00:00,3.2,3.47,3.098,3.431,2377345.192
2025-02-13 00:00:00+00:00,3.432,3.447,3.253,3.376,1636376.576
2025-02-14 00:00:00+00:00,3.377,3.632,3.34,3.551,1502509.705
2025-02-15 00:00:00+00:00,3.553,3.609,3.376,3.405,1087857.405
2025-02-16 00:00:00+00:00,3.405,3.553,3.36,3.417,1109641.105
2025-02-17 00:00:00+00:00,3.416,3.507,3.218,3.258,1649525.74
2025-02-18 00:00:00+00:00,3.258,3.313,3.025,3.138,1529132.635
2025-02-19 00:00:00+00:00,3.138,3.192,3.057,3.158,738167.87
2025-02-20 00:00:00+00:00,3.158,3.506,3.145,3.469,1795451.32
2025-02-21 00:00:00+00:00,3.469,3.634,3.216,3.308,2191053.926
2025-02-22 00:00:00+00:00,3.309,3.643,3.291,3.469,1593783.085
2025-02-23 00:00:00+00:00,3.469,3.499,3.348,3.434,1026613.821
2025-02-24 00:00:00+00:00,3.433,3.461,3.028,3.063,1846323.433
2025-02-25 00:00:00+00:00,3.064,3.093,2.755,3.005,2893419.077
2025-02-26 00:00:00+00:00,3.006,3.102,2.881,3.017,1494605.372
2025-02-27 00:00:00+00:00,3.019,3.175,2.997,3.055,1439406.959
2025-02-28 00:00:00+00:00,3.056,3.102,2.763,3.065,1974500.623
2025-03-01 00:00:00+00:00,3.068,3.322,3.048,3.27,1484341.039
2025-03-02 00:00:00+00:00,3.271,3.563,3.174,3.554,1908175.73
2025-03-03 00:00:00+00:00,3.554,3.564,2.913,2.97,2275783.744
2025-03-04 00:00:00+00:00,2.97,2.977,2.559,2.811,2890275.331
2025-03-05 00:00:00+00:00,2.811,3.048,2.776,2.99,2179756.322
2025-03-06 00:00:00+00:00,2.99,3.248,2.954,3.054,1873559.208
2025-03-07 00:00:00+00:00,3.056,3.098,2.883,2.939,2005532.89
2025-03-08 00:00:00+00:00,2.933,2.973,2.827,2.885,1411283.117
2025-03-09 00:00:00+00:00,2.885,2.9,2.495,2.552,1678401.402
2025-03-10 00:00:00+00:00,2.553,2.675,2.239,2.284,2510233.1
2025-03-11 00:00:00+00:00,2.285,2.563,2.138,2.448,2842562.548
2025-03-12 00:00:00+00:00,2.449,2.575,2.346,2.555,3211069.683
2025-03-13 00:00:00+00:00,2.556,2.657,2.478,2.571,2367111.583
2025-03-14 00:00:00+00:00,2.571,2.727,2.552,2.608,2387739.381
2025-03-15 00:00:00+00:00,2.609,2.695,2.602,2.642,1026110.534
2025-03-16 00:00:00+00:00,2.642,2.667,2.485,2.517,1563722.035
2025-03-17 00:00:00+00:00,2.516,2.684,2.507,2.638,1355429.859
2025-03-18 00:00:00+00:00,2.638,2.654,2.501,2.585,960680.119
2025-03-19 00:00:00+00:00,2.586,2.823,2.56,2.792,1645118.857
2025-03-20 00:00:00+00:00,2.792,2.813,2.675,2.739,758853.155
2025-03-21 00:00:00+00:00,2.739,2.781,2.683,2.714,874915.069
2025-03-22 00:00:00+00:00,2.713,2.795,2.711,2.731,919254.481
