datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,4.902,4.998,4.892,4.973,606526.805
2025-01-01 06:00:00+00:00,4.975,5.002,4.87,4.98,255564.072
2025-01-01 12:00:00+00:00,4.979,5.117,4.976,5.099,252757.137
2025-01-01 18:00:00+00:00,5.098,5.323,5.077,5.273,366789.216
2025-01-02 00:00:00+00:00,5.273,5.423,5.27,5.372,334217.194
2025-01-02 06:00:00+00:00,5.374,5.57,5.33,5.506,468289.644
2025-01-02 12:00:00+00:00,5.508,5.539,5.38,5.415,174979.606
2025-01-02 18:00:00+00:00,5.418,5.574,5.377,5.441,406463.641
2025-01-03 00:00:00+00:00,5.442,5.496,5.387,5.48,249632.615
2025-01-03 06:00:00+00:00,5.48,5.682,5.428,5.679,480737.182
2025-01-03 12:00:00+00:00,5.679,5.828,5.637,5.742,635413.789
2025-01-03 18:00:00+00:00,5.744,5.815,5.711,5.815,226818.379
2025-01-04 00:00:00+00:00,5.816,5.852,5.731,5.801,322856.548
2025-01-04 06:00:00+00:00,5.799,5.868,5.735,5.769,129626.393
2025-01-04 12:00:00+00:00,5.771,5.932,5.732,5.802,251990.961
2025-01-04 18:00:00+00:00,5.803,5.894,5.779,5.787,165519.674
2025-01-05 00:00:00+00:00,5.789,5.85,5.742,5.786,138987.825
2025-01-05 06:00:00+00:00,5.785,5.827,5.656,5.703,156093.876
2025-01-05 12:00:00+00:00,5.701,5.833,5.622,5.776,280130.08
2025-01-05 18:00:00+00:00,5.776,5.983,5.72,5.907,350523.772
2025-01-06 00:00:00+00:00,5.908,5.982,5.78,5.915,327601.805
2025-01-06 06:00:00+00:00,5.916,5.941,5.821,5.929,301580.634
2025-01-06 12:00:00+00:00,5.928,6.232,5.856,6.026,768620.822
2025-01-06 18:00:00+00:00,6.027,6.2,5.934,6.015,619893.163
2025-01-07 00:00:00+00:00,6.017,6.029,5.905,5.965,268210.307
2025-01-07 06:00:00+00:00,5.967,6.017,5.821,5.855,203155.033
2025-01-07 12:00:00+00:00,5.856,5.929,5.46,5.502,794228.871
2025-01-07 18:00:00+00:00,5.501,5.542,5.344,5.363,424544.617
2025-01-08 00:00:00+00:00,5.364,5.455,5.192,5.207,394137.042
2025-01-08 06:00:00+00:00,5.206,5.25,5.068,5.153,363692.332
2025-01-08 12:00:00+00:00,5.154,5.204,4.86,5.047,531224.15
2025-01-08 18:00:00+00:00,5.043,5.184,5.02,5.153,280359.064
2025-01-09 00:00:00+00:00,5.153,5.218,5.063,5.089,305418.497
2025-01-09 06:00:00+00:00,5.09,5.106,4.94,4.987,831004.244
2025-01-09 12:00:00+00:00,4.988,5.133,4.834,4.979,745287.983
2025-01-09 18:00:00+00:00,4.981,5.03,4.861,4.976,295288.426
2025-01-10 00:00:00+00:00,4.978,5.091,4.976,5.056,177871.663
2025-01-10 06:00:00+00:00,5.057,5.149,5.042,5.104,742905.508
