datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,0.5484,0.557,0.5484,0.5493,32911.3
2025-01-01 02:00:00+00:00,0.5506,0.5529,0.5468,0.549,212492.1
2025-01-01 04:00:00+00:00,0.5491,0.5495,0.5436,0.544,86941.5
2025-01-01 06:00:00+00:00,0.545,0.5469,0.5416,0.5434,52375.5
2025-01-01 08:00:00+00:00,0.5428,0.5443,0.533,0.5377,26911.0
2025-01-01 10:00:00+00:00,0.5359,0.5413,0.5359,0.5393,2864.2
2025-01-01 12:00:00+00:00,0.5406,0.5448,0.535,0.54,124418.4
2025-01-01 14:00:00+00:00,0.541,0.5503,0.5392,0.5503,34268.1
2025-01-01 16:00:00+00:00,0.5488,0.551,0.5411,0.549,45311.9
2025-01-01 18:00:00+00:00,0.55,0.5662,0.5471,0.564,55581.2
2025-01-01 20:00:00+00:00,0.5649,0.5704,0.5613,0.5688,28902.3
2025-01-01 22:00:00+00:00,0.5695,0.5719,0.5645,0.5672,86236.9
2025-01-02 00:00:00+00:00,0.5684,0.582,0.5671,0.5788,12586.2
2025-01-02 02:00:00+00:00,0.5772,0.5888,0.5763,0.5864,69037.2
2025-01-02 04:00:00+00:00,0.5868,0.5962,0.586,0.5925,69401.7
2025-01-02 06:00:00+00:00,0.5914,0.6059,0.588,0.6059,55254.5
2025-01-02 08:00:00+00:00,0.606,0.6156,0.5975,0.612,53851.2
2025-01-02 10:00:00+00:00,0.6109,0.6143,0.6065,0.6071,25465.7
2025-01-02 12:00:00+00:00,0.61,0.6123,0.6035,0.6043,12989.9
2025-01-02 14:00:00+00:00,0.603,0.6101,0.5979,0.6021,19044.2
2025-01-02 16:00:00+00:00,0.603,0.6102,0.5986,0.6015,35515.8
2025-01-02 18:00:00+00:00,0.601,0.606,0.5982,0.6031,31992.7
2025-01-02 20:00:00+00:00,0.6034,0.609,0.5972,0.5992,38437.9
2025-01-02 22:00:00+00:00,0.5984,0.6,0.5914,0.5956,13219.9
2025-01-03 00:00:00+00:00,0.599,0.6033,0.5942,0.5993,22900.9
2025-01-03 02:00:00+00:00,0.5993,0.6105,0.5993,0.6105,94102.7
2025-01-03 04:00:00+00:00,0.6085,0.609,0.5977,0.5978,24106.5
2025-01-03 06:00:00+00:00,0.6005,0.613,0.6004,0.6017,67598.8
2025-01-03 08:00:00+00:00,0.6023,0.6182,0.602,0.614,14438.0
2025-01-03 10:00:00+00:00,0.614,0.635,0.6111,0.6336,102104.2
2025-01-03 12:00:00+00:00,0.6359,0.6377,0.624,0.6282,169360.2
2025-01-03 14:00:00+00:00,0.6281,0.6534,0.6281,0.6487,90795.5
2025-01-03 16:00:00+00:00,0.6504,0.6534,0.6421,0.6453,90790.7
2025-01-03 18:00:00+00:00,0.646,0.6489,0.6431,0.6449,42890.8
2025-01-03 20:00:00+00:00,0.643,0.646,0.6371,0.6417,49356.8
2025-01-03 22:00:00+00:00,0.6418,0.6496,0.6406,0.6462,44810.1
2025-01-04 00:00:00+00:00,0.649,0.6509,0.638,0.6434,60656.7
2025-01-04 02:00:00+00:00,0.6423,0.6472,0.6328,0.642,42533.6
2025-01-04 04:00:00+00:00,0.6434,0.645,0.6384,0.6422,34619.6
2025-01-04 06:00:00+00:00,0.6408,0.6468,0.6392,0.6449,33707.3
2025-01-04 08:00:00+00:00,0.6452,0.6469,0.6351,0.6395,25161.6
2025-01-04 10:00:00+00:00,0.638,0.6416,0.6345,0.6406,14398.9
2025-01-04 12:00:00+00:00,0.641,0.652,0.64,0.6477,23864.6
