datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,11.31,11.64,10.9,11.6,7192.779
2025-01-02 00:00:00+00:00,11.58,12.24,11.58,11.96,8451.592
2025-01-03 00:00:00+00:00,11.93,12.39,10.5,12.36,19097.744
2025-01-04 00:00:00+00:00,12.36,12.6,12.18,12.48,5287.287
2025-01-05 00:00:00+00:00,12.41,12.45,12.09,12.45,5569.659
2025-01-06 00:00:00+00:00,12.4,12.89,12.17,12.33,6169.359
2025-01-07 00:00:00+00:00,12.31,12.38,11.07,11.1,5500.79
2025-01-08 00:00:00+00:00,11.07,11.14,10.16,10.8,11499.475
2025-01-09 00:00:00+00:00,10.83,11.05,10.09,10.35,14830.727
2025-01-10 00:00:00+00:00,10.45,10.83,10.26,10.56,8564.627
2025-01-11 00:00:00+00:00,10.58,10.73,10.33,10.41,8413.15
2025-01-12 00:00:00+00:00,10.4,10.55,10.12,10.29,5418.928
2025-01-13 00:00:00+00:00,10.35,10.59,9.37,10.02,13134.975
2025-01-14 00:00:00+00:00,10.01,10.31,9.92,10.28,7325.491
2025-01-15 00:00:00+00:00,10.24,10.87,9.9,10.87,10049.331
2025-01-16 00:00:00+00:00,10.87,10.87,10.35,10.55,3753.16
2025-01-17 00:00:00+00:00,10.58,11.33,10.58,11.22,22487.799
2025-01-18 00:00:00+00:00,11.18,11.28,10.09,10.34,9207.019
2025-01-19 00:00:00+00:00,10.3,10.64,9.23,9.32,17396.286
2025-01-20 00:00:00+00:00,9.27,10.15,8.91,9.29,17030.425
2025-01-21 00:00:00+00:00,9.27,9.78,8.11,9.58,12314.582
2025-01-22 00:00:00+00:00,9.54,9.6,9.06,9.18,10240.548
2025-01-23 00:00:00+00:00,9.13,9.23,8.48,9.1,19668.753
2025-01-24 00:00:00+00:00,9.18,9.66,8.85,8.94,13563.171
2025-01-25 00:00:00+00:00,8.88,9.05,8.73,8.94,6809.263
2025-01-26 00:00:00+00:00,8.99,9.25,8.79,8.81,9878.856
2025-01-27 00:00:00+00:00,8.72,8.76,7.93,8.57,19288.035
2025-01-28 00:00:00+00:00,8.61,8.76,7.66,7.71,25656.683
2025-01-29 00:00:00+00:00,7.69,8.21,7.64,7.97,21483.593
2025-01-30 00:00:00+00:00,7.94,8.52,7.9,8.41,10276.491
2025-01-31 00:00:00+00:00,8.41,8.91,8.25,8.43,24678.946
2025-02-01 00:00:00+00:00,8.44,8.6,7.61,7.66,19981.609
2025-02-02 00:00:00+00:00,7.66,7.77,6.26,6.72,29766.654
2025-02-03 00:00:00+00:00,6.72,6.74,5.25,6.65,61721.839
2025-02-04 00:00:00+00:00,6.66,6.76,6.05,6.27,12974.563
2025-02-05 00:00:00+00:00,6.27,6.46,6.01,6.1,6335.375
2025-02-06 00:00:00+00:00,6.11,6.29,5.67,5.73,21628.899
2025-02-07 00:00:00+00:00,5.8,6.21,5.5,5.71,16144.082
2025-02-08 00:00:00+00:00,5.73,6.19,5.62,6.16,12162.597
2025-02-09 00:00:00+00:00,6.1,9.61,6.09,8.05,849138.514
2025-02-10 00:00:00+00:00,8.05,8.42,7.38,8.38,246424.832
2025-02-11 00:00:00+00:00,8.38,12.1,8.29,9.14,1082095.329
2025-02-12 00:00:00+00:00,9.13,9.72,8.37,9.24,453757.014
2025-02-13 00:00:00+00:00,9.23,9.42,7.93,8.31,163598.265
2025-02-14 00:00:00+00:00,8.32,8.59,7.94,8.12,85613.14
2025-02-15 00:00:00+00:00,8.11,8.2,7.69,7.76,48598.794
2025-02-16 00:00:00+00:00,7.74,7.98,7.65,7.78,34544.696
2025-02-17 00:00:00+00:00,7.77,8.42,7.58,7.83,65308.392
