datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,11.31,11.52,11.14,11.18,1063.982
2025-01-01 06:00:00+00:00,11.15,11.2,10.9,11.09,1832.046
2025-01-01 12:00:00+00:00,11.12,11.38,11.12,11.35,2709.752
2025-01-01 18:00:00+00:00,11.36,11.64,11.3,11.6,1586.999
2025-01-02 00:00:00+00:00,11.58,12.04,11.58,11.93,3935.752
2025-01-02 06:00:00+00:00,11.88,12.05,11.84,12.05,762.301
2025-01-02 12:00:00+00:00,12.06,12.24,11.91,11.91,1963.468
2025-01-02 18:00:00+00:00,11.91,12.01,11.76,11.96,1790.071
2025-01-03 00:00:00+00:00,11.93,11.95,10.5,11.7,7587.833
2025-01-03 06:00:00+00:00,11.72,11.99,11.59,11.99,5090.686
2025-01-03 12:00:00+00:00,11.97,12.33,11.95,12.25,4849.671
2025-01-03 18:00:00+00:00,12.28,12.39,12.25,12.36,1569.554
2025-01-04 00:00:00+00:00,12.36,12.39,12.18,12.39,440.44
2025-01-04 06:00:00+00:00,12.41,12.54,12.24,12.36,700.086
2025-01-04 12:00:00+00:00,12.36,12.6,12.27,12.4,3268.172
2025-01-04 18:00:00+00:00,12.45,12.54,12.38,12.48,878.589
2025-01-05 00:00:00+00:00,12.41,12.44,12.3,12.37,200.246
2025-01-05 06:00:00+00:00,12.39,12.39,12.15,12.27,886.384
2025-01-05 12:00:00+00:00,12.26,12.31,12.11,12.12,2041.745
2025-01-05 18:00:00+00:00,12.11,12.45,12.09,12.45,2441.284
2025-01-06 00:00:00+00:00,12.4,12.54,12.17,12.48,1605.342
2025-01-06 06:00:00+00:00,12.49,12.49,12.3,12.43,495.843
2025-01-06 12:00:00+00:00,12.44,12.89,12.35,12.48,2254.818
2025-01-06 18:00:00+00:00,12.54,12.56,12.28,12.33,1813.356
2025-01-07 00:00:00+00:00,12.31,12.37,12.14,12.23,826.735
2025-01-07 06:00:00+00:00,12.22,12.38,12.14,12.14,592.021
2025-01-07 12:00:00+00:00,12.18,12.24,11.46,11.47,2451.704
2025-01-07 18:00:00+00:00,11.53,11.53,11.07,11.1,1630.33
2025-01-08 00:00:00+00:00,11.07,11.14,10.71,10.71,2023.172
2025-01-08 06:00:00+00:00,10.72,10.77,10.46,10.52,3018.362
2025-01-08 12:00:00+00:00,10.57,10.79,10.16,10.43,5221.669
2025-01-08 18:00:00+00:00,10.51,10.86,10.51,10.8,1236.272
2025-01-09 00:00:00+00:00,10.83,11.05,10.71,10.8,2039.928
2025-01-09 06:00:00+00:00,10.76,10.78,10.49,10.64,1743.846
2025-01-09 12:00:00+00:00,10.67,10.84,10.3,10.31,5140.456
2025-01-09 18:00:00+00:00,10.35,10.47,10.09,10.35,5906.497
2025-01-10 00:00:00+00:00,10.45,10.66,10.44,10.64,342.415
2025-01-10 06:00:00+00:00,10.65,10.83,10.56,10.62,852.647
2025-01-10 12:00:00+00:00,10.63,10.68,10.26,10.68,3643.8
2025-01-10 18:00:00+00:00,10.67,10.67,10.48,10.56,3725.765
2025-01-11 00:00:00+00:00,10.58,10.66,10.39,10.51,3025.175
2025-01-11 06:00:00+00:00,10.51,10.73,10.37,10.57,4449.329
2025-01-11 12:00:00+00:00,10.57,10.6,10.38,10.42,546.086
2025-01-11 18:00:00+00:00,10.43,10.65,10.33,10.41,392.56
2025-01-12 00:00:00+00:00,10.4,10.5,10.4,10.42,358.394
2025-01-12 06:00:00+00:00,10.41,10.42,10.25,10.36,1200.957
2025-01-12 12:00:00+00:00,10.42,10.55,10.39,10.48,1010.4
2025-01-12 18:00:00+00:00,10.48,10.49,10.12,10.29,2849.177
2025-01-13 00:00:00+00:00,10.35,10.59,9.99,10.03,1587.751
2025-01-13 06:00:00+00:00,10.01,10.04,9.4,9.43,2906.783
2025-01-13 12:00:00+00:00,9.39,9.92,9.37,9.57,7374.151
2025-01-13 18:00:00+00:00,9.67,10.06,9.49,10.02,1266.29
2025-01-14 00:00:00+00:00,10.01,10.16,9.95,9.99,736.956
2025-01-14 06:00:00+00:00,9.99,10.26,9.92,10.08,1060.436
2025-01-14 12:00:00+00:00,10.04,10.24,9.94,10.11,3521.09
2025-01-14 18:00:00+00:00,10.13,10.31,10.08,10.28,2007.009
2025-01-15 00:00:00+00:00,10.24,10.3,10.03,10.13,1332.638
2025-01-15 06:00:00+00:00,10.13,10.27,9.9,9.96,881.359
2025-01-15 12:00:00+00:00,9.96,10.6,9.94,10.41,4794.282
2025-01-15 18:00:00+00:00,10.41,10.87,10.39,10.87,3041.052
2025-01-16 00:00:00+00:00,10.87,10.87,10.55,10.59,453.821
2025-01-16 06:00:00+00:00,10.64,10.66,10.42,10.63,337.386
2025-01-16 12:00:00+00:00,10.58,10.77,10.35,10.7,2070.259
2025-01-16 18:00:00+00:00,10.74,10.83,10.47,10.55,891.694
2025-01-17 00:00:00+00:00,10.58,10.91,10.58,10.77,817.664
2025-01-17 06:00:00+00:00,10.79,10.91,10.71,10.91,1506.336
2025-01-17 12:00:00+00:00,10.87,11.16,10.83,10.93,12949.893
2025-01-17 18:00:00+00:00,10.93,11.33,10.88,11.22,7213.906
2025-01-18 00:00:00+00:00,11.18,11.28,10.35,10.35,1999.705
2025-01-18 06:00:00+00:00,10.41,10.5,10.17,10.5,3117.71
2025-01-18 12:00:00+00:00,10.45,10.5,10.1,10.19,2257.256
2025-01-18 18:00:00+00:00,10.09,10.34,10.09,10.34,1832.348
