datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,0.5447,0.5566,0.5437,0.5558,80999.71
2025-01-01 01:00:00+00:00,0.5554,0.5554,0.5436,0.5448,87158.25
2025-01-01 02:00:00+00:00,0.5448,0.5488,0.5442,0.5488,70350.34
2025-01-01 03:00:00+00:00,0.5489,0.5492,0.5425,0.5444,93809.69
2025-01-01 04:00:00+00:00,0.5443,0.5455,0.5403,0.541,158309.71
2025-01-01 05:00:00+00:00,0.5409,0.5472,0.5409,0.5459,239890.44
2025-01-01 06:00:00+00:00,0.546,0.5472,0.544,0.5465,33703.69
2025-01-01 07:00:00+00:00,0.5466,0.5467,0.5432,0.544,77235.16
2025-01-01 08:00:00+00:00,0.5441,0.546,0.5375,0.5375,73655.59
2025-01-01 09:00:00+00:00,0.5377,0.5395,0.532,0.537,149988.0
2025-01-01 10:00:00+00:00,0.5371,0.5391,0.536,0.5364,20840.58
2025-01-01 11:00:00+00:00,0.5362,0.5442,0.5341,0.5406,102831.72
2025-01-01 12:00:00+00:00,0.5405,0.5476,0.5387,0.5464,43507.2
2025-01-01 13:00:00+00:00,0.5464,0.554,0.5452,0.5516,179230.86
2025-01-01 14:00:00+00:00,0.5517,0.5586,0.5465,0.5511,89274.96
2025-01-01 15:00:00+00:00,0.5512,0.559,0.5455,0.5579,147737.29
2025-01-01 16:00:00+00:00,0.5578,0.5687,0.556,0.5659,588507.21
2025-01-01 17:00:00+00:00,0.5657,0.567,0.5535,0.5642,175639.34
2025-01-01 18:00:00+00:00,0.5643,0.572,0.5596,0.5709,364628.51
2025-01-01 19:00:00+00:00,0.5709,0.5759,0.5662,0.572,219047.03
2025-01-01 20:00:00+00:00,0.5724,0.5765,0.5713,0.5722,142597.73
2025-01-01 21:00:00+00:00,0.5722,0.5741,0.5682,0.5722,139303.19
2025-01-01 22:00:00+00:00,0.5723,0.5748,0.5695,0.5743,124056.06
2025-01-01 23:00:00+00:00,0.5741,0.5753,0.57,0.5733,405692.78
2025-01-02 00:00:00+00:00,0.5733,0.5901,0.5733,0.5832,478986.13
2025-01-02 01:00:00+00:00,0.5833,0.5896,0.5777,0.5785,299403.96
2025-01-02 02:00:00+00:00,0.5789,0.5823,0.577,0.5809,118486.28
2025-01-02 03:00:00+00:00,0.5811,0.5829,0.5777,0.5782,150920.68
2025-01-02 04:00:00+00:00,0.5784,0.5898,0.5779,0.5878,138134.89
