datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,1.914,2.022,1.89,2.007,133442.084
2025-01-02 00:00:00+00:00,2.011,2.149,2.01,2.07,156603.436
2025-01-03 00:00:00+00:00,2.075,2.226,2.033,2.192,180474.883
2025-01-04 00:00:00+00:00,2.199,2.264,2.142,2.215,297065.719
2025-01-05 00:00:00+00:00,2.212,2.213,2.135,2.183,136561.167
2025-01-06 00:00:00+00:00,2.178,2.273,2.14,2.203,144934.04
2025-01-07 00:00:00+00:00,2.196,2.205,1.93,1.933,354341.853
2025-01-08 00:00:00+00:00,1.934,1.96,1.742,1.856,356090.977
2025-01-09 00:00:00+00:00,1.852,1.881,1.737,1.781,244025.098
2025-01-10 00:00:00+00:00,1.783,1.875,1.76,1.822,225334.947
2025-01-11 00:00:00+00:00,1.825,1.85,1.781,1.822,97121.361
2025-01-12 00:00:00+00:00,1.822,1.836,1.753,1.785,58776.159
2025-01-13 00:00:00+00:00,1.79,1.838,1.567,1.687,475927.451
2025-01-14 00:00:00+00:00,1.692,1.794,1.676,1.784,311652.149
2025-01-15 00:00:00+00:00,1.781,1.915,1.725,1.915,208222.704
2025-01-16 00:00:00+00:00,1.914,1.914,1.822,1.849,179190.718
2025-01-17 00:00:00+00:00,1.852,1.995,1.849,1.982,883070.955
2025-01-18 00:00:00+00:00,1.985,2.006,1.753,1.808,672356.724
2025-01-19 00:00:00+00:00,1.808,1.87,1.587,1.614,646439.196
2025-01-20 00:00:00+00:00,1.617,1.749,1.534,1.619,541186.544
2025-01-21 00:00:00+00:00,1.625,1.772,1.547,1.726,446872.592
2025-01-22 00:00:00+00:00,1.732,1.744,1.633,1.646,199754.591
2025-01-23 00:00:00+00:00,1.641,1.667,1.56,1.609,443086.304
2025-01-24 00:00:00+00:00,1.612,1.673,1.549,1.57,342606.816
2025-01-25 00:00:00+00:00,1.565,1.62,1.542,1.581,329212.304
2025-01-26 00:00:00+00:00,1.58,1.646,1.55,1.552,116208.952
2025-01-27 00:00:00+00:00,1.549,1.549,1.378,1.485,399775.183
2025-01-28 00:00:00+00:00,1.486,1.554,1.4,1.419,129651.338
2025-01-29 00:00:00+00:00,1.413,1.571,1.413,1.506,201185.912
2025-01-30 00:00:00+00:00,1.507,1.618,1.495,1.571,272622.354
2025-01-31 00:00:00+00:00,1.567,1.685,1.542,1.605,281254.627
2025-02-01 00:00:00+00:00,1.597,1.623,1.433,1.448,315783.064
2025-02-02 00:00:00+00:00,1.446,1.479,1.173,1.26,529350.085
2025-02-03 00:00:00+00:00,1.259,1.287,0.929,1.262,1564939.807
2025-02-04 00:00:00+00:00,1.262,1.272,1.04,1.103,3564350.875
2025-02-05 00:00:00+00:00,1.101,1.137,1.032,1.053,1072765.421
2025-02-06 00:00:00+00:00,1.055,1.064,0.962,0.973,1171808.137
2025-02-07 00:00:00+00:00,0.972,1.046,0.927,0.969,1456120.526
2025-02-08 00:00:00+00:00,0.965,0.991,0.943,0.973,1432424.112
2025-02-09 00:00:00+00:00,0.973,1.002,0.915,0.968,353690.289
2025-02-10 00:00:00+00:00,0.973,1.034,0.934,1.016,831680.509
2025-02-11 00:00:00+00:00,1.018,1.068,0.948,0.964,950955.208
2025-02-12 00:00:00+00:00,0.962,1.055,0.919,1.04,755763.766
2025-02-13 00:00:00+00:00,1.041,1.061,0.986,1.042,272643.585
2025-02-14 00:00:00+00:00,1.038,1.06,0.98,1.032,2557755.726
2025-02-15 00:00:00+00:00,1.028,1.041,0.977,0.986,249207.481
2025-02-16 00:00:00+00:00,0.987,1.039,0.963,0.979,235312.883
2025-02-17 00:00:00+00:00,0.985,1.043,0.973,1.011,191352.054
