datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,1.914,1.942,1.914,1.919,57639.012
2025-01-01 06:00:00+00:00,1.912,1.931,1.89,1.931,27444.408
2025-01-01 12:00:00+00:00,1.92,1.973,1.92,1.966,20905.847
2025-01-01 18:00:00+00:00,1.965,2.022,1.957,2.007,27452.817
2025-01-02 00:00:00+00:00,2.011,2.078,2.01,2.061,51068.054
2025-01-02 06:00:00+00:00,2.052,2.107,2.044,2.102,24511.492
2025-01-02 12:00:00+00:00,2.105,2.149,2.057,2.071,34766.774
2025-01-02 18:00:00+00:00,2.075,2.086,2.042,2.07,46257.116
2025-01-03 00:00:00+00:00,2.075,2.086,2.04,2.049,24414.14
2025-01-03 06:00:00+00:00,2.062,2.106,2.033,2.103,30232.7
2025-01-03 12:00:00+00:00,2.102,2.213,2.096,2.193,76001.461
2025-01-03 18:00:00+00:00,2.196,2.226,2.185,2.192,49826.582
2025-01-04 00:00:00+00:00,2.199,2.208,2.162,2.188,23675.704
2025-01-04 06:00:00+00:00,2.19,2.196,2.142,2.163,32368.077
2025-01-04 12:00:00+00:00,2.168,2.264,2.163,2.198,92744.306
2025-01-04 18:00:00+00:00,2.202,2.223,2.18,2.215,148277.632
2025-01-05 00:00:00+00:00,2.212,2.213,2.165,2.175,60001.437
2025-01-05 06:00:00+00:00,2.173,2.188,2.145,2.159,17714.465
2025-01-05 12:00:00+00:00,2.159,2.183,2.136,2.145,35943.858
2025-01-05 18:00:00+00:00,2.152,2.2,2.135,2.183,22901.407
2025-01-06 00:00:00+00:00,2.178,2.226,2.14,2.217,46093.782
2025-01-06 06:00:00+00:00,2.215,2.217,2.166,2.202,14898.2
2025-01-06 12:00:00+00:00,2.208,2.273,2.154,2.196,54464.495
2025-01-06 18:00:00+00:00,2.198,2.228,2.18,2.203,29477.563
2025-01-07 00:00:00+00:00,2.196,2.205,2.148,2.155,26867.425
2025-01-07 06:00:00+00:00,2.156,2.176,2.107,2.123,23810.326
2025-01-07 12:00:00+00:00,2.12,2.148,1.972,1.98,164908.627
2025-01-07 18:00:00+00:00,1.98,1.999,1.93,1.933,138755.475
2025-01-08 00:00:00+00:00,1.934,1.96,1.867,1.871,59397.052
2025-01-08 06:00:00+00:00,1.882,1.893,1.827,1.863,80422.928
2025-01-08 12:00:00+00:00,1.873,1.891,1.742,1.812,143405.585
2025-01-08 18:00:00+00:00,1.807,1.864,1.807,1.856,72865.412
2025-01-09 00:00:00+00:00,1.852,1.881,1.837,1.838,31336.114
2025-01-09 06:00:00+00:00,1.835,1.843,1.783,1.823,29731.577
2025-01-09 12:00:00+00:00,1.816,1.843,1.749,1.796,106679.259
2025-01-09 18:00:00+00:00,1.785,1.812,1.737,1.781,76278.148
2025-01-10 00:00:00+00:00,1.783,1.844,1.782,1.825,41779.085
2025-01-10 06:00:00+00:00,1.819,1.875,1.817,1.84,24264.036
2025-01-10 12:00:00+00:00,1.844,1.85,1.76,1.841,113906.663
2025-01-10 18:00:00+00:00,1.845,1.845,1.802,1.822,45385.163
2025-01-11 00:00:00+00:00,1.825,1.837,1.795,1.812,42725.807
2025-01-11 06:00:00+00:00,1.816,1.82,1.789,1.816,6471.908
2025-01-11 12:00:00+00:00,1.803,1.808,1.781,1.782,7492.635
2025-01-11 18:00:00+00:00,1.786,1.85,1.782,1.822,40431.011
2025-01-12 00:00:00+00:00,1.822,1.836,1.814,1.818,12261.249
2025-01-12 06:00:00+00:00,1.819,1.819,1.78,1.805,11874.344
2025-01-12 12:00:00+00:00,1.796,1.817,1.786,1.809,8747.227
2025-01-12 18:00:00+00:00,1.812,1.812,1.753,1.785,25893.339
2025-01-13 00:00:00+00:00,1.79,1.838,1.722,1.729,41274.619
2025-01-13 06:00:00+00:00,1.725,1.733,1.571,1.571,222548.53
2025-01-13 12:00:00+00:00,1.577,1.675,1.567,1.611,110295.339
2025-01-13 18:00:00+00:00,1.609,1.694,1.588,1.687,101808.963
2025-01-14 00:00:00+00:00,1.692,1.731,1.676,1.707,40095.375
2025-01-14 06:00:00+00:00,1.708,1.763,1.697,1.716,129366.475
2025-01-14 12:00:00+00:00,1.723,1.748,1.699,1.742,97543.393
2025-01-14 18:00:00+00:00,1.744,1.794,1.739,1.784,44646.906
2025-01-15 00:00:00+00:00,1.781,1.803,1.762,1.781,24341.179
2025-01-15 06:00:00+00:00,1.784,1.812,1.725,1.739,30783.8
2025-01-15 12:00:00+00:00,1.74,1.875,1.728,1.835,89319.027
2025-01-15 18:00:00+00:00,1.845,1.915,1.844,1.915,63778.698
2025-01-16 00:00:00+00:00,1.914,1.914,1.867,1.89,32159.792
2025-01-16 06:00:00+00:00,1.885,1.904,1.845,1.893,29120.654
2025-01-16 12:00:00+00:00,1.886,1.908,1.822,1.889,66339.253
2025-01-16 18:00:00+00:00,1.888,1.902,1.832,1.849,51571.019
2025-01-17 00:00:00+00:00,1.852,1.906,1.849,1.887,314481.89
2025-01-17 06:00:00+00:00,1.887,1.953,1.884,1.934,92905.205
2025-01-17 12:00:00+00:00,1.932,1.988,1.914,1.937,409017.874
2025-01-17 18:00:00+00:00,1.937,1.995,1.929,1.982,66665.986
2025-01-18 00:00:00+00:00,1.985,2.006,1.828,1.828,77551.92
2025-01-18 06:00:00+00:00,1.827,1.86,1.787,1.838,329198.479
2025-01-18 12:00:00+00:00,1.831,1.849,1.766,1.774,53073.537
2025-01-18 18:00:00+00:00,1.772,1.818,1.753,1.808,212532.788
2025-01-19 00:00:00+00:00,1.808,1.87,1.798,1.816,89159.472
2025-01-19 06:00:00+00:00,1.807,1.808,1.64,1.649,64974.687
2025-01-19 12:00:00+00:00,1.65,1.797,1.648,1.779,69848.514
2025-01-19 18:00:00+00:00,1.782,1.821,1.587,1.614,422456.523
2025-01-20 00:00:00+00:00,1.617,1.617,1.534,1.591,151478.849
2025-01-20 06:00:00+00:00,1.597,1.749,1.596,1.691,143813.118
2025-01-20 12:00:00+00:00,1.693,1.707,1.599,1.635,167474.49
2025-01-20 18:00:00+00:00,1.632,1.671,1.603,1.619,78420.087
2025-01-21 00:00:00+00:00,1.625,1.625,1.547,1.565,60233.658
2025-01-21 06:00:00+00:00,1.563,1.674,1.561,1.674,76515.41
2025-01-21 12:00:00+00:00,1.673,1.771,1.65,1.769,232702.834
2025-01-21 18:00:00+00:00,1.77,1.772,1.711,1.726,77420.69
2025-01-22 00:00:00+00:00,1.732,1.744,1.697,1.708,28128.035
2025-01-22 06:00:00+00:00,1.705,1.719,1.676,1.714,25931.945
2025-01-22 12:00:00+00:00,1.717,1.721,1.672,1.7,46537.838
2025-01-22 18:00:00+00:00,1.703,1.703,1.633,1.646,99156.773
2025-01-23 00:00:00+00:00,1.641,1.649,1.611,1.614,36165.387
2025-01-23 06:00:00+00:00,1.611,1.625,1.587,1.601,15444.238
2025-01-23 12:00:00+00:00,1.596,1.667,1.581,1.637,285305.057
2025-01-23 18:00:00+00:00,1.638,1.64,1.56,1.609,106171.622
2025-01-24 00:00:00+00:00,1.612,1.646,1.549,1.646,80551.142
2025-01-24 06:00:00+00:00,1.648,1.648,1.613,1.648,30462.807
2025-01-24 12:00:00+00:00,1.645,1.673,1.605,1.623,115207.925
2025-01-24 18:00:00+00:00,1.623,1.632,1.561,1.57,116384.942
2025-01-25 00:00:00+00:00,1.565,1.593,1.542,1.58,114937.263
2025-01-25 06:00:00+00:00,1.578,1.588,1.553,1.586,37862.432
2025-01-25 12:00:00+00:00,1.581,1.62,1.574,1.594,115083.585
2025-01-25 18:00:00+00:00,1.592,1.602,1.581,1.581,61329.024
2025-01-26 00:00:00+00:00,1.58,1.613,1.576,1.608,23288.354
2025-01-26 06:00:00+00:00,1.605,1.62,1.589,1.607,7824.175
2025-01-26 12:00:00+00:00,1.6,1.63,1.596,1.628,21674.711
2025-01-26 18:00:00+00:00,1.622,1.646,1.55,1.552,63421.712
2025-01-27 00:00:00+00:00,1.549,1.549,1.45,1.461,129432.832
2025-01-27 06:00:00+00:00,1.462,1.464,1.378,1.402,137355.681
2025-01-27 12:00:00+00:00,1.401,1.476,1.399,1.433,57733.366
2025-01-27 18:00:00+00:00,1.431,1.512,1.417,1.485,75253.304
2025-01-28 00:00:00+00:00,1.486,1.522,1.469,1.517,15715.247
2025-01-28 06:00:00+00:00,1.505,1.517,1.485,1.506,8144.812
2025-01-28 12:00:00+00:00,1.499,1.554,1.495,1.508,46906.801
2025-01-28 18:00:00+00:00,1.502,1.511,1.4,1.419,58884.478
2025-01-29 00:00:00+00:00,1.413,1.461,1.413,1.45,24478.812
2025-01-29 06:00:00+00:00,1.461,1.501,1.458,1.48,53050.506
2025-01-29 12:00:00+00:00,1.474,1.513,1.46,1.504,30807.679
2025-01-29 18:00:00+00:00,1.51,1.571,1.472,1.506,92848.915
2025-01-30 00:00:00+00:00,1.507,1.568,1.495,1.552,59691.48
2025-01-30 06:00:00+00:00,1.565,1.618,1.543,1.578,87465.202
2025-01-30 12:00:00+00:00,1.579,1.612,1.554,1.594,79411.727
2025-01-30 18:00:00+00:00,1.6,1.606,1.564,1.571,46053.945
2025-01-31 00:00:00+00:00,1.567,1.588,1.542,1.585,98261.372
2025-01-31 06:00:00+00:00,1.582,1.65,1.582,1.645,35751.024
2025-01-31 12:00:00+00:00,1.648,1.685,1.627,1.636,74444.377
2025-01-31 18:00:00+00:00,1.632,1.639,1.577,1.605,72797.854
2025-02-01 00:00:00+00:00,1.597,1.623,1.584,1.608,125219.418
2025-02-01 06:00:00+00:00,1.602,1.603,1.548,1.559,12941.889
2025-02-01 12:00:00+00:00,1.572,1.58,1.536,1.541,21448.077
2025-02-01 18:00:00+00:00,1.538,1.54,1.433,1.448,156173.68
2025-02-02 00:00:00+00:00,1.446,1.479,1.388,1.445,40870.764
2025-02-02 06:00:00+00:00,1.437,1.447,1.386,1.387,24164.087
2025-02-02 12:00:00+00:00,1.384,1.427,1.287,1.293,218387.933
2025-02-02 18:00:00+00:00,1.294,1.32,1.173,1.26,245927.301
2025-02-03 00:00:00+00:00,1.259,1.259,0.929,1.085,891267.364
2025-02-03 06:00:00+00:00,1.085,1.16,1.07,1.14,133733.912
2025-02-03 12:00:00+00:00,1.149,1.253,1.097,1.222,283300.313
2025-02-03 18:00:00+00:00,1.219,1.287,1.219,1.262,256638.218
2025-02-04 00:00:00+00:00,1.262,1.272,1.106,1.108,176774.349
2025-02-04 06:00:00+00:00,1.108,1.127,1.051,1.075,1025288.492
2025-02-04 12:00:00+00:00,1.075,1.115,1.065,1.092,1803855.476
2025-02-04 18:00:00+00:00,1.089,1.139,1.04,1.103,558432.558
2025-02-05 00:00:00+00:00,1.101,1.13,1.089,1.123,121629.431
2025-02-05 06:00:00+00:00,1.118,1.128,1.096,1.122,92233.358
2025-02-05 12:00:00+00:00,1.119,1.137,1.066,1.07,109459.438
2025-02-05 18:00:00+00:00,1.071,1.085,1.032,1.053,749443.194
2025-02-06 00:00:00+00:00,1.055,1.063,1.037,1.042,444990.652
2025-02-06 06:00:00+00:00,1.043,1.064,1.028,1.037,324001.357
2025-02-06 12:00:00+00:00,1.039,1.041,0.982,0.994,221264.589
2025-02-06 18:00:00+00:00,0.992,0.998,0.962,0.973,181551.539
