datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,4.1141,4.3105,4.04,4.2743,11489110.5
2025-01-02 00:00:00+00:00,4.2749,4.4604,4.2486,4.3479,13089598.2
2025-01-03 00:00:00+00:00,4.3483,4.9876,4.2745,4.983,24705425.7
2025-01-04 00:00:00+00:00,4.9841,5.358,4.8381,5.2904,30197819.3
2025-01-05 00:00:00+00:00,5.2909,5.325,5.1154,5.2428,12166458.0
2025-01-06 00:00:00+00:00,5.2438,5.37,5.0236,5.092,20380877.9
2025-01-07 00:00:00+00:00,5.0924,5.1726,4.7467,4.7852,21386346.7
2025-01-08 00:00:00+00:00,4.7839,4.9161,4.3867,4.8966,31119679.6
2025-01-09 00:00:00+00:00,4.896,4.8966,4.4957,4.7504,25386431.1
2025-01-10 00:00:00+00:00,4.7504,5.25,4.7308,5.1208,36208068.0
2025-01-11 00:00:00+00:00,5.1217,5.1407,4.9,4.9673,14336126.6
2025-01-12 00:00:00+00:00,4.9667,4.9802,4.6901,4.7311,11775651.6
2025-01-13 00:00:00+00:00,4.7315,4.8599,4.2588,4.7461,45201445.6
2025-01-14 00:00:00+00:00,4.7472,4.7625,4.5388,4.5844,24670041.9
2025-01-15 00:00:00+00:00,4.5842,4.892,4.4306,4.8347,32106624.4
2025-01-16 00:00:00+00:00,4.836,5.0568,4.58,4.7485,32657547.6
2025-01-17 00:00:00+00:00,4.7485,4.9703,4.7102,4.8392,25530778.8
2025-01-18 00:00:00+00:00,4.8404,5.1375,4.6081,4.9988,27268875.4
2025-01-19 00:00:00+00:00,4.9991,5.0228,4.399,4.5028,36484090.0
2025-01-20 00:00:00+00:00,4.5021,4.8406,4.2937,4.4129,41016360.3
2025-01-21 00:00:00+00:00,4.4125,4.7987,4.2241,4.6591,25887775.1
2025-01-22 00:00:00+00:00,4.6593,4.7044,4.451,4.4684,13026646.2
2025-01-23 00:00:00+00:00,4.4676,4.4774,4.1489,4.3047,22576590.1
2025-01-24 00:00:00+00:00,4.303,4.4857,4.16,4.2024,22793571.1
2025-01-25 00:00:00+00:00,4.2014,4.2592,4.0988,4.1294,15876871.4
2025-01-26 00:00:00+00:00,4.1295,4.2214,3.8549,3.8689,19563289.5
2025-01-27 00:00:00+00:00,3.869,4.0179,3.4921,3.9631,59090335.1
2025-01-28 00:00:00+00:00,3.964,4.0148,3.6067,3.6512,21181857.1
2025-01-29 00:00:00+00:00,3.6518,3.8937,3.5992,3.699,30929085.0
2025-01-30 00:00:00+00:00,3.6991,4.2178,3.6658,4.1199,31051179.0
2025-01-31 00:00:00+00:00,4.1199,4.31,4.0081,4.0876,25212112.8
2025-02-01 00:00:00+00:00,4.0878,4.1176,3.7185,3.7339,14667608.9
2025-02-02 00:00:00+00:00,3.7327,3.8582,3.0802,3.3071,36399384.8
2025-02-03 00:00:00+00:00,3.3075,3.8371,2.3911,3.6542,103192322.2
2025-02-04 00:00:00+00:00,3.6546,3.9024,3.2769,3.5947,43431972.5
2025-02-05 00:00:00+00:00,3.5968,3.7204,3.3034,3.3312,27777580.8
2025-02-06 00:00:00+00:00,3.332,3.5144,3.1049,3.1369,36090494.4
2025-02-07 00:00:00+00:00,3.1353,3.3948,2.9059,3.015,42228322.9
2025-02-08 00:00:00+00:00,3.0155,3.0898,2.8842,3.0629,18285477.9
2025-02-09 00:00:00+00:00,3.0637,3.1849,2.8647,2.9948,22190942.6
2025-02-10 00:00:00+00:00,2.9962,3.316,2.9018,3.2162,29283021.4
2025-02-11 00:00:00+00:00,3.2149,3.5916,3.2023,3.3269,29748959.5
2025-02-12 00:00:00+00:00,3.3264,3.7,3.0897,3.583,35394933.0
2025-02-13 00:00:00+00:00,3.5838,3.66,3.4087,3.4688,20063863.5
2025-02-14 00:00:00+00:00,3.469,3.7402,3.427,3.5528,18405975.5
2025-02-15 00:00:00+00:00,3.5529,3.5994,3.3706,3.4191,10080168.5
2025-02-16 00:00:00+00:00,3.4177,3.4647,3.2547,3.269,10218199.1
2025-02-17 00:00:00+00:00,3.2695,3.3582,3.1444,3.218,14785435.2
2025-02-18 00:00:00+00:00,3.2186,3.2344,2.91,3.0635,30498435.6
2025-02-19 00:00:00+00:00,3.0645,3.2607,3.0,3.2176,20954170.4
2025-02-20 00:00:00+00:00,3.2186,3.4826,3.1884,3.4519,19583065.5
2025-02-21 00:00:00+00:00,3.4514,3.5734,3.2185,3.2682,29766380.2
2025-02-22 00:00:00+00:00,3.2669,3.4555,3.2493,3.422,11467095.0
2025-02-23 00:00:00+00:00,3.422,3.4876,3.283,3.3782,10182081.2
2025-02-24 00:00:00+00:00,3.3787,3.4509,2.8,2.829,36667581.4
2025-02-25 00:00:00+00:00,2.8296,3.0128,2.6274,2.9536,50076603.4
2025-02-26 00:00:00+00:00,2.9545,3.0927,2.74,2.8762,33762954.8
2025-02-27 00:00:00+00:00,2.8802,2.9772,2.75,2.7861,16853214.9
2025-02-28 00:00:00+00:00,2.7866,2.8554,2.5155,2.8291,32183499.9
2025-03-01 00:00:00+00:00,2.8306,2.9279,2.78,2.8175,12776981.0
2025-03-02 00:00:00+00:00,2.8198,3.2534,2.7906,3.193,30552362.8
2025-03-03 00:00:00+00:00,3.1936,3.2048,2.5818,2.6172,28558981.0
2025-03-04 00:00:00+00:00,2.6155,2.6512,2.2527,2.5254,38476619.2
2025-03-05 00:00:00+00:00,2.5254,2.693,2.4383,2.6334,24939264.5
2025-03-06 00:00:00+00:00,2.6332,3.1163,2.5877,2.7353,45687294.7
2025-03-07 00:00:00+00:00,2.7347,2.89,2.556,2.5812,40030267.0
2025-03-08 00:00:00+00:00,2.5799,2.6287,2.47,2.4821,10940743.1
2025-03-09 00:00:00+00:00,2.4825,2.5248,2.25,2.289,22491685.7
2025-03-10 00:00:00+00:00,2.2894,2.4487,2.0555,2.0877,41086654.0
2025-03-11 00:00:00+00:00,2.0879,2.3067,1.961,2.2274,46070734.1
2025-03-12 00:00:00+00:00,2.2288,2.3762,2.1703,2.2855,30087723.8
2025-03-13 00:00:00+00:00,2.2845,2.3412,2.1131,2.1626,23311322.6
2025-03-14 00:00:00+00:00,2.1637,2.3859,2.1586,2.3259,24797872.4
2025-03-15 00:00:00+00:00,2.3254,2.4267,2.3,2.3534,12385279.9
2025-03-16 00:00:00+00:00,2.3532,2.3675,2.2031,2.2311,12192909.5
2025-03-17 00:00:00+00:00,2.231,2.3814,2.2284,2.3789,20265291.6
2025-03-18 00:00:00+00:00,2.3786,2.3882,2.2201,2.2847,16873836.7
2025-03-19 00:00:00+00:00,2.2851,2.4862,2.2773,2.475,23974488.9
2025-03-20 00:00:00+00:00,2.4752,2.504,2.3422,2.3556,18745507.3
2025-03-21 00:00:00+00:00,2.3553,2.3677,2.2315,2.2515,16017123.9
2025-03-22 00:00:00+00:00,2.2509,2.3065,2.2319,2.2634,6534161.1
2025-03-23 00:00:00+00:00,2.2631,2.301,2.2338,2.292,8379062.7
2025-03-24 00:00:00+00:00,2.2926,2.4505,2.2598,2.3978,22160973.1
2025-03-25 00:00:00+00:00,2.3976,2.4851,2.3348,2.4585,16798479.0
2025-03-26 00:00:00+00:00,2.4584,2.6537,2.4399,2.6199,23913843.5
2025-03-27 00:00:00+00:00,2.62,2.8316,2.6074,2.7799,39045915.3
2025-03-28 00:00:00+00:00,2.7799,2.8008,2.4686,2.5047,32614099.6
2025-03-29 00:00:00+00:00,2.5047,2.5446,2.2438,2.3101,27102409.8
2025-03-30 00:00:00+00:00,2.309,2.4545,2.2793,2.3514,28534834.8
2025-03-31 00:00:00+00:00,2.3518,2.3566,2.1846,2.2665,39761124.3
2025-04-01 00:00:00+00:00,2.267,2.525,2.2521,2.4083,38013528.3
2025-04-02 00:00:00+00:00,2.4077,2.5472,2.2521,2.3067,42350271.3
2025-04-03 00:00:00+00:00,2.3071,2.4398,2.182,2.2611,40283970.4
2025-04-04 00:00:00+00:00,2.2625,2.3069,2.1282,2.2572,44781297.2
2025-04-05 00:00:00+00:00,2.2574,2.276,2.1808,2.2158,11070801.6
2025-04-06 00:00:00+00:00,2.2157,2.2239,1.8805,1.9199,36543985.0
2025-04-07 00:00:00+00:00,1.9196,2.1358,1.7158,2.0187,84632156.7
2025-04-08 00:00:00+00:00,2.0188,2.1022,1.901,1.9275,45682075.6
2025-04-09 00:00:00+00:00,1.9289,2.2878,1.8592,2.221,65739685.4
2025-04-10 00:00:00+00:00,2.221,2.23,2.0495,2.1115,29807842.8
2025-04-11 00:00:00+00:00,2.1117,2.2523,2.0955,2.1877,26807154.0
2025-04-12 00:00:00+00:00,2.1875,2.3981,2.1568,2.3459,25229170.4
2025-04-13 00:00:00+00:00,2.3468,2.4875,2.2028,2.2325,27018099.8
2025-04-14 00:00:00+00:00,2.2328,2.3514,2.1596,2.1926,26327124.3
2025-04-15 00:00:00+00:00,2.1924,2.2492,2.08,2.088,25070247.8
2025-04-16 00:00:00+00:00,2.0877,2.1352,2.0216,2.0551,22056772.8
2025-04-17 00:00:00+00:00,2.0549,2.1706,2.0433,2.1228,16413525.2
2025-04-18 00:00:00+00:00,2.1229,2.1535,2.0952,2.1201,8602294.5
2025-04-19 00:00:00+00:00,2.1206,2.1778,2.1109,2.1547,9041241.8
2025-04-20 00:00:00+00:00,2.1554,2.1716,2.081,2.1131,9948690.5
2025-04-21 00:00:00+00:00,2.1131,2.2846,2.1094,2.1961,32207668.2
2025-04-22 00:00:00+00:00,2.1962,2.7482,2.1682,2.6692,44125283.3
2025-04-23 00:00:00+00:00,2.6693,3.0786,2.6693,2.9678,72288111.3
2025-04-24 00:00:00+00:00,2.9662,3.396,2.8955,3.3467,87117253.9
2025-04-25 00:00:00+00:00,3.3466,3.8107,3.2758,3.5204,97885177.8
2025-04-26 00:00:00+00:00,3.5216,3.6505,3.3393,3.5204,24152852.6
2025-04-27 00:00:00+00:00,3.5205,3.6556,3.427,3.5594,19800540.3
2025-04-28 00:00:00+00:00,3.5595,3.8748,3.3896,3.5275,46676649.4
2025-04-29 00:00:00+00:00,3.5281,3.6361,3.4341,3.5337,22742769.1
