datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,2.0795,2.0974,2.0765,2.0935,3949262.45108
2025-01-01 00:30:00+00:00,2.0931,2.1083,2.0923,2.1066,2596716.596877
2025-01-01 01:00:00+00:00,2.1066,2.1072,2.0928,2.0954,2144022.027064
2025-01-01 01:30:00+00:00,2.0956,2.103,2.0884,2.0897,2021213.007918
2025-01-01 02:00:00+00:00,2.0897,2.0991,2.0876,2.0941,1665524.004062
2025-01-01 02:30:00+00:00,2.0941,2.1009,2.0934,2.1005,4370170.023366
2025-01-01 03:00:00+00:00,2.1007,2.1019,2.0961,2.0968,2437201.128059
2025-01-01 03:30:00+00:00,2.097,2.1042,2.0964,2.1024,604305.197812
2025-01-01 04:00:00+00:00,2.1024,2.106,2.0961,2.1041,1990970.068987
2025-01-01 04:30:00+00:00,2.1038,2.1089,2.0943,2.098,1751633.80026
2025-01-01 05:00:00+00:00,2.098,2.125,2.0954,2.1235,2723754.027182
2025-01-01 05:30:00+00:00,2.1237,2.145,2.1231,2.1312,4788682.092911
2025-01-01 06:00:00+00:00,2.1314,2.143,2.1253,2.1393,4247620.752679
2025-01-01 06:30:00+00:00,2.1394,2.141,2.1283,2.1391,3638494.13818
2025-01-01 07:00:00+00:00,2.1391,2.1392,2.1251,2.1344,1883772.787483
2025-01-01 07:30:00+00:00,2.1343,2.1364,2.1179,2.1201,2273889.471309
2025-01-01 08:00:00+00:00,2.12,2.1305,2.1139,2.1167,871520.616561
2025-01-01 08:30:00+00:00,2.1166,2.1197,2.1041,2.1064,1172756.660483
2025-01-01 09:00:00+00:00,2.1064,2.1126,2.0869,2.093,1572470.29423
2025-01-01 09:30:00+00:00,2.0934,2.1023,2.0872,2.1013,1904373.935234
2025-01-01 10:00:00+00:00,2.1014,2.1099,2.1014,2.1055,1022752.157267
2025-01-01 10:30:00+00:00,2.1064,2.1142,2.1033,2.105,477598.787982
2025-01-01 11:00:00+00:00,2.1049,2.1309,2.0983,2.1269,1670903.811835
2025-01-01 11:30:00+00:00,2.1266,2.14,2.1192,2.1318,1779122.041352
2025-01-01 12:00:00+00:00,2.1319,2.1649,2.1267,2.1562,2654068.604951
2025-01-01 12:30:00+00:00,2.156,2.1697,2.1485,2.1636,2973715.156801
2025-01-01 13:00:00+00:00,2.1634,2.18,2.1613,2.1658,3720152.459065
2025-01-01 13:30:00+00:00,2.1658,2.1685,2.1541,2.1614,2067932.080376
2025-01-01 14:00:00+00:00,2.1609,2.1806,2.1603,2.1668,3849359.037336
2025-01-01 14:30:00+00:00,2.1667,2.1748,2.1561,2.1693,1931940.679709
2025-01-01 15:00:00+00:00,2.1701,2.178,2.1588,2.1763,1602784.615665
2025-01-01 15:30:00+00:00,2.1759,2.2299,2.1694,2.2243,10708708.518752
2025-01-01 16:00:00+00:00,2.2237,2.2799,2.2185,2.2789,18226256.324298
2025-01-01 16:30:00+00:00,2.2789,2.28,2.247,2.2592,8014679.398521
2025-01-01 17:00:00+00:00,2.2589,2.2623,2.1981,2.2265,9811340.99547
2025-01-01 17:30:00+00:00,2.2264,2.2584,2.2264,2.2542,7324285.128721
2025-01-01 18:00:00+00:00,2.2544,2.2749,2.243,2.27,7400190.816237
2025-01-01 18:30:00+00:00,2.2704,2.3282,2.2682,2.3165,13346686.785015
2025-01-01 19:00:00+00:00,2.3164,2.3372,2.2959,2.2959,9841620.828385
2025-01-01 19:30:00+00:00,2.296,2.3271,2.2809,2.3129,7590627.397282
2025-01-01 20:00:00+00:00,2.3132,2.3152,2.2967,2.3063,6010708.583522
2025-01-01 20:30:00+00:00,2.3065,2.3105,2.2908,2.3019,3910462.779486
2025-01-01 21:00:00+00:00,2.3021,2.3194,2.2823,2.3092,10169447.654841
2025-01-01 21:30:00+00:00,2.3091,2.3253,2.3024,2.3157,5362630.686638
2025-01-01 22:00:00+00:00,2.3162,2.3178,2.2932,2.3071,5610080.01306
2025-01-01 22:30:00+00:00,2.3076,2.35,2.3055,2.3446,5216696.873202
2025-01-01 23:00:00+00:00,2.3447,2.3484,2.3182,2.3313,5433660.686297
2025-01-01 23:30:00+00:00,2.331,2.3313,2.3091,2.3285,4334904.289846
2025-01-02 00:00:00+00:00,2.3284,2.4476,2.3251,2.4369,23772609.22878
2025-01-02 00:30:00+00:00,2.4375,2.4398,2.3785,2.3837,11820818.664608
