datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,1.283,1.382,1.262,1.363,2020988.53
2025-01-02 00:00:00+00:00,1.367,1.431,1.353,1.366,3401582.76
2025-01-03 00:00:00+00:00,1.366,1.442,1.349,1.435,2434117.25
2025-01-04 00:00:00+00:00,1.441,1.464,1.401,1.418,1035010.15
2025-01-05 00:00:00+00:00,1.418,1.452,1.4,1.447,1178162.62
2025-01-06 00:00:00+00:00,1.448,1.489,1.422,1.449,2633599.9
2025-01-07 00:00:00+00:00,1.449,1.471,1.306,1.31,2346334.84
2025-01-08 00:00:00+00:00,1.309,1.343,1.26,1.325,2632017.51
2025-01-09 00:00:00+00:00,1.325,1.511,1.238,1.274,5584115.9
2025-01-10 00:00:00+00:00,1.275,1.296,1.23,1.284,1669556.77
2025-01-11 00:00:00+00:00,1.285,1.309,1.255,1.279,829022.72
2025-01-12 00:00:00+00:00,1.281,1.302,1.243,1.256,1550675.39
2025-01-13 00:00:00+00:00,1.258,1.287,1.163,1.235,2695776.05
2025-01-14 00:00:00+00:00,1.235,1.277,1.225,1.271,1271567.93
2025-01-15 00:00:00+00:00,1.27,1.354,1.255,1.349,1916561.54
2025-01-16 00:00:00+00:00,1.349,1.402,1.323,1.353,2320708.76
2025-01-17 00:00:00+00:00,1.354,1.429,1.354,1.419,1971627.47
2025-01-18 00:00:00+00:00,1.42,1.428,1.304,1.328,1411528.96
2025-01-19 00:00:00+00:00,1.328,1.359,1.194,1.218,2030775.68
2025-01-20 00:00:00+00:00,1.218,1.33,1.189,1.237,3403055.27
2025-01-21 00:00:00+00:00,1.237,1.248,1.181,1.224,1483415.41
2025-01-22 00:00:00+00:00,1.223,1.227,1.175,1.179,1138330.71
2025-01-23 00:00:00+00:00,1.18,1.198,1.136,1.17,995580.06
2025-01-24 00:00:00+00:00,1.171,1.199,1.136,1.146,602822.14
2025-01-25 00:00:00+00:00,1.145,1.176,1.13,1.153,391457.7
2025-01-26 00:00:00+00:00,1.153,1.179,1.116,1.116,799222.63
2025-01-27 00:00:00+00:00,1.116,1.123,1.011,1.1,1629217.84
2025-01-28 00:00:00+00:00,1.1,1.113,1.037,1.047,820549.01
2025-01-29 00:00:00+00:00,1.045,1.091,1.029,1.06,1339058.2
2025-01-30 00:00:00+00:00,1.061,1.121,1.053,1.091,886063.55
2025-01-31 00:00:00+00:00,1.092,1.136,1.072,1.092,770592.56
2025-02-01 00:00:00+00:00,1.093,1.103,0.984,1.009,1305433.21
2025-02-02 00:00:00+00:00,1.005,1.027,0.845,0.887,1974780.27
2025-02-03 00:00:00+00:00,0.887,0.952,0.685,0.94,3982998.81
2025-02-04 00:00:00+00:00,0.941,0.95,0.842,0.88,1275910.47
2025-02-05 00:00:00+00:00,0.879,0.912,0.855,0.864,466037.82
2025-02-06 00:00:00+00:00,0.863,0.885,0.822,0.832,750476.06
2025-02-07 00:00:00+00:00,0.832,0.88,0.812,0.837,919462.38
2025-02-08 00:00:00+00:00,0.837,0.88,0.827,0.878,454956.17
2025-02-09 00:00:00+00:00,0.877,0.927,0.847,0.881,873740.04
2025-02-10 00:00:00+00:00,0.88,0.901,0.852,0.893,708086.94
2025-02-11 00:00:00+00:00,0.893,0.928,0.855,0.864,918434.85
2025-02-12 00:00:00+00:00,0.864,0.923,0.844,0.918,1255048.63
2025-02-13 00:00:00+00:00,0.919,0.924,0.875,0.899,594545.8
2025-02-14 00:00:00+00:00,0.9,0.93,0.889,0.914,1070344.09
2025-02-15 00:00:00+00:00,0.913,0.926,0.877,0.887,635770.34
2025-02-16 00:00:00+00:00,0.887,0.934,0.862,0.899,1378595.18
2025-02-17 00:00:00+00:00,0.898,0.922,0.876,0.891,600378.37
2025-02-18 00:00:00+00:00,0.89,0.896,0.825,0.854,748950.43
2025-02-19 00:00:00+00:00,0.852,0.877,0.841,0.873,488736.86
2025-02-20 00:00:00+00:00,0.872,0.899,0.864,0.896,563526.35
2025-02-21 00:00:00+00:00,0.896,0.92,0.853,0.871,533577.86
2025-02-22 00:00:00+00:00,0.87,0.898,0.868,0.894,444606.14
2025-02-23 00:00:00+00:00,0.894,0.895,0.859,0.866,393855.45
2025-02-24 00:00:00+00:00,0.866,0.867,0.763,0.774,1064561.76
2025-02-25 00:00:00+00:00,0.774,0.796,0.727,0.777,1446308.27
2025-02-26 00:00:00+00:00,0.777,0.789,0.74,0.759,1881701.82
2025-02-27 00:00:00+00:00,0.76,0.786,0.74,0.762,727226.5
2025-02-28 00:00:00+00:00,0.762,0.774,0.697,0.767,1209833.4
2025-03-01 00:00:00+00:00,0.766,0.773,0.737,0.765,294967.86
2025-03-02 00:00:00+00:00,0.764,0.862,0.751,0.859,1192798.0
2025-03-03 00:00:00+00:00,0.86,0.869,0.733,0.741,806974.64
2025-03-04 00:00:00+00:00,0.74,0.745,0.68,0.735,1126160.59
2025-03-05 00:00:00+00:00,0.734,0.779,0.732,0.776,1012919.15
2025-03-06 00:00:00+00:00,0.776,0.798,0.758,0.766,830975.62
2025-03-07 00:00:00+00:00,0.767,0.798,0.727,0.761,886798.72
2025-03-08 00:00:00+00:00,0.762,0.765,0.733,0.741,273727.59
2025-03-09 00:00:00+00:00,0.74,0.745,0.672,0.678,540424.44
2025-03-10 00:00:00+00:00,0.68,0.727,0.638,0.639,1361829.46
2025-03-11 00:00:00+00:00,0.64,0.706,0.607,0.675,1255484.05
2025-03-12 00:00:00+00:00,0.676,0.708,0.659,0.686,1074919.12
2025-03-13 00:00:00+00:00,0.687,0.7,0.663,0.677,840319.37
2025-03-14 00:00:00+00:00,0.676,0.715,0.674,0.707,832410.84
2025-03-15 00:00:00+00:00,0.708,0.717,0.7,0.713,300267.89
2025-03-16 00:00:00+00:00,0.712,0.718,0.676,0.68,464666.61
2025-03-17 00:00:00+00:00,0.681,0.717,0.68,0.715,561720.33
2025-03-18 00:00:00+00:00,0.716,0.719,0.68,0.708,429094.89
2025-03-19 00:00:00+00:00,0.708,0.731,0.708,0.73,484887.69
2025-03-20 00:00:00+00:00,0.73,0.734,0.702,0.709,408353.08
2025-03-21 00:00:00+00:00,0.709,0.711,0.682,0.685,245252.17
2025-03-22 00:00:00+00:00,0.686,0.711,0.678,0.692,482690.13
2025-03-23 00:00:00+00:00,0.691,0.701,0.68,0.695,300127.36
2025-03-24 00:00:00+00:00,0.695,0.731,0.682,0.722,776703.1
2025-03-25 00:00:00+00:00,0.722,0.733,0.712,0.731,398140.01
2025-03-26 00:00:00+00:00,0.731,0.749,0.713,0.722,599480.54
2025-03-27 00:00:00+00:00,0.722,0.739,0.715,0.731,300450.19
2025-03-28 00:00:00+00:00,0.728,0.733,0.671,0.678,465814.33
2025-03-29 00:00:00+00:00,0.678,0.682,0.643,0.652,465804.57
2025-03-30 00:00:00+00:00,0.653,0.663,0.641,0.654,281486.48
2025-03-31 00:00:00+00:00,0.655,0.665,0.633,0.654,379948.1
2025-04-01 00:00:00+00:00,0.654,0.678,0.649,0.663,305947.75
2025-04-02 00:00:00+00:00,0.664,0.695,0.637,0.637,1434934.84
2025-04-03 00:00:00+00:00,0.637,0.677,0.622,0.65,1188735.31
2025-04-04 00:00:00+00:00,0.65,0.661,0.631,0.654,617497.13
2025-04-05 00:00:00+00:00,0.655,0.664,0.649,0.656,196805.21
2025-04-06 00:00:00+00:00,0.657,0.657,0.57,0.582,646451.14
2025-04-07 00:00:00+00:00,0.582,0.611,0.531,0.595,1601365.99
2025-04-08 00:00:00+00:00,0.594,0.614,0.57,0.575,491128.63
2025-04-09 00:00:00+00:00,0.575,0.62,0.552,0.605,1876345.31
2025-04-10 00:00:00+00:00,0.605,0.605,0.53,0.543,1875669.97
2025-04-11 00:00:00+00:00,0.543,0.557,0.534,0.542,1507837.36
2025-04-12 00:00:00+00:00,0.543,0.559,0.532,0.557,968800.1
2025-04-13 00:00:00+00:00,0.559,0.561,0.495,0.503,1798931.86
2025-04-14 00:00:00+00:00,0.504,0.516,0.49,0.494,1119711.7
2025-04-15 00:00:00+00:00,0.495,0.526,0.489,0.494,1596525.95
2025-04-16 00:00:00+00:00,0.494,0.515,0.49,0.492,1138518.89
2025-04-17 00:00:00+00:00,0.492,0.507,0.486,0.497,1447374.09
2025-04-18 00:00:00+00:00,0.499,0.505,0.489,0.501,412526.43
2025-04-19 00:00:00+00:00,0.501,0.507,0.498,0.504,340573.47
2025-04-20 00:00:00+00:00,0.505,0.511,0.485,0.495,553012.7
2025-04-21 00:00:00+00:00,0.496,0.518,0.493,0.501,815294.95
2025-04-22 00:00:00+00:00,0.502,0.545,0.493,0.535,1204148.13
2025-04-23 00:00:00+00:00,0.535,0.55,0.528,0.542,1320777.01
2025-04-24 00:00:00+00:00,0.542,0.555,0.52,0.553,1265504.19
2025-04-25 00:00:00+00:00,0.553,0.58,0.547,0.566,1609832.51
2025-04-26 00:00:00+00:00,0.566,0.586,0.556,0.572,1177056.68
2025-04-27 00:00:00+00:00,0.572,0.577,0.543,0.551,892198.47
2025-04-28 00:00:00+00:00,0.551,0.567,0.535,0.555,1409064.45
2025-04-29 00:00:00+00:00,0.555,0.57,0.547,0.555,847229.55
2025-04-30 00:00:00+00:00,0.555,0.563,0.533,0.552,794005.64
2025-05-01 00:00:00+00:00,0.552,0.583,0.551,0.565,1206337.65
2025-05-02 00:00:00+00:00,0.565,0.573,0.558,0.571,638011.68
2025-05-03 00:00:00+00:00,0.572,0.576,0.545,0.557,369478.59
2025-05-04 00:00:00+00:00,0.557,0.56,0.534,0.536,736363.94
2025-05-05 00:00:00+00:00,0.537,0.547,0.529,0.541,556360.87
2025-05-06 00:00:00+00:00,0.541,0.544,0.514,0.536,503033.11
2025-05-07 00:00:00+00:00,0.537,0.546,0.529,0.54,427547.06
2025-05-08 00:00:00+00:00,0.542,0.602,0.538,0.595,956152.72
2025-05-09 00:00:00+00:00,0.597,0.635,0.591,0.63,761561.31
2025-05-10 00:00:00+00:00,0.631,0.692,0.626,0.692,751940.11
2025-05-11 00:00:00+00:00,0.692,0.697,0.651,0.667,426917.17
2025-05-12 00:00:00+00:00,0.667,0.702,0.644,0.684,1725446.5
2025-05-13 00:00:00+00:00,0.684,0.702,0.647,0.694,616167.27
2025-05-14 00:00:00+00:00,0.694,0.7,0.663,0.672,705129.82
2025-05-15 00:00:00+00:00,0.672,0.677,0.625,0.639,836243.62
2025-05-16 00:00:00+00:00,0.64,0.669,0.631,0.637,672791.68
2025-05-17 00:00:00+00:00,0.636,0.636,0.605,0.613,346729.52
2025-05-18 00:00:00+00:00,0.613,0.645,0.6,0.637,575952.27
2025-05-19 00:00:00+00:00,0.638,0.638,0.591,0.616,705468.64
2025-05-20 00:00:00+00:00,0.616,0.633,0.602,0.625,361894.61
2025-05-21 00:00:00+00:00,0.626,0.645,0.613,0.636,1024531.21
2025-05-22 00:00:00+00:00,0.636,0.662,0.633,0.657,647335.92
2025-05-23 00:00:00+00:00,0.657,0.674,0.614,0.617,694098.4
2025-05-24 00:00:00+00:00,0.617,0.635,0.614,0.616,152580.85
2025-05-25 00:00:00+00:00,0.616,0.619,0.596,0.619,307957.94
2025-05-26 00:00:00+00:00,0.62,0.626,0.605,0.611,980316.72
2025-05-27 00:00:00+00:00,0.612,0.629,0.597,0.622,619518.46
2025-05-28 00:00:00+00:00,0.622,0.646,0.614,0.643,588948.55
2025-05-29 00:00:00+00:00,0.645,0.657,0.613,0.617,713114.83
2025-05-30 00:00:00+00:00,0.617,0.621,0.561,0.563,647905.67
2025-05-31 00:00:00+00:00,0.564,0.576,0.547,0.571,695586.8
2025-06-01 00:00:00+00:00,0.569,0.576,0.557,0.571,283151.23
2025-06-02 00:00:00+00:00,0.572,0.582,0.559,0.581,446722.92
2025-06-03 00:00:00+00:00,0.58,0.596,0.58,0.587,426914.02
2025-06-04 00:00:00+00:00,0.587,0.594,0.569,0.575,304177.04
2025-06-05 00:00:00+00:00,0.576,0.583,0.534,0.541,577002.03
2025-06-06 00:00:00+00:00,0.54,0.566,0.539,0.555,524953.07
2025-06-07 00:00:00+00:00,0.556,0.573,0.554,0.57,174463.02
2025-06-08 00:00:00+00:00,0.571,0.582,0.563,0.572,261022.86
2025-06-09 00:00:00+00:00,0.572,0.594,0.557,0.593,365126.18
2025-06-10 00:00:00+00:00,0.594,0.626,0.591,0.622,562845.86
2025-06-11 00:00:00+00:00,0.622,0.638,0.603,0.612,450428.7
2025-06-12 00:00:00+00:00,0.615,0.616,0.588,0.59,440365.42
2025-06-13 00:00:00+00:00,0.588,0.588,0.55,0.571,456457.07
2025-06-14 00:00:00+00:00,0.572,0.575,0.553,0.56,188703.18
2025-06-15 00:00:00+00:00,0.56,0.564,0.548,0.56,161753.91
2025-06-16 00:00:00+00:00,0.561,0.583,0.555,0.562,291308.89
2025-06-17 00:00:00+00:00,0.561,0.569,0.533,0.54,148043.71
2025-06-18 00:00:00+00:00,0.541,0.546,0.522,0.537,643252.19
2025-06-19 00:00:00+00:00,0.537,0.543,0.525,0.532,216594.11
2025-06-20 00:00:00+00:00,0.535,0.539,0.506,0.515,505825.3
