datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,1.283,1.295,1.277,1.292,293864.14
2025-01-01 06:00:00+00:00,1.292,1.297,1.262,1.285,284641.25
2025-01-01 12:00:00+00:00,1.286,1.347,1.283,1.33,668375.9
2025-01-01 18:00:00+00:00,1.331,1.382,1.325,1.363,774107.24
2025-01-02 00:00:00+00:00,1.367,1.431,1.362,1.364,1569212.08
2025-01-02 06:00:00+00:00,1.365,1.386,1.355,1.385,355027.63
2025-01-02 12:00:00+00:00,1.385,1.406,1.366,1.374,970559.04
2025-01-02 18:00:00+00:00,1.375,1.38,1.353,1.366,506784.01
2025-01-03 00:00:00+00:00,1.366,1.392,1.349,1.364,626753.09
2025-01-03 06:00:00+00:00,1.364,1.422,1.36,1.417,508233.12
2025-01-03 12:00:00+00:00,1.417,1.438,1.412,1.422,791374.15
2025-01-03 18:00:00+00:00,1.422,1.442,1.421,1.435,507756.89
2025-01-04 00:00:00+00:00,1.441,1.449,1.419,1.44,493257.64
2025-01-04 06:00:00+00:00,1.444,1.464,1.419,1.433,196339.37
2025-01-04 12:00:00+00:00,1.432,1.45,1.401,1.416,260723.66
2025-01-04 18:00:00+00:00,1.418,1.424,1.409,1.418,84689.48
2025-01-05 00:00:00+00:00,1.418,1.422,1.4,1.41,167542.19
2025-01-05 06:00:00+00:00,1.409,1.444,1.407,1.431,369216.84
2025-01-05 12:00:00+00:00,1.431,1.451,1.416,1.434,418708.79
2025-01-05 18:00:00+00:00,1.432,1.452,1.427,1.447,222694.8
2025-01-06 00:00:00+00:00,1.448,1.47,1.422,1.459,985997.86
2025-01-06 06:00:00+00:00,1.46,1.481,1.448,1.48,846643.59
2025-01-06 12:00:00+00:00,1.481,1.489,1.443,1.459,525378.01
2025-01-06 18:00:00+00:00,1.456,1.466,1.439,1.449,275580.44
2025-01-07 00:00:00+00:00,1.449,1.451,1.426,1.443,263026.66
2025-01-07 06:00:00+00:00,1.444,1.471,1.418,1.429,319599.53
2025-01-07 12:00:00+00:00,1.43,1.441,1.341,1.349,1317789.32
2025-01-07 18:00:00+00:00,1.35,1.354,1.306,1.31,445919.33
2025-01-08 00:00:00+00:00,1.309,1.328,1.286,1.287,621008.87
2025-01-08 06:00:00+00:00,1.287,1.295,1.26,1.271,307635.04
2025-01-08 12:00:00+00:00,1.271,1.343,1.263,1.302,1250383.35
2025-01-08 18:00:00+00:00,1.302,1.341,1.288,1.325,452990.25
2025-01-09 00:00:00+00:00,1.325,1.511,1.288,1.291,2735178.04
2025-01-09 06:00:00+00:00,1.293,1.296,1.255,1.28,540505.78
2025-01-09 12:00:00+00:00,1.28,1.298,1.242,1.27,1282109.2
2025-01-09 18:00:00+00:00,1.27,1.288,1.238,1.274,1026322.88
2025-01-10 00:00:00+00:00,1.275,1.277,1.23,1.262,451950.19
2025-01-10 06:00:00+00:00,1.263,1.292,1.256,1.283,156710.8
2025-01-10 12:00:00+00:00,1.282,1.293,1.238,1.288,612240.44
2025-01-10 18:00:00+00:00,1.29,1.296,1.276,1.284,448655.34
2025-01-11 00:00:00+00:00,1.285,1.296,1.264,1.281,136863.48
2025-01-11 06:00:00+00:00,1.282,1.286,1.265,1.276,82731.14
2025-01-11 12:00:00+00:00,1.276,1.276,1.255,1.262,271312.59
2025-01-11 18:00:00+00:00,1.265,1.309,1.257,1.279,338115.51
2025-01-12 00:00:00+00:00,1.281,1.302,1.276,1.294,391405.94
2025-01-12 06:00:00+00:00,1.294,1.295,1.255,1.266,341693.66
2025-01-12 12:00:00+00:00,1.265,1.284,1.258,1.28,455370.61
