datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,56.21,56.43,56.21,56.43,74.53849
2025-01-01 00:15:00+00:00,56.35,56.62,56.33,56.58,368.94534
2025-01-01 00:30:00+00:00,56.66,56.8,56.53,56.54,650.66068
2025-01-01 00:45:00+00:00,56.6,56.63,56.35,56.62,1391.07607
2025-01-01 01:00:00+00:00,56.61,56.61,56.37,56.37,224.6822
2025-01-01 01:15:00+00:00,56.34,56.35,56.06,56.13,313.43159
2025-01-01 01:30:00+00:00,56.17,56.18,56.06,56.16,220.70421
2025-01-01 01:45:00+00:00,56.15,56.2,55.93,56.07,262.92134
2025-01-01 02:00:00+00:00,56.1,56.16,55.98,56.04,62.07489
2025-01-01 02:15:00+00:00,56.01,56.12,55.97,56.05,27.41278
2025-01-01 02:30:00+00:00,56.0,56.07,55.87,55.89,148.63286
2025-01-01 02:45:00+00:00,56.02,56.07,55.87,55.88,14.06796
2025-01-01 03:00:00+00:00,55.82,55.83,55.68,55.77,32.95268
2025-01-01 03:15:00+00:00,55.71,55.74,55.58,55.74,182.59305
2025-01-01 03:30:00+00:00,55.77,55.85,55.66,55.77,207.8504
2025-01-01 03:45:00+00:00,55.76,55.84,55.7,55.81,153.16569
2025-01-01 04:00:00+00:00,55.81,55.82,55.77,55.81,199.9449
2025-01-01 04:15:00+00:00,55.67,55.82,55.66,55.82,590.44603
2025-01-01 04:30:00+00:00,55.82,56.1,55.82,56.1,178.20484
2025-01-01 04:45:00+00:00,56.1,56.1,55.91,55.91,66.98121
2025-01-01 05:00:00+00:00,55.95,55.99,55.84,55.99,123.83726
2025-01-01 05:15:00+00:00,55.96,55.96,55.82,55.82,78.47527
2025-01-01 05:30:00+00:00,55.82,55.96,55.81,55.96,333.40248
2025-01-01 05:45:00+00:00,55.92,55.92,55.84,55.88,24.4105
2025-01-01 06:00:00+00:00,55.91,55.91,55.66,55.66,18.12982
2025-01-01 06:15:00+00:00,55.71,55.83,55.71,55.71,81.75995
2025-01-01 06:30:00+00:00,55.7,55.75,55.46,55.74,780.01069
2025-01-01 06:45:00+00:00,55.76,55.92,55.68,55.86,31.7143
2025-01-01 07:00:00+00:00,55.88,55.93,55.72,55.76,56.00509
2025-01-01 07:15:00+00:00,55.72,55.73,55.45,55.6,105.52406
2025-01-01 07:30:00+00:00,55.55,55.61,55.46,55.48,37.61917
2025-01-01 07:45:00+00:00,55.48,55.55,55.43,55.55,94.68384
2025-01-01 08:00:00+00:00,55.43,55.47,55.4,55.4,17.79851
2025-01-01 08:15:00+00:00,55.41,55.41,55.16,55.37,31.19022
2025-01-01 08:30:00+00:00,55.35,55.51,55.32,55.38,9.75619
2025-01-01 08:45:00+00:00,55.43,55.59,55.39,55.59,0.62463
2025-01-01 09:00:00+00:00,55.57,55.65,55.23,55.23,31.61716
2025-01-01 09:15:00+00:00,55.31,55.37,55.0,55.37,360.26894
2025-01-01 09:30:00+00:00,55.4,55.42,55.0,55.3,145.76321
2025-01-01 09:45:00+00:00,55.3,55.56,55.3,55.56,4.04462
2025-01-01 10:00:00+00:00,55.58,55.58,55.34,55.34,8.34758
2025-01-01 10:15:00+00:00,55.36,55.37,55.12,55.23,122.77044
2025-01-01 10:30:00+00:00,55.27,55.51,55.27,55.47,7.60651
2025-01-01 10:45:00+00:00,55.55,55.55,55.47,55.47,1.36233
2025-01-01 11:00:00+00:00,55.59,55.7,55.59,55.67,45.27047
2025-01-01 11:15:00+00:00,55.72,55.95,55.55,55.55,88.75844
2025-01-01 11:30:00+00:00,55.49,55.66,55.3,55.65,202.95225
2025-01-01 11:45:00+00:00,55.58,55.63,55.49,55.49,161.83024
2025-01-01 12:00:00+00:00,55.45,55.58,55.27,55.42,72.00176
2025-01-01 12:15:00+00:00,55.42,55.74,55.42,55.74,9.80663
2025-01-01 12:30:00+00:00,55.85,56.01,55.67,55.73,1501.3348
2025-01-01 12:45:00+00:00,55.71,55.96,55.71,55.96,1.85095
2025-01-01 13:00:00+00:00,55.89,56.19,55.7,55.76,126.03706
2025-01-01 13:15:00+00:00,55.77,55.87,55.41,55.63,18.13312
2025-01-01 13:30:00+00:00,55.57,55.82,55.5,55.8,111.65638
2025-01-01 13:45:00+00:00,55.78,55.96,55.77,55.95,142.33381
2025-01-01 14:00:00+00:00,55.89,56.08,55.83,56.08,536.86976
2025-01-01 14:15:00+00:00,56.12,56.12,55.78,55.78,9.87464
2025-01-01 14:30:00+00:00,55.51,55.86,55.46,55.83,13.5365
2025-01-01 14:45:00+00:00,55.91,56.16,55.91,56.16,2.91078
2025-01-01 15:00:00+00:00,56.07,56.8,55.99,56.25,404.68595
2025-01-01 15:15:00+00:00,56.39,56.39,56.17,56.23,3.14283
2025-01-01 15:30:00+00:00,56.33,56.83,56.31,56.83,78.78169
2025-01-01 15:45:00+00:00,56.86,56.95,56.68,56.69,46.08607
2025-01-01 16:00:00+00:00,56.8,56.94,56.37,56.56,150.39322
2025-01-01 16:15:00+00:00,56.63,56.87,56.44,56.85,46.28064
2025-01-01 16:30:00+00:00,56.87,56.89,56.49,56.49,106.35997
2025-01-01 16:45:00+00:00,56.56,56.76,56.54,56.69,23.63871
2025-01-01 17:00:00+00:00,56.71,56.71,56.26,56.44,487.14587
2025-01-01 17:15:00+00:00,56.5,56.5,56.22,56.44,86.82958
2025-01-01 17:30:00+00:00,56.47,57.28,56.46,57.28,127.02493
2025-01-01 17:45:00+00:00,57.24,57.45,57.14,57.37,379.93928
2025-01-01 18:00:00+00:00,57.36,57.46,57.05,57.19,220.90338
2025-01-01 18:15:00+00:00,57.16,57.18,56.94,56.94,109.27149
2025-01-01 18:30:00+00:00,57.07,57.59,57.07,57.59,418.70784
2025-01-01 18:45:00+00:00,57.6,57.73,57.34,57.57,153.50331
2025-01-01 19:00:00+00:00,57.77,58.51,57.77,58.05,1184.91336
2025-01-01 19:15:00+00:00,58.0,58.0,57.73,57.78,79.98417
2025-01-01 19:30:00+00:00,57.73,58.0,57.6,57.9,105.94722
2025-01-01 19:45:00+00:00,58.0,58.58,58.0,58.45,231.25056
2025-01-01 20:00:00+00:00,58.53,58.66,58.43,58.43,21.29092
2025-01-01 20:15:00+00:00,58.44,58.68,58.19,58.68,73.84088
2025-01-01 20:30:00+00:00,58.69,58.75,58.39,58.45,12.54793
2025-01-01 20:45:00+00:00,58.45,58.73,58.44,58.73,109.72855
2025-01-01 21:00:00+00:00,58.78,59.04,58.3,58.66,54.09873
2025-01-01 21:15:00+00:00,58.68,58.89,58.61,58.8,42.29788
2025-01-01 21:30:00+00:00,58.77,58.83,58.42,58.43,39.39979
2025-01-01 21:45:00+00:00,58.48,58.71,58.42,58.71,48.61832
2025-01-01 22:00:00+00:00,58.63,58.63,58.17,58.26,21.71071
2025-01-01 22:15:00+00:00,58.3,58.3,58.13,58.21,68.5743
2025-01-01 22:30:00+00:00,58.27,58.3,58.2,58.27,55.07971
2025-01-01 22:45:00+00:00,58.21,58.61,58.21,58.5,37.89585
2025-01-01 23:00:00+00:00,58.49,58.54,58.24,58.27,33.4606
2025-01-01 23:15:00+00:00,58.2,58.2,58.04,58.12,18.34199
2025-01-01 23:30:00+00:00,58.1,58.14,57.92,58.08,271.53305
2025-01-01 23:45:00+00:00,58.08,58.29,58.03,58.09,268.17288
2025-01-02 00:00:00+00:00,58.16,58.19,57.79,57.92,464.16695
2025-01-02 00:15:00+00:00,57.92,58.81,57.81,58.47,34.27813
2025-01-02 00:30:00+00:00,58.54,59.15,58.54,59.08,199.44107
2025-01-02 00:45:00+00:00,59.11,59.18,58.76,58.9,1389.0223
2025-01-02 01:00:00+00:00,59.0,59.13,58.95,59.07,40.58743
2025-01-02 01:15:00+00:00,59.07,59.07,58.82,58.82,196.74683
2025-01-02 01:30:00+00:00,58.79,58.79,58.4,58.47,124.13675
2025-01-02 01:45:00+00:00,58.47,58.47,58.38,58.4,210.52689
2025-01-02 02:00:00+00:00,58.4,58.58,58.29,58.43,743.06092
2025-01-02 02:15:00+00:00,58.28,59.19,58.28,59.19,207.9468
2025-01-02 02:30:00+00:00,59.14,59.8,59.14,59.78,55.12766
2025-01-02 02:45:00+00:00,59.82,60.11,59.8,59.94,52.31716
2025-01-02 03:00:00+00:00,59.98,59.98,59.52,59.84,20.33817
2025-01-02 03:15:00+00:00,59.93,60.44,59.93,59.99,48.55412
2025-01-02 03:30:00+00:00,59.99,60.65,59.99,60.65,665.25132
2025-01-02 03:45:00+00:00,60.65,60.84,59.99,60.0,804.86035
2025-01-02 04:00:00+00:00,60.0,60.16,59.99,60.0,450.47414
2025-01-02 04:15:00+00:00,60.02,60.09,59.99,60.01,283.1834
2025-01-02 04:30:00+00:00,59.99,60.32,59.88,60.32,82.99204
2025-01-02 04:45:00+00:00,60.49,60.82,60.48,60.8,13.73774
2025-01-02 05:00:00+00:00,60.81,61.27,60.8,61.18,702.14056877
2025-01-02 05:15:00+00:00,60.99,60.99,60.63,60.63,205.23532
2025-01-02 05:30:00+00:00,60.69,60.91,60.39,60.82,84.1807
2025-01-02 05:45:00+00:00,60.89,60.9,60.19,60.29,158.44434
2025-01-02 06:00:00+00:00,60.29,60.36,60.09,60.19,36.45742
2025-01-02 06:15:00+00:00,60.12,60.2,59.7,59.7,292.07512
2025-01-02 06:30:00+00:00,59.7,60.37,59.7,60.19,128.93714
2025-01-02 06:45:00+00:00,60.21,60.28,59.88,59.91,2.5863
2025-01-02 07:00:00+00:00,59.91,59.91,59.68,59.78,42.74903
2025-01-02 07:15:00+00:00,59.79,59.96,59.78,59.94,28.33036
2025-01-02 07:30:00+00:00,59.84,60.0,59.83,59.84,26.05198
2025-01-02 07:45:00+00:00,59.91,60.04,59.83,60.04,6.06202
2025-01-02 08:00:00+00:00,59.83,59.98,59.81,59.92,50.40357
2025-01-02 08:15:00+00:00,59.84,59.85,59.42,59.61,183.00761
2025-01-02 08:30:00+00:00,59.56,59.84,59.56,59.83,21.41
2025-01-02 08:45:00+00:00,59.72,60.07,59.7,59.99,8.61201
2025-01-02 09:00:00+00:00,59.99,59.99,58.42,59.1,407.01148
2025-01-02 09:15:00+00:00,59.18,59.22,58.99,59.21,136.83246
2025-01-02 09:30:00+00:00,59.23,59.23,58.95,59.04,407.49726
2025-01-02 09:45:00+00:00,59.09,59.19,58.95,58.97,54.12415
2025-01-02 10:00:00+00:00,58.9,58.9,58.56,58.56,92.85198
2025-01-02 10:15:00+00:00,58.72,58.88,58.69,58.88,12.6176
2025-01-02 10:30:00+00:00,58.88,59.06,58.88,58.92,35.98709
2025-01-02 10:45:00+00:00,58.97,59.06,58.78,58.81,249.84931
2025-01-02 11:00:00+00:00,58.84,59.02,58.81,58.83,109.809
2025-01-02 11:15:00+00:00,58.86,59.15,58.76,59.05,60.62662
