datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,56.21,59.04,55.0,58.09,16544.54973
2025-01-02 00:00:00+00:00,58.16,61.27,57.79,59.39,19512.1546614
2025-01-03 00:00:00+00:00,59.42,62.03,56.72,60.84,30760.54533891
2025-01-04 00:00:00+00:00,60.87,61.04,58.71,59.28,18318.18083227
2025-01-05 00:00:00+00:00,59.15,59.67,57.12,58.47,11895.44617193
2025-01-06 00:00:00+00:00,58.46,61.49,57.25,60.45,17780.778
2025-01-07 00:00:00+00:00,60.42,60.42,51.42,52.25,25127.3936346
2025-01-08 00:00:00+00:00,52.27,53.5,47.57,50.28,30990.99616696
2025-01-09 00:00:00+00:00,50.28,50.94,46.22,47.04,34635.74473918
2025-01-10 00:00:00+00:00,47.02,48.84,46.59,48.27,21259.32223595
2025-01-11 00:00:00+00:00,48.26,49.53,47.24,48.55,19151.4880534
2025-01-12 00:00:00+00:00,48.57,48.96,47.36,48.05,17546.24383097
2025-01-13 00:00:00+00:00,48.03,49.31,43.9,48.37,40411.83723889
2025-01-14 00:00:00+00:00,48.39,51.6,48.21,51.15,13927.95468234
2025-01-15 00:00:00+00:00,51.15,55.41,50.13,55.34,25891.25439819
2025-01-16 00:00:00+00:00,55.35,55.42,52.56,54.01,17013.57039
2025-01-17 00:00:00+00:00,54.06,56.84,53.86,54.92,20319.51157
2025-01-18 00:00:00+00:00,54.9,55.11,50.49,52.0,25988.93463
2025-01-19 00:00:00+00:00,51.86,52.52,45.75,46.89,41579.06549
2025-01-20 00:00:00+00:00,46.58,51.72,45.53,47.45,26426.06802301
2025-01-21 00:00:00+00:00,47.35,50.8,45.59,49.14,21985.10774988
2025-01-22 00:00:00+00:00,49.11,50.05,48.22,48.52,17358.33955
2025-01-23 00:00:00+00:00,48.52,49.46,46.9,48.67,17619.44955
2025-01-24 00:00:00+00:00,48.85,49.43,45.96,46.19,52431.31485
2025-01-25 00:00:00+00:00,46.09,46.9,45.68,46.39,9910.82404
2025-01-26 00:00:00+00:00,46.39,47.22,44.75,44.75,9903.81053
2025-01-27 00:00:00+00:00,44.71,45.33,40.87,43.15,25343.66544781
2025-01-28 00:00:00+00:00,43.13,44.91,41.4,41.71,11035.11118
2025-01-29 00:00:00+00:00,41.57,43.97,41.0,42.42,9793.5003
2025-01-30 00:00:00+00:00,42.36,45.94,42.06,43.9,15804.32731
2025-01-31 00:00:00+00:00,43.92,45.38,42.42,43.1,16702.32264
2025-02-01 00:00:00+00:00,43.08,43.71,39.18,39.18,13356.80154075
2025-02-02 00:00:00+00:00,39.18,40.0,31.54,33.24,48191.86612732
2025-02-03 00:00:00+00:00,33.0,35.99,25.0,35.48,51684.62317631
2025-02-04 00:00:00+00:00,35.57,35.76,31.11,32.12,17972.60907
2025-02-05 00:00:00+00:00,32.1,33.61,31.57,32.11,10462.01549
2025-02-06 00:00:00+00:00,32.2,32.6,29.36,29.82,19486.79530062
2025-02-07 00:00:00+00:00,29.79,32.25,29.1,30.04,20642.18328851
2025-02-08 00:00:00+00:00,30.03,31.97,29.55,31.93,9999.18403
2025-02-09 00:00:00+00:00,31.87,34.16,30.77,32.5,18068.56755889
2025-02-10 00:00:00+00:00,32.4,33.14,31.2,32.48,7797.70106292
2025-02-11 00:00:00+00:00,32.52,34.83,32.23,33.03,8576.09030469
2025-02-12 00:00:00+00:00,33.04,33.37,29.99,32.65,25329.14792
2025-02-13 00:00:00+00:00,32.65,33.82,31.11,32.44,14939.36588063
2025-02-14 00:00:00+00:00,32.45,33.79,32.2,33.02,9623.41399
2025-02-15 00:00:00+00:00,32.92,33.5,31.95,32.21,4434.81765
2025-02-16 00:00:00+00:00,32.15,35.65,31.37,34.1,26414.53384175
2025-02-17 00:00:00+00:00,34.2,36.61,34.13,36.44,20827.3591066
2025-02-18 00:00:00+00:00,36.49,36.77,32.5,33.82,22756.82251
2025-02-19 00:00:00+00:00,33.83,36.72,33.41,36.22,9047.59456
2025-02-20 00:00:00+00:00,36.08,38.87,35.74,36.62,14900.23635
2025-02-21 00:00:00+00:00,36.62,38.11,34.18,35.07,18144.8886
2025-02-22 00:00:00+00:00,35.0,36.59,35.0,35.82,6630.73913
2025-02-23 00:00:00+00:00,35.86,37.88,35.46,35.84,9796.14877623
2025-02-24 00:00:00+00:00,35.61,35.8,31.83,32.97,21014.48634653
2025-02-25 00:00:00+00:00,33.11,34.69,30.59,33.42,21422.43153
2025-02-26 00:00:00+00:00,33.4,36.89,33.15,36.02,15740.39782
2025-02-27 00:00:00+00:00,35.95,37.61,35.54,36.59,12574.07208
2025-02-28 00:00:00+00:00,36.58,37.62,34.99,37.58,19551.95158
2025-03-01 00:00:00+00:00,37.55,37.91,36.56,37.81,5942.07961184
2025-03-02 00:00:00+00:00,37.84,43.15,37.34,41.25,40434.09651312
2025-03-03 00:00:00+00:00,41.27,42.79,36.28,36.33,11342.98513703
2025-03-04 00:00:00+00:00,36.22,36.52,33.15,35.02,13236.11798
2025-03-05 00:00:00+00:00,34.98,37.35,34.94,36.34,9910.44755
2025-03-06 00:00:00+00:00,36.31,36.65,33.81,34.09,13236.2374
2025-03-07 00:00:00+00:00,34.05,34.41,32.76,32.92,15768.64625
2025-03-08 00:00:00+00:00,32.92,33.37,32.3,32.62,3929.61416
2025-03-09 00:00:00+00:00,32.57,32.64,29.23,29.91,10489.88487
2025-03-10 00:00:00+00:00,29.91,31.92,28.02,29.18,15363.34216
2025-03-11 00:00:00+00:00,29.2,31.05,28.01,30.2,73339.89664
2025-03-12 00:00:00+00:00,30.22,30.73,28.17,30.22,68140.11126
2025-03-13 00:00:00+00:00,30.22,31.23,29.71,30.95,12124.23481
2025-03-14 00:00:00+00:00,30.95,32.55,30.76,32.31,11066.31328
2025-03-15 00:00:00+00:00,32.32,32.51,31.51,32.28,4257.58196
2025-03-16 00:00:00+00:00,32.29,33.97,32.08,32.78,11073.15814
2025-03-17 00:00:00+00:00,32.78,34.86,32.73,34.26,10982.26734374
2025-03-18 00:00:00+00:00,34.17,34.22,32.31,33.12,6627.4497
2025-03-19 00:00:00+00:00,33.12,34.38,32.87,34.25,13909.40615
2025-03-20 00:00:00+00:00,34.3,34.61,32.67,33.86,9116.97245
2025-03-21 00:00:00+00:00,33.86,33.92,29.61,30.85,21269.40985151
2025-03-22 00:00:00+00:00,30.81,31.39,29.69,31.07,35177.84447
2025-03-23 00:00:00+00:00,31.07,32.05,30.64,31.02,6023.54121691
2025-03-24 00:00:00+00:00,31.02,32.99,30.87,32.4,10343.23344
2025-03-25 00:00:00+00:00,32.36,37.29,31.72,36.54,28391.27025
2025-03-26 00:00:00+00:00,36.52,39.5,35.98,38.91,19786.32229
2025-03-27 00:00:00+00:00,39.04,40.13,37.0,37.19,9928.51722
2025-03-28 00:00:00+00:00,37.16,37.61,35.3,36.92,12716.09461
2025-03-29 00:00:00+00:00,36.95,37.24,34.97,36.34,8888.37823
2025-03-30 00:00:00+00:00,36.49,37.86,35.82,37.53,4989.75727
