datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,56.21,56.8,55.58,55.84,5931.32332
2025-01-01 06:00:00+00:00,55.89,55.95,55.0,55.49,2445.49806
2025-01-01 12:00:00+00:00,55.45,57.45,55.27,57.27,4485.81083
2025-01-01 18:00:00+00:00,57.37,59.04,56.94,58.09,3681.91752
2025-01-02 00:00:00+00:00,58.16,61.27,57.79,60.29,7236.39415877
2025-01-02 06:00:00+00:00,60.29,60.37,58.42,59.35,2501.4976
2025-01-02 12:00:00+00:00,59.55,60.89,59.11,59.56,5194.18851715
2025-01-02 18:00:00+00:00,59.59,59.9,58.34,59.39,4580.07438548
2025-01-03 00:00:00+00:00,59.42,59.59,56.85,57.36,4545.09092434
2025-01-03 06:00:00+00:00,57.37,58.83,56.72,58.53,2965.01587136
2025-01-03 12:00:00+00:00,58.55,61.58,57.57,60.91,16972.87332963
2025-01-03 18:00:00+00:00,60.88,62.03,60.59,60.84,6277.56521358
2025-01-04 00:00:00+00:00,60.87,61.04,59.6,59.95,7814.76889719
2025-01-04 06:00:00+00:00,59.95,60.6,58.71,59.31,2188.59307
2025-01-04 12:00:00+00:00,59.38,60.81,58.92,59.6,3961.23039508
2025-01-04 18:00:00+00:00,59.65,59.88,58.74,59.28,4353.58847
2025-01-05 00:00:00+00:00,59.15,59.67,58.08,58.7,2860.0893412
2025-01-05 06:00:00+00:00,58.51,59.3,57.49,57.8,4232.13558
2025-01-05 12:00:00+00:00,57.92,58.31,57.12,57.37,1829.09899073
2025-01-05 18:00:00+00:00,57.37,58.91,57.15,58.47,2974.12226
2025-01-06 00:00:00+00:00,58.46,59.84,57.25,59.32,1986.50882
2025-01-06 06:00:00+00:00,59.32,59.7,58.01,59.16,2584.00897
2025-01-06 12:00:00+00:00,59.05,61.49,58.17,60.29,8910.76884
2025-01-06 18:00:00+00:00,60.3,60.45,58.88,60.45,4299.49137
2025-01-07 00:00:00+00:00,60.42,60.42,56.8,57.46,2332.75532092
2025-01-07 06:00:00+00:00,57.5,58.05,56.31,56.83,1830.10692752
2025-01-07 12:00:00+00:00,56.88,57.43,53.28,53.59,8446.81814278
2025-01-07 18:00:00+00:00,53.51,53.92,51.42,52.25,12517.71324338
2025-01-08 00:00:00+00:00,52.27,53.5,51.38,51.6,4975.3955
2025-01-08 06:00:00+00:00,51.7,52.05,50.55,50.95,4953.06745
2025-01-08 12:00:00+00:00,50.95,51.36,47.57,49.46,7984.22097379
2025-01-08 18:00:00+00:00,49.4,50.52,48.96,50.28,13078.31224317
2025-01-09 00:00:00+00:00,50.28,50.94,49.3,49.64,5530.79439654
2025-01-09 06:00:00+00:00,49.65,50.22,48.5,49.66,6202.27594551
2025-01-09 12:00:00+00:00,49.57,50.08,47.69,48.59,11116.12627713
2025-01-09 18:00:00+00:00,48.49,49.11,46.22,47.04,11786.54812
2025-01-10 00:00:00+00:00,47.02,47.92,46.72,47.75,7012.86740263
2025-01-10 06:00:00+00:00,47.65,48.84,47.44,48.3,6175.52586
2025-01-10 12:00:00+00:00,48.32,48.62,46.59,48.54,4853.68125
2025-01-10 18:00:00+00:00,48.44,48.71,47.86,48.27,3217.24772332
2025-01-11 00:00:00+00:00,48.26,48.51,47.37,47.83,1867.5249134
2025-01-11 06:00:00+00:00,47.87,48.15,47.24,47.92,2410.88282
2025-01-11 12:00:00+00:00,47.87,48.09,47.37,47.55,7526.64731
2025-01-11 18:00:00+00:00,47.58,49.53,47.25,48.55,7346.43301
2025-01-12 00:00:00+00:00,48.57,48.72,47.98,48.05,4354.27631
2025-01-12 06:00:00+00:00,48.21,48.24,47.36,47.92,3503.96093
2025-01-12 12:00:00+00:00,47.92,48.84,47.78,48.7,4506.60208736
2025-01-12 18:00:00+00:00,48.72,48.96,47.47,48.05,5181.40450361
2025-01-13 00:00:00+00:00,48.03,49.31,46.77,46.91,6331.25655236
2025-01-13 06:00:00+00:00,46.96,47.17,43.9,43.92,10678.86911
2025-01-13 12:00:00+00:00,43.96,48.19,43.9,46.38,13873.3421
2025-01-13 18:00:00+00:00,46.38,49.06,46.0,48.37,9528.36947653
2025-01-14 00:00:00+00:00,48.39,49.5,48.21,49.06,2077.10651539
2025-01-14 06:00:00+00:00,49.06,50.72,49.02,49.72,4366.59903264
2025-01-14 12:00:00+00:00,49.75,51.36,49.23,51.25,5065.38402871
2025-01-14 18:00:00+00:00,51.16,51.6,50.49,51.15,2418.8651056
2025-01-15 00:00:00+00:00,51.15,53.09,50.92,52.33,3728.1138649
2025-01-15 06:00:00+00:00,52.29,52.49,50.22,50.73,1877.77077704
2025-01-15 12:00:00+00:00,50.74,54.35,50.13,53.96,9553.1916534
2025-01-15 18:00:00+00:00,54.1,55.41,53.46,55.34,10732.17810285
2025-01-16 00:00:00+00:00,55.35,55.42,53.38,54.44,3916.32851
2025-01-16 06:00:00+00:00,54.4,54.84,52.99,54.27,3740.9122
2025-01-16 12:00:00+00:00,54.03,55.25,52.56,54.87,5722.31773
2025-01-16 18:00:00+00:00,54.76,54.94,53.35,54.01,3634.01195
2025-01-17 00:00:00+00:00,54.06,56.84,53.86,56.22,4188.73223
2025-01-17 06:00:00+00:00,56.16,56.74,55.41,55.8,1974.42019
2025-01-17 12:00:00+00:00,55.7,56.19,54.1,54.16,9145.57497
2025-01-17 18:00:00+00:00,54.23,55.57,54.17,54.92,5010.78418
2025-01-18 00:00:00+00:00,54.9,55.11,50.89,50.89,6621.00827
2025-01-18 06:00:00+00:00,50.92,53.08,50.86,53.01,4585.40572
